Health Center Name,City,State,Status
"UNITED COMMUNITY HEALTH CENTER-MARIA AUXILIADORA, INC.",GREEN VALLEY,AZ,Invited
"MARIPOSA COMMUNITY HEALTH CENTER, INC.",NOGALES,AZ,Invited
"ADELANTE HEALTHCARE, INC.",PHOENIX,AZ,Participating
CIRCLE THE CITY,PHOENIX,AZ,Invited
MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,PHOENIX,AZ,Participating
MOUNTAIN PARK HEALTH CENTER,PHOENIX,AZ,Participating
"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",PHOENIX,AZ,Invited
TERROS INC,PHOENIX,AZ,Invited
"VALLE DEL SOL, INC.",PHOENIX,AZ,Invited
WESLEY COMMUNITY CENTER INC,PHOENIX,AZ,Participating
NEIGHBORHOOD OUTREACH ACCESS TO HEALTH,SCOTTSDALE,AZ,Participating
SUNSET COMMUNITY HEALTH CENTER,SOMERTON,AZ,Participating
TUBA CITY REGIONAL HEALTHCARE CORPORATION,TUBA CITY,AZ,Invited
"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",TUCSON,AZ,Participating
ARCARE,AUGUSTA,AR,Invited
LEE COUNTY COOPERATIVE CLINIC,MARIANNA,AR,Invited
"JEFFERSON COMPREHENSIVE CARE SYSTEM, INC.",PINE BLUFF,AR,Invited
MAINLINE HEALTH SYSTEMS INC,PORTLAND,AR,Participating
"ST. FRANCIS HOUSE NWA, INC.",SPRINGDALE,AR,Participating
"EAST ARKANSAS FAMILY HEALTH CENTER, INC.",WEST MEMPHIS,AR,Invited
"NORTHEAST COMMUNITY CLINIC, THE",ALHAMBRA,CA,Invited
THE NORTHEAST COMMUNITY CLINIC – FQHC LOOK ALIKE,ALHAMBRA,CA,Participating
"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.",ANAHEIM,CA,Invited
OPEN DOOR COMMUNITY HEALTH CENTERS,ARCATA,CA,Invited
"EL PROYECTO DEL BARRIO, INC.",ARLETA,CA,Participating
AVENAL COMMUNITY HEALTH CENTER,AVENAL,CA,Participating
CLINICA SIERRA VISTA,BAKERSFIELD,CA,Participating
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating
"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC.",BELL GARDENS,CA,Invited
LIFELONG MEDICAL CARE,BERKELEY,CA,Participating
BORREGO COMMUNITY HEALTH FOUNDATION,BORREGO SPGS,CA,Invited
"CLINICAS DE SALUD DEL PUEBLO, INC.",BRAWLEY,CA,Participating
"KOREAN COMMUNITY SERVICES, INC.",BUENA PARK,CA,Invited
ALL-INCLUSIVE COMMUNITY HEALTH CENTER,BURBANK,CA,Invited
YEHOWA MEDICAL SERVICES,CARSON,CA,Participating
ALTAMED HEALTH SERVICES CORPORATION,COMMERCE,CA,Participating
"DE NOVO HEALTH CARE, INC.",COMPTON,CA,Invited
"R.O.A.D.S. FOUNDATION, INC., THE",COMPTON,CA,Invited
SHARE OUR SELVES CORPORATION,COSTA MESA,CA,Invited
ACHIEVABLE FOUNDATION THE,CULVER CITY,CA,Invited
COMMUNICARE HEALTH CENTERS,DAVIS,CA,Invited
"SOUTH COUNTY COMMUNITY HEALTH CENTER, INC.",E PALO ALTO,CA,Participating
"SOUTHERN CALIFORNIA MEDICAL CENTER, INC.",EL MONTE,CA,Invited
NEIGHBORHOOD HEALTHCARE,ESCONDIDO,CA,Participating
"SOLANO, COUNTY OF",FAIRFIELD,CA,Invited
BAY AREA COMMUNITY HEALTH,FREMONT,CA,Participating
UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,FRESNO,CA,Participating
ST. JUDE NEIGHBORHOOD HEALTH CENTERS,FULLERTON,CA,Invited
"NHAN HOA COMPREHENSIVE HEALTH CARE CLINIC, INC.",GARDEN GROVE,CA,Participating
ALL FOR HEALTH HEALTH FOR ALL,GLENDALE,CA,Invited
"COMPREHENSIVE COMMUNITY HEALTH CENTERS, INC.",GLENDALE,CA,Invited
KARUK TRIBE,HAPPY CAMP,CA,Invited
BEHAVIORAL HEALTH SERVICES INC,HAWTHORNE,CA,Participating
"ALLIANCE MEDICAL CENTER, INC.",HEALDSBURG,CA,Invited
SAN BENITO HEALTH FOUNDATION,HOLLISTER,CA,Invited
IMPERIAL BEACH COMMUNITY CLINIC,IMPERIAL BCH,CA,Invited
"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,Invited
HI-DESERT MEMORIAL HEALTH CARE DISTRICT,JOSHUA TREE,CA,Invited
FRIENDS OF FAMILY HEALTH CENTER,LA HABRA,CA,Invited
BARTZ-ALTADONNA COMMUNITY HEALTH CENTER,LANCASTER,CA,Invited
LIVINGSTON COMMUNITY HEALTH,LIVINGSTON,CA,Participating
CHILDREN'S CLINIC 'SERVING CHILDREN AND THEIR FAMILIES' THE,LONG BEACH,CA,Invited
"COMMUNITY MEDICAL WELLNESS CENTERS, USA",LONG BEACH,CA,Invited
APLA HEALTH & WELLNESS,LOS ANGELES,CA,Invited
ARROYO VISTA FAMILY HEALTH FOUNDATION,LOS ANGELES,CA,Participating
"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",LOS ANGELES,CA,Invited
BENEVOLENCE INDUSTRIES INCORPORATED,LOS ANGELES,CA,Invited
CENTRAL NEIGHBORHOOD HEALTH FOUNDATION,LOS ANGELES,CA,Invited
CHINATOWN SERVICE CENTER,LOS ANGELES,CA,Participating
"CLINIC INC, THE",LOS ANGELES,CA,Invited
CLINICA MSR. OSCAR A ROMERO,LOS ANGELES,CA,Invited
"COMPLETE CARE COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,Invited
HEALTH ACCESS FOR ALL INC.,LOS ANGELES,CA,Invited
"JWCH INSTITUTE, INC.",LOS ANGELES,CA,Participating
"KEDREN COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,Invited
KHEIR CLINIC,LOS ANGELES,CA,Participating
LOS ANGELES CHRISTIAN HEALTH CENTERS,LOS ANGELES,CA,Participating
"LOS ANGELES FREE CLINIC., THE",LOS ANGELES,CA,Invited
LOS ANGELES LGBT CENTER,LOS ANGELES,CA,Invited
PEDIATRIC & FAMILY MEDICAL CENTER,LOS ANGELES,CA,Participating
QUEENSCARE HEALTH CENTERS,LOS ANGELES,CA,Participating
"SAN JUDAS COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,Invited
SOUTH CENTRAL FAMILY HEALTH CENTER,LOS ANGELES,CA,Invited
ST ANTHONY MEDICAL CENTERS,LOS ANGELES,CA,Invited
"ST. JOHN'S WELL CHILD AND FAMILY CENTER, INC.",LOS ANGELES,CA,Participating
UNIVERSAL COMMUNITY HEALTH CENTER,LOS ANGELES,CA,Participating
"UNIVERSITY MUSLIM MEDICAL ASSOCIATION, INC.",LOS ANGELES,CA,Participating
"VIA CARE COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,Invited
WATTS HEALTHCARE CORPORATION,LOS ANGELES,CA,Invited
CAMARENA HEALTH,MADERA,CA,Participating
"CONTRA COSTA , COUNTY OF",MARTINEZ,CA,Participating
HARMONY HEALTH MEDICAL CLINIC AND FAMILY RESOURCE CENTER,MARYSVILLE,CA,Invited
PEACH TREE HEALTHCARE,MARYSVILLE,CA,Invited
GOLDEN VALLEY HEALTH CENTERS,MERCED,CA,Participating
BEVERLYCARE,MONTEBELLO,CA,Invited
"COMMUNITY HEALTH SYSTEMS, INC.",MORENO VALLEY,CA,Invited
AAA COMPREHENSIVE HEALTHCARE INC.,N HOLLYWOOD,CA,Invited
VALLEY COMMUNITY HEALTHCARE,N HOLLYWOOD,CA,Invited
OLE HEALTH,NAPA,CA,Invited
"OPERATION SAMAHAN, INC.",NATIONAL CITY,CA,Invited
TRI-STATE COMMUNITY HEALTHCARE CENTER,NEEDLES,CA,Invited
SIERRA FAMILY MEDICAL CLINIC INC,NEVADA CITY,CA,Invited
"COMMUNITY HEALTH CENTERS OF THE CENTRAL COAST, INC.",NIPOMO,CA,Participating
"MISSION CITY COMMUNITY NETWORK, INC.",NORTH HILLS,CA,Participating
MARIN COMMUNITY CLINIC,NOVATO,CA,Participating
"ALAMEDA, COUNTY OF",OAKLAND,CA,Participating
ASIAN HEALTH SERVICES,OAKLAND,CA,Participating
CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND,OAKLAND,CA,Invited
"LA CLINICA DE LA RAZA, INC.",OAKLAND,CA,Participating
"WEST OAKLAND HEALTH COUNCIL, THE",OAKLAND,CA,Participating
"UNICARE COMMUNITY HEALTH CENTER, INC.",ONTARIO,CA,Invited
COUNTY OF VENTURA,OXNARD,CA,Participating
"CENTER FOR FAMILY HEALTH & EDUCATION, INC.",PANORAMA CITY,CA,Invited
COMMUNITY MEDICINE INC.,PARAMOUNT,CA,Invited
COMMUNITY HEALTH ALLIANCE OF PASADENA,PASADENA,CA,Invited
"AXIS COMMUNITY HEALTH, INC.",PLEASANTON,CA,Invited
POMONA COMMUNITY HEALTH CENTER,POMONA,CA,Invited
GREENVILLE RANCHERIA,RED BLUFF,CA,Invited
SHASTA COMMUNITY HEALTH CENTER,REDDING,CA,Invited
"REDWOODS RURAL HEALTH CENTER, INCORPORATED",REDWAY,CA,Invited
RIVERSIDE COUNTY HEALTH SYSTEM,RIVERSIDE,CA,Participating
HILL COUNTRY COMMUNITY CLINIC,ROUND MOUNTAIN,CA,Invited
CARES COMMUNITY HEALTH,SACRAMENTO,CA,Invited
"SACRAMENTO, COUNTY OF",SACRAMENTO,CA,Invited
CLINICA DE SALUD DEL VALLE DE SALINAS,SALINAS,CA,Participating
"MONTEREY, COUNTY OF",SALINAS,CA,Participating
"SAN BERNARDINO, COUNTY OF",SAN BERNARDINO,CA,Invited
"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.",SAN DIEGO,CA,Participating
"LA MAESTRA FAMILY CLINIC, INC.",SAN DIEGO,CA,Participating
SAN DIEGO AMERICAN INDIAN HEALTH CENTER INC,SAN DIEGO,CA,Invited
SAN DIEGO FAMILY CARE,SAN DIEGO,CA,Invited
"ST. VINCENT DE PAUL VILLAGE, INC.",SAN DIEGO,CA,Invited
NORTHEAST VALLEY HEALTH CORPORATION,SAN FERNANDO,CA,Participating
SAN FERNANDO COMMUNITY HOSPITAL,SAN FERNANDO,CA,Participating
"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER, INC.",SAN FRANCISCO,CA,Invited
MISSION AREA HEALTH ASSOCIATES,SAN FRANCISCO,CA,Invited
NORTH EAST MEDICAL SERVICES,SAN FRANCISCO,CA,Participating
SAN FRANCISCO COMMUNITY CLINIC CONSORTIUM,SAN FRANCISCO,CA,Participating
"SAN FRANCISCO MEDICAL CENTER OUTPATIENT IMPROVEMENT PROGRAMS, INCORPORATED",SAN FRANCISCO,CA,Invited
HERALD CHRISTIAN HEALTH CENTER,SAN GABRIEL,CA,Participating
"VALLEY HEALTH TEAM, INC.",SAN JOAQUIN,CA,Participating
"GARDNER FAMILY HEALTH NETWORK, INC.",SAN JOSE,CA,Invited
INDIAN HEALTH CENTER OF SANTA CLARA VALLEY,SAN JOSE,CA,Invited
"SANTA CLARA, COUNTY OF",SAN JOSE,CA,Invited
DAVIS STREET COMMUNITY CENTER INC,SAN LEANDRO,CA,Invited
NORTH COUNTY HEALTH PROJECT INCORPORATED,SAN MARCOS,CA,Participating
"SAN MATEO, COUNTY OF",SAN MATEO,CA,Invited
HARBOR COMMUNITY CLINIC,SAN PEDRO,CA,Invited
RITTER CENTER,SAN RAFAEL,CA,Invited
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",SAN YSIDRO,CA,Participating
"SERVE THE PEOPLE, INC.",SANTA ANA,CA,Invited
"SOUTHLAND INTEGRATED SERVICES, INC.",SANTA ANA,CA,Invited
AMERICAN INDIAN HEALTH & SERVICES,SANTA BARBARA,CA,Invited
SANTA BARBARA NEIGHBORHOOD CLINICS,SANTA BARBARA,CA,Invited
"SANTA BARBARA, COUNTY OF",SANTA BARBARA,CA,Participating
"SANTA CRUZ, COUNTY OF",SANTA CRUZ,CA,Invited
WESTSIDE FAMILY HEALTH CENTER,SANTA MONICA,CA,Invited
SANTA ROSA COMMUNITY HEALTH CENTERS,SANTA ROSA,CA,Participating
MARIN CITY HEALTH AND WELLNESS CENTER,SAUSALITO,CA,Invited
"INLAND BEHAVIORAL AND HEALTH SERVICES, INC.",SN BERNRDNO,CA,Invited
SAC HEALTH SYSTEM,SN BERNRDNO,CA,Participating
"COMMUNITY MEDICAL CENTERS, INC.",STOCKTON,CA,Participating
"SAN JOAQUIN, COUNTY OF",STOCKTON,CA,Invited
"TARZANA TREATMENT CENTER, INC.",TARZANA,CA,Invited
SOUTH BAY FAMILY HEALTH CARE CENTER INC,TORRANCE,CA,Invited
ALTURA CENTERS FOR HEALTH,TULARE,CA,Participating
FAMILIES TOGETHER OF ORANGE COUNTY,TUSTIN,CA,Invited
"HURTT FAMILY HEALTH CLINIC, INC.",TUSTIN,CA,Invited
"MENDOCINO COMMUNITY HEALTH CLINIC, INC.",UKIAH,CA,Participating
TIBURCIO VASQUEZ HEALTH CENTER INCORPORATED,UNION CITY,CA,Participating
SAMUEL DIXON FAMILY HEALTH CEN,VALENCIA,CA,Invited
VENICE FAMILY CLINIC,VENICE,CA,Invited
"CLINICAS DEL CAMINO REAL, INC.",VENTURA,CA,Participating
FAMILY HEALTHCARE NETWORK,VISALIA,CA,Participating
VISTA COMMUNITY CLINIC,VISTA,CA,Participating
ELICA HEALTH CENTERS,W SACRAMENTO,CA,Invited
SALUD PARA LA GENTE,WATSONVILLE,CA,Participating
EAST VALLEY COMMUNITY HEALTH CENTER INC,WEST COVINA,CA,Participating
WILMINGTON COMMUNITY CLINIC,WILMINGTON,CA,Participating
"WINTERS HEALTHCARE FOUNDATION, INC.",WINTERS,CA,Invited
AMPLA HEALTH,YUBA CITY,CA,Participating
"VALLEY WIDE HEALTH SYSTEMS, INC.",ALAMOSA,CO,Participating
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",AURORA,CO,Invited
PEAK VISTA COMMUNITY HEALTH CENTERS,COLORADO SPGS,CO,Invited
"COLORADO COALITION FOR THE HOMELESS, THE",DENVER,CO,Participating
DENVER HEALTH AND HOSPITALS AUTHORITY,DENVER,CO,Participating
LA CLINICA TEPEYAC INC,DENVER,CO,Participating
"METRO COMMUNITY PROVIDER NETWORK, INC.",ENGLEWOOD,CO,Participating
SUNRISE COMMUNITY HEALTH,EVANS,CO,Participating
"PLAN DE SALUD DEL VALLE, INC.",FORT LUPTON,CO,Participating
"SUMMIT COMMUNITY CARE CLINIC, INC.",FRISCO,CO,Participating
MOUNTAIN FAMILY HEALTH CENTERS,GLENWOOD SPGS,CO,Invited
CLINICA CAMPESINA FAMILY HEALTH SERVICES,LAFAYETTE,CO,Invited
"OPTIMUS HEALTH CARE, INC.",BRIDGEPORT,CT,Participating
"SOUTHWEST COMMUNITY HEALTH CENTER, INC.",BRIDGEPORT,CT,Invited
"CONNECTICUT INSTITUTE FOR COMMUNITIES, INC.",DANBURY,CT,Invited
"FIRST CHOICE HEALTH CENTERS, INC.",EAST HARTFORD,CT,Participating
FAMILY CENTERS INC.,GREENWICH,CT,Invited
"CHARTER OAK HEALTH CENTER, INC",HARTFORD,CT,Participating
"COMMUNITY HEALTH SERVICES, INCORPORATED",HARTFORD,CT,Invited
"COMMUNITY HEALTH CENTER, INCORPORATED",MIDDLETOWN,CT,Participating
CORNELL SCOTT-HILL HEALTH CORPORATION,NEW HAVEN,CT,Invited
FAIR HAVEN COMMUNITY HEALTH CLINIC INC,NEW HAVEN,CT,Participating
"NORWALK COMMUNITY HEALTH CENTER, INC.",NORWALK,CT,Invited
"STAYWELL HEALTH CARE, INC.",WATERBURY,CT,Invited
"GENERATIONS FAMILY HEALTH CENTER, INC.",WILLIMANTIC,CT,Invited
"LA RED HEALTH CENTER, INC.",GEORGETOWN,DE,Participating
SOUTHBRIDGE MEDICAL ADVISORY COUNCIL INC,WILMINGTON,DE,Invited
"WESTSIDE FAMILY HEALTHCARE, INC.",WILMINGTON,DE,Invited
"BREAD FOR THE CITY, INC.",WASHINGTON,DC,Participating
"COMMUNITY OF HOPE, INC.",WASHINGTON,DC,Invited
"ELAINE ELLIS CENTER OF HEALTH, INC.",WASHINGTON,DC,Participating
FAMILY AND MEDICAL COUNSELING SERVICE INC,WASHINGTON,DC,Participating
"LA CLINICA DEL PUEBLO, INC.",WASHINGTON,DC,Participating
"MARY'S CENTER FOR MATERNAL AND CHILD CARE, INC.",WASHINGTON,DC,Participating
"UNITY HEALTH CARE, INC.",WASHINGTON,DC,Participating
CHUUK STATE DEPARTMENT OF HEALTH SERVICES,CHUUK,FM,Invited
POHNPEI COMMUNITY HEALTH CENTRE,POHNPEI,FM,Invited
YAP STATE DEPARTMENT OF HEALTH SERVICES,YAP,FM,Invited
"GENESIS COMMUNITY HEALTH, INC.",BOYNTON BEACH,FL,Invited
"PINELLAS, COUNTY OF",CLEARWATER,FL,Invited
"COMMUNITY HEALTH SOUTH FLORIDA, INC.",CUTLER BAY,FL,Participating
"PREMIER COMMUNITY HEALTHCARE GROUP, INC.",DADE CITY,FL,Participating
"HEALTH, FLORIDA DEPARTMENT OF",DEFUNIAK SPGS,FL,Invited
"TREASURE COAST COMMUNITY HEALTH, INC.",FELLSMERE,FL,Participating
"FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA, INC.",FORT MYERS,FL,Participating
NORTH BROWARD HOSPITAL DISTRICT,FT LAUDERDALE,FL,Invited
"CITRUS HEALTH NETWORK, INC.",HIALEAH,FL,Participating
"BROWARD COMMUNITY AND FAMILY HEALTH CENTERS, INC.",HOLLYWOOD,FL,Invited
"COLLIER HEALTH SERVICES, INC.",IMMOKALEE,FL,Participating
"AGAPE COMMUNITY HEALTH CENTER, INC.",JACKSONVILLE,FL,Invited
"I.M. SULZBACHER CENTER FOR THE HOMELESS, INC.",JACKSONVILLE,FL,Invited
"PRIMARY CARE MEDICAL SERVICES OF POINCIANA, INC.",KISSIMMEE,FL,Participating
"BANYAN COMMUNITY HEALTH CENTER, INC.",MIAMI,FL,Invited
"BORINQUEN HEALTH CARE CENTER, INC.",MIAMI,FL,Participating
CAMILLUS HEALTH CONCERN INC,MIAMI,FL,Invited
CARE RESOURCE COMMUNITY HEALTH CENTERS INCORPORATED,MIAMI,FL,Invited
"EMPOWER U, INCORPORATED",MIAMI,FL,Participating
"JESSIE TRICE COMMUNITY HEALTH SYSTEM, INC.",MIAMI,FL,Participating
MIAMI BEACH COMMUNITY HEALTH CENTER INC.,MIAMI BEACH,FL,Participating
"CENTER FOR FAMILY AND CHILD ENRICHMENT, INC., THE",MIAMI GARDENS,FL,Participating
"HEART OF FLORIDA HEALTH CENTER, INC.",OCALA,FL,Participating
"HEALTH CARE CENTER FOR THE HOMELESS, INC.",ORLANDO,FL,Invited
"RURAL HEALTH CARE, INCORPORATED",PALATKA,FL,Participating
"MCR HEALTH, INC.",PALMETTO,FL,Participating
PANCARE OF FLORIDA INC,PANAMA CITY,FL,Invited
"ESCAMBIA COMMUNITY CLINICS, INC.",PENSACOLA,FL,Participating
"NORTHEAST FLORIDA HEALTH SERVICES, INC.",PIERSON,FL,Invited
"SUNCOAST COMMUNITY HEALTH CENTERS, INC.",RUSKIN,FL,Participating
"COMMUNITY HEALTH CENTERS OF PINELLAS, INC.",SAINT PETERSBURG,FL,Participating
"CENTRAL FLORIDA FAMILY HEALTH CENTER, INC.",SANFORD,FL,Invited
"PROJECT HEALTH, INC.",SUMTERVILLE,FL,Invited
"BOND COMMUNITY HEALTH CENTER, INC.",TALLAHASSEE,FL,Participating
NEIGHBORHOOD MEDICAL CENTER INC.,TALLAHASSEE,FL,Invited
"NORTH FLORIDA MEDICAL CENTERS, INC.",TALLAHASSEE,FL,Invited
"TAMPA FAMILY HEALTH CENTERS, INC.",TAMPA,FL,Participating
TRENTON MEDICAL CENTER INC,TRENTON,FL,Participating
"FLORIDA COMMUNITY HEALTH CENTERS, INC.",WEST PALM BEACH,FL,Participating
FOUNDCARE INC.,WEST PALM BEACH,FL,Invited
HEALTH CARE DISTRICT OF PALM BEACH COUNTY,WEST PALM BEACH,FL,Participating
"COMMUNITY HEALTH CENTERS, INC.",WINTER GARDEN,FL,Participating
"CENTRAL FLORIDA HEALTH CARE, INC.",WINTER HAVEN,FL,Invited
"ALBANY AREA PRIMARY HEALTH CARE, INC",ALBANY,GA,Invited
ATHENS NEIGHBORHOOD HEALTH CENTER,ATHENS,GA,Invited
"CENTER FOR PAN ASIAN COMMUNITY SERVICES, INC.",ATLANTA,GA,Participating
"COMMUNITY HEALTH, GEORGIA DEPT OF",ATLANTA,GA,Invited
"FAMILY HEALTH CENTERS OF GEORGIA, INC., THE",ATLANTA,GA,Invited
"HEALTH EDUCATION, ASSESSMENT AND LEADERSHIP, INC.",ATLANTA,GA,Participating
"MERIDIAN EDUCATION RESOURCE GROUP, INC.",ATLANTA,GA,Invited
"PALMETTO HEALTH COUNCIL, INC",ATLANTA,GA,Invited
SAINT JOSEPHS MERCY CARE SVCS,ATLANTA,GA,Participating
"SOUTHSIDE MEDICAL CENTER, INC.",ATLANTA,GA,Invited
"NEIGHBORHOOD IMPROVEMENT PROJECT, INC.",AUGUSTA,GA,Participating
"PRIMARY CARE OF SOUTHWEST GEORGIA, INC.",BLAKELY,GA,Invited
"COASTAL COMMUNITY HEALTH SERVICES, INC.",BRUNSWICK,GA,Participating
"VALLEY HEALTHCARE SYSTEM, INC.",COLUMBUS,GA,Invited
"PRIMARY HEALTH CARE CENTER OF DADE, INC.",LA FAYETTE,GA,Invited
"DIVERSITY HEALTH CENTER, INC.",LUDOWICI,GA,Participating
"FIRST CHOICE PRIMARY CARE, INC.",MACON,GA,Invited
"GOOD SAMARITAN HEALTH CENTER OF COBB, INC.",MARIETTA,GA,Invited
"FOUR CORNERS PRIMARY CARE CENTERS, INC.",NORCROSS,GA,Invited
"CARECONNECT HEALTH, INC.",RICHLAND,GA,Invited
"CURTIS V COOPER PRIMARY HEALTH CARE, INC.",SAVANNAH,GA,Participating
J C LEWIS HEALTH CENTER,SAVANNAH,GA,Invited
"OAKHURST MEDICAL CENTERS, INC.",STONE MOUNTAIN,GA,Invited
"EAST GEORGIA HEALTHCARE CENTER, INC.",SWAINSBORO,GA,Participating
COMMUNITY HEALTH CARE SYSTEMS INC,WRIGHTSVILLE,GA,Invited
GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,HAGATNA,GU,Participating
"BAY CLINIC, INC.",HILO,HI,Invited
HAMAKUA HEALTH CENTER INC,HONOKAA,HI,Invited
KALIHI PALAMA HEALTH CENTER,HONOLULU,HI,Invited
KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES),HONOLULU,HI,Invited
WAIKIKI HEALTH,HONOLULU,HI,Invited
KO`OLAULOA HEALTH CENTER,KAHUKU,HI,Invited
"MOLOKAI OHANA HEALTH CARE, INC",KAUNAKAKAI,HI,Invited
LANA'I COMMUNITY HEALTH CENTER,LANAI CITY,HI,Invited
HO-OLA LAHUI HAWAII INC,LIHUE,HI,Invited
"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",WAIANAE,HI,Invited
"COMMUNITY CLINIC OF MAUI, INC.",WAILUKU,HI,Invited
WAIMANALO HEALTH CENTER,WAIMANALO,HI,Invited
FAMILY MEDICINE RESIDENCY OF IDAHO,BOISE,ID,Invited
"DIRNE HEALTH CENTERS, INC.",COEUR D ALENE,ID,Invited
SHOSHONE-BANNOCK TRIBES OF THE FORT HALL RESERVATION OF IDAHO,FORT HALL,ID,Invited
"GLENNS FERRY HEALTH CENTER, INC.",GLENNS FERRY,ID,Invited
"COMMUNITY HEALTH CLINICS, INC.",NAMPA,ID,Participating
"VALLEY FAMILY HEALTH CARE, INC.",PAYETTE,ID,Invited
BENEWAH MEDICAL CENTER,PLUMMER,ID,Invited
RURAL HEALTH INC,ANNA,IL,Invited
"VNA HEALTH CARE, AN ILLINOIS NOT-FOR-PROFIT CORPORATION",AURORA,IL,Participating
"COMMUNITY HEALTH & EMERGENCY SERVICES, INC",CAIRO,IL,Invited
"MACOUPIN, COUNTY OF",CARLINVILLE,IL,Invited
SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,CARTERVILLE,IL,Participating
ACCESS COMMUNITY HEALTH NETWORK,CHICAGO,IL,Participating
"ALIVIO MEDICAL CENTER, INC",CHICAGO,IL,Participating
ASIAN HUMAN SERVICES FAMILY HEALTH CENTER,CHICAGO,IL,Participating
BELOVED COMMUNITY FAMILY WELLNESS CENTER,CHICAGO,IL,Invited
"CHICAGO FAMILY HEALTH CENTER, INC.",CHICAGO,IL,Invited
CHRISTIAN COMMUNITY HEALTH CENTER,CHICAGO,IL,Invited
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,CHICAGO,IL,Participating
"ERIE FAMILY HEALTH CENTER, INC.",CHICAGO,IL,Participating
ESPERANZA HEALTH CENTERS,CHICAGO,IL,Participating
"FRIEND FAMILY HEALTH CENTER, INC.",CHICAGO,IL,Participating
HEARTLAND ALLIANCE HEALTH,CHICAGO,IL,Participating
