Health Center Name,City,State,combinedKey,name,address,contact,lat,lon
DEPARTMENT OF HEALTH,PAGO PAGO,AS,"DEPARTMENT OF HEALTH, PAGO PAGO, AS",DOH-Environmental Health Services Division,"Fagatogo, Pago Pago, Eastern District 96799, American Samoa",,-14.2763878,-170.692393
"SUN LIFE FAMILY HEALTH CENTER, INC",CASA GRANDE,AZ,"SUN LIFE FAMILY HEALTH CENTER, INC, CASA GRANDE, AZ",Sun Life Family Health Center,"865 N Arizola Rd, Casa Grande, AZ 85122, USA",(520) 836-3446,32.8821647,-111.714972
"CHIRICAHUA COMMUNITY HEALTH CENTERS, INC.",DOUGLAS,AZ,"CHIRICAHUA COMMUNITY HEALTH CENTERS, INC., DOUGLAS, AZ","Pediatric Center of Excellence - Chiricahua Community Health Centers, Inc.","815 15th St, Douglas, AZ 85607, USA",(520) 364-5437,31.3492938,-109.5492454
"NORTH COUNTRY HEALTHCARE, INC.",FLAGSTAFF,AZ,"NORTH COUNTRY HEALTHCARE, INC., FLAGSTAFF, AZ",North Country HealthCare - Flagstaff (4th Street),"2920 N Fourth St, Flagstaff, AZ 86004, USA",(928) 522-9400,35.2168899,-111.6126929
"UNITED COMMUNITY HEALTH CENTER-MARIA AUXILIADORA, INC.",GREEN VALLEY,AZ,"UNITED COMMUNITY HEALTH CENTER-MARIA AUXILIADORA, INC., GREEN VALLEY, AZ",United Community Health Center at Green Valley Hospital,"4475 I-19 Frontage Rd #139, Green Valley, AZ 85614, USA",(520) 407-5910,31.8061871,-111.0104217
"MARIPOSA COMMUNITY HEALTH CENTER, INC.",NOGALES,AZ,"MARIPOSA COMMUNITY HEALTH CENTER, INC., NOGALES, AZ",Mariposa Community Health Center,"1852 N Mastick Way, Nogales, AZ 85621, USA",(520) 281-1550,31.3656886,-110.9335064
"ADELANTE HEALTHCARE, INC.",PHOENIX,AZ,"ADELANTE HEALTHCARE, INC., PHOENIX, AZ",Adelante Healthcare,"3033 N Central Ave Suite 145, Phoenix, AZ 85012, USA",(877) 809-5092,33.4835789,-112.0731297
CIRCLE THE CITY,PHOENIX,AZ,"CIRCLE THE CITY, PHOENIX, AZ",Circle the City,"333 W Indian School Rd, Phoenix, AZ 85013, USA",(602) 776-9000,33.4944925,-112.0799916
MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,PHOENIX,AZ,"MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT, PHOENIX, AZ",Valleywise Health Medical Center,"2601 E Roosevelt St, Phoenix, AZ 85008, USA",(602) 344-5011,33.4572917,-112.0261916
MOUNTAIN PARK HEALTH CENTER,PHOENIX,AZ,"MOUNTAIN PARK HEALTH CENTER, PHOENIX, AZ",Mountain Park Health Center Baseline Clinic,"635 E Baseline Rd, Phoenix, AZ 85042, USA",(602) 243-7277,33.3768311,-112.067954
"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",PHOENIX,AZ,"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC., PHOENIX, AZ",NHW Community Health Center,"2423 W Dunlap Ave, Phoenix, AZ 85021, USA",(602) 279-5351,33.5670953,-112.1116523
TERROS INC,PHOENIX,AZ,"TERROS INC, PHOENIX, AZ",Terros Health -Central Office,"3003 N Central Ave Suite #400, Phoenix, AZ 85012, USA",(602) 685-6000,33.4826645,-112.0732533
"VALLE DEL SOL, INC.",PHOENIX,AZ,"VALLE DEL SOL, INC., PHOENIX, AZ",Valle del Sol,"1209 S 1st Ave, Phoenix, AZ 85003, USA",(602) 258-6797,33.4356309,-112.0746715
WESLEY COMMUNITY CENTER INC,PHOENIX,AZ,"WESLEY COMMUNITY CENTER INC, PHOENIX, AZ",Wesley Community Center,"1300 S 10th St, Phoenix, AZ 85034, USA",(602) 257-4323,33.434765,-112.060004
NEIGHBORHOOD OUTREACH ACCESS TO HEALTH,SCOTTSDALE,AZ,"NEIGHBORHOOD OUTREACH ACCESS TO HEALTH, SCOTTSDALE, AZ",Neighborhood Outreach Access To Health,"3634 N Drinkwater Blvd, Scottsdale, AZ 85251, USA",,33.4903919,-111.92196
SUNSET COMMUNITY HEALTH CENTER,SOMERTON,AZ,"SUNSET COMMUNITY HEALTH CENTER, SOMERTON, AZ",Sunset Community Health Center,"115 N Somerton Ave, Somerton, AZ 85350, USA",(928) 627-2051,32.5967846,-114.7099416
TUBA CITY REGIONAL HEALTHCARE CORPORATION,TUBA CITY,AZ,"TUBA CITY REGIONAL HEALTHCARE CORPORATION, TUBA CITY, AZ",Tuba City Regional Health Care,"167 Main St, Tuba City, AZ 86045, USA",(866) 976-5941,36.1359847,-111.2369947
"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",TUCSON,AZ,"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC., TUCSON, AZ",El Rio Community Health Center Adminstration,"450 W Paseo Redondo, Tucson, AZ 85701, USA",(520) 670-3909,32.2232839,-110.9789256
ARCARE,AUGUSTA,AR,"ARCARE, AUGUSTA, AR",ARcare - Augusta Medical Clinic,"400 Hwy 64 E, Augusta, AR 72006, USA",(870) 347-2508,35.2928924,-91.362915
LEE COUNTY COOPERATIVE CLINIC,MARIANNA,AR,"LEE COUNTY COOPERATIVE CLINIC, MARIANNA, AR",Lee County Cooperative Clinic,"530 Atkins Blvd, Marianna, AR 72360, USA",(870) 295-5225,34.7710512,-90.7761364
"JEFFERSON COMPREHENSIVE CARE SYSTEM, INC.",PINE BLUFF,AR,"JEFFERSON COMPREHENSIVE CARE SYSTEM, INC., PINE BLUFF, AR","Jefferson Comprehensive Care System, Inc.","1101 S Tennessee St, Pine Bluff, AR 71601, USA",(870) 543-2380,34.2189348,-91.9979215
MAINLINE HEALTH SYSTEMS INC,PORTLAND,AR,"MAINLINE HEALTH SYSTEMS INC, PORTLAND, AR",Mainline Health Systems Inc,"223 N Main St, Portland, AR 71663, USA",(870) 737-2221,33.2390033,-91.5115391
"ST. FRANCIS HOUSE NWA, INC.",SPRINGDALE,AR,"ST. FRANCIS HOUSE NWA, INC., SPRINGDALE, AR",Community Clinic- Springdale Medical | Pediatrics and Women's Health,"614 E Emma Ave #300, Springdale, AR 72764, USA",(479) 751-7417,36.1854151,-94.1230514
"EAST ARKANSAS FAMILY HEALTH CENTER, INC.",WEST MEMPHIS,AR,"EAST ARKANSAS FAMILY HEALTH CENTER, INC., WEST MEMPHIS, AR",East Arkansas Family Health Center,"900 N 7th St, West Memphis, AR 72301, USA",(870) 735-3842,35.1544521,-90.1764112
"NORTHEAST COMMUNITY CLINIC, THE",ALHAMBRA,CA,"NORTHEAST COMMUNITY CLINIC, THE, ALHAMBRA, CA",NECC Administration,"2550 W Main St #301, Alhambra, CA 91801, USA",(626) 457-6900,34.094865,-118.1517122
THE NORTHEAST COMMUNITY CLINIC – FQHC LOOK ALIKE,ALHAMBRA,CA,"THE NORTHEAST COMMUNITY CLINIC – FQHC LOOK ALIKE, ALHAMBRA, CA",Northeast Community Clinic,"2550 W Main St #301, Alhambra, CA 91801, USA",(626) 457-6900,34.094934,-118.1517377
"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.",ANAHEIM,CA,"CENTRAL CITY COMMUNITY HEALTH CENTER, INC., ANAHEIM, CA","Central City Community Health Center Inc., - Lincoln","1820 W Lincoln Ave #1814, Anaheim, CA 92801, USA",(714) 805-7719,33.8321923,-117.9468218
OPEN DOOR COMMUNITY HEALTH CENTERS,ARCATA,CA,"OPEN DOOR COMMUNITY HEALTH CENTERS, ARCATA, CA",Open Door Community Health Center,"3800 Janes Rd, Arcata, CA 95521, USA",(707) 822-1385,40.896393,-124.0916628
"EL PROYECTO DEL BARRIO, INC.",ARLETA,CA,"EL PROYECTO DEL BARRIO, INC., ARLETA, CA",El Proyecto Del Barrio,"8902 Woodman Ave, Arleta, CA 91331, USA",(818) 830-7033,34.2315227,-118.437257
AVENAL COMMUNITY HEALTH CENTER,AVENAL,CA,"AVENAL COMMUNITY HEALTH CENTER, AVENAL, CA",Avenal Community Health Center,"1000 Skyline Blvd, Avenal, CA 93204, USA",(559) 386-4500,36.0076729,-120.1214198
CLINICA SIERRA VISTA,BAKERSFIELD,CA,"CLINICA SIERRA VISTA, BAKERSFIELD, CA",Clinica Sierra Vista - 34th Street Community Health Center,"2000 Physicians Blvd, Bakersfield, CA 93301, USA",(661) 324-1455,35.3967924,-119.0086268
OMNI FAMILY HEALTH,BAKERSFIELD,CA,"OMNI FAMILY HEALTH, BAKERSFIELD, CA",Omni Family Health | Panama Lane Health Center,"4600 Panama Ln #102b, Bakersfield, CA 93313, USA",(800) 300-6664,35.2964344,-119.0543392
"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC.",BELL GARDENS,CA,"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC., BELL GARDENS, CA",Family Health Care Centers of Greater Los Angeles,"6501 S, Garfield Ave, Bell Gardens, CA 90201, USA",(562) 928-9600,33.9732363,-118.1476448
LIFELONG MEDICAL CARE,BERKELEY,CA,"LIFELONG MEDICAL CARE, BERKELEY, CA",LifeLong West Berkeley Health Center,"837 Addison St, Berkeley, CA 94710, USA",(510) 981-4100,37.8669849,-122.2970458
BORREGO COMMUNITY HEALTH FOUNDATION,BORREGO SPGS,CA,"BORREGO COMMUNITY HEALTH FOUNDATION, BORREGO SPGS, CA",Borrego Community Health Foundation,"655 Palm Canyon Dr, Borrego Springs, CA 92004, USA",(760) 767-5608,33.2563235,-116.3768927
"CLINICAS DE SALUD DEL PUEBLO, INC.",BRAWLEY,CA,"CLINICAS DE SALUD DEL PUEBLO, INC., BRAWLEY, CA","Brawley Medical Clinic - Clinicas de Salud del Pueblo, Inc.","900 Main St, Brawley, CA 92227, USA",(760) 344-6471,32.9782583,-115.5278029
"KOREAN COMMUNITY SERVICES, INC.",BUENA PARK,CA,"KOREAN COMMUNITY SERVICES, INC., BUENA PARK, CA",Korean Community Services,"7212 Orangethorpe Ave Suite 8, Buena Park, CA 90621, USA",(714) 449-1125,33.8581677,-118.0074623
ALL-INCLUSIVE COMMUNITY HEALTH CENTER,BURBANK,CA,"ALL-INCLUSIVE COMMUNITY HEALTH CENTER, BURBANK, CA",All-Inclusive Community Health Center,"1311 N San Fernando Blvd, Burbank, CA 91504, USA",(818) 843-9900,34.1893761,-118.3207868
YEHOWA MEDICAL SERVICES,CARSON,CA,"YEHOWA MEDICAL SERVICES, CARSON, CA",Yehowa Medical Services,"454 Carson Plaza Dr, Carson, CA 90746, USA",(323) 776-1500,33.8465483,-118.2671389
ALTAMED HEALTH SERVICES CORPORATION,COMMERCE,CA,"ALTAMED HEALTH SERVICES CORPORATION, COMMERCE, CA",AltaMed Health Services Corporation,"5436 Whittier Blvd, Los Angeles, CA 90022, USA",(888) 363-1293,34.0191973,-118.1532157
"DE NOVO HEALTH CARE, INC.",COMPTON,CA,"DE NOVO HEALTH CARE, INC., COMPTON, CA",De Novo Health Care Inc.,"803 Rosecrans Ave, Compton, CA 90221, USA",(310) 605-4800,33.903617,-118.215244
"R.O.A.D.S. FOUNDATION, INC., THE",COMPTON,CA,"R.O.A.D.S. FOUNDATION, INC., THE, COMPTON, CA",ROADS Community Care Clinic,"121 S Long Beach Blvd, Compton, CA 90221, USA",(855) 645-0033,33.894956,-118.208363
SHARE OUR SELVES CORPORATION,COSTA MESA,CA,"SHARE OUR SELVES CORPORATION, COSTA MESA, CA",Share Our Selves,"1550 Superior Ave, Costa Mesa, CA 92627, USA",(949) 270-2100,33.6325332,-117.9268629
ACHIEVABLE FOUNDATION THE,CULVER CITY,CA,"ACHIEVABLE FOUNDATION THE, CULVER CITY, CA",The Achievable Foundation,"5901 Green Valley Cir UNIT 405, Culver City, CA 90230, USA",(424) 266-7474,33.984195,-118.3919144
COMMUNICARE HEALTH CENTERS,DAVIS,CA,"COMMUNICARE HEALTH CENTERS, DAVIS, CA",Communicare Health Center,"2051 John Jones Rd, Davis, CA 95616, USA",(530) 758-2060,38.563708,-121.7695775
"SOUTH COUNTY COMMUNITY HEALTH CENTER, INC.",E PALO ALTO,CA,"SOUTH COUNTY COMMUNITY HEALTH CENTER, INC., E PALO ALTO, CA","South County Community Health Center, Inc.","ste a east 94303, 1798 Bay Rd, Palo Alto, CA 94303, USA",(650) 330-7400,37.4711824,-122.1338668
"SOUTHERN CALIFORNIA MEDICAL CENTER, INC.",EL MONTE,CA,"SOUTHERN CALIFORNIA MEDICAL CENTER, INC., EL MONTE, CA","Southern California Medical Center, Inc.","12100 Valley Blvd #109a, El Monte, CA 91732, USA",(626) 575-7500,34.0608155,-118.0163454
NEIGHBORHOOD HEALTHCARE,ESCONDIDO,CA,"NEIGHBORHOOD HEALTHCARE, ESCONDIDO, CA",Neighborhood Healthcare - Escondido,"460 N Elm St, Escondido, CA 92025, USA",(760) 520-8100,33.1286381,-117.0727663
"SOLANO, COUNTY OF",FAIRFIELD,CA,"SOLANO, COUNTY OF, FAIRFIELD, CA",Fairfield,"Fairfield, CA, USA",,38.2491956,-122.0405151
BAY AREA COMMUNITY HEALTH,FREMONT,CA,"BAY AREA COMMUNITY HEALTH, FREMONT, CA",Bay Area Community Health,"39500 Liberty St, Fremont, CA 94538, USA",(510) 770-8040,37.5489421,-121.9769658
UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,FRESNO,CA,"UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY, FRESNO, CA",United Health Centers-Administration Building,"3875 W Beechwood Ave, Fresno, CA 93722, USA",(800) 492-4227,36.8379472,-119.8633293
ST. JUDE NEIGHBORHOOD HEALTH CENTERS,FULLERTON,CA,"ST. JUDE NEIGHBORHOOD HEALTH CENTERS, FULLERTON, CA",St. Jude Neighborhood Clinic,"731 S Highland Ave, Fullerton, CA 92832, USA",(714) 446-5100,33.863589,-117.928901
"NHAN HOA COMPREHENSIVE HEALTH CARE CLINIC, INC.",GARDEN GROVE,CA,"NHAN HOA COMPREHENSIVE HEALTH CARE CLINIC, INC., GARDEN GROVE, CA",Nhan Hoa Comprehensive Health Care Clinic,"7761 Garden Grove Blvd, Garden Grove, CA 92841, USA",(714) 898-8888,33.7739924,-117.9965813
ALL FOR HEALTH HEALTH FOR ALL,GLENDALE,CA,"ALL FOR HEALTH HEALTH FOR ALL, GLENDALE, CA","All For Health, Health For All","519 E Broadway, Glendale, CA 91205, USA",(818) 409-3020,34.1466218,-118.2492201
"COMPREHENSIVE COMMUNITY HEALTH CENTERS, INC.",GLENDALE,CA,"COMPREHENSIVE COMMUNITY HEALTH CENTERS, INC., GLENDALE, CA","Comprehensive Community Health Centers, Inc.","1704 Colorado Blvd, Eagle Rock, CA 90041, USA",(323) 256-4116,34.1391136,-118.2039119
KARUK TRIBE,HAPPY CAMP,CA,"KARUK TRIBE, HAPPY CAMP, CA",Karuk Tribe Administration,"64236 2nd Ave, Happy Camp, CA 96039, USA",(530) 493-1600,41.7910804,-123.3800585
BEHAVIORAL HEALTH SERVICES INC,HAWTHORNE,CA,"BEHAVIORAL HEALTH SERVICES INC, HAWTHORNE, CA",Behavioral Health Services Inc,"15519 Crenshaw Blvd, Gardena, CA 90249, USA",(310) 679-9126,33.889539,-118.326804
"ALLIANCE MEDICAL CENTER, INC.",HEALDSBURG,CA,"ALLIANCE MEDICAL CENTER, INC., HEALDSBURG, CA",Alliance Medical Center,"1381 University Ave, Healdsburg, CA 95448, USA",(707) 433-5494,38.6273915,-122.8654598
SAN BENITO HEALTH FOUNDATION,HOLLISTER,CA,"SAN BENITO HEALTH FOUNDATION, HOLLISTER, CA",San Benito Health Foundation,"351 Felice Dr, Hollister, CA 95023, USA",(831) 637-5306,36.8532362,-121.4163828
IMPERIAL BEACH COMMUNITY CLINIC,IMPERIAL BCH,CA,"IMPERIAL BEACH COMMUNITY CLINIC, IMPERIAL BCH, CA",Imperial Beach Community Clinic,"949 Palm Ave, Imperial Beach, CA 91932, USA",(619) 429-3733,32.5836302,-117.1134051
"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,"UNIVERSITY OF CALIFORNIA, IRVINE, IRVINE, CA",University of California Irvine,"Irvine, CA 92697, USA",(949) 824-5011,33.6404952,-117.8442962
HI-DESERT MEMORIAL HEALTH CARE DISTRICT,JOSHUA TREE,CA,"HI-DESERT MEMORIAL HEALTH CARE DISTRICT, JOSHUA TREE, CA",Hi-Desert Medical Center,"6601 White Feather Rd, Joshua Tree, CA 92252, USA",(760) 366-3711,34.1321059,-116.2751358
FRIENDS OF FAMILY HEALTH CENTER,LA HABRA,CA,"FRIENDS OF FAMILY HEALTH CENTER, LA HABRA, CA",Friends of Family Health Center,"501 S Idaho St Unit 270, La Habra, CA 90631, USA",(562) 690-0400,33.9277966,-117.9598288
BARTZ-ALTADONNA COMMUNITY HEALTH CENTER,LANCASTER,CA,"BARTZ-ALTADONNA COMMUNITY HEALTH CENTER, LANCASTER, CA",Bartz-Altadonna Community Health Center,"43322 Gingham Ave, Lancaster, CA 93535, USA",(661) 874-4050,34.6699689,-118.1218721
LIVINGSTON COMMUNITY HEALTH,LIVINGSTON,CA,"LIVINGSTON COMMUNITY HEALTH, LIVINGSTON, CA",Livingston Health Center,"600 B St, Livingston, CA 95334, USA",(833) 850-3500,37.3852933,-120.7341919
CHILDREN'S CLINIC 'SERVING CHILDREN AND THEIR FAMILIES' THE,LONG BEACH,CA,"CHILDREN'S CLINIC 'SERVING CHILDREN AND THEIR FAMILIES' THE, LONG BEACH, CA",The Children's Clinic Central Long Beach Family Health Center,"2360 Pacific Ave, Long Beach, CA 90806, USA",(844) 822-4646,33.8000673,-118.1933925
"COMMUNITY MEDICAL WELLNESS CENTERS, USA",LONG BEACH,CA,"COMMUNITY MEDICAL WELLNESS CENTERS, USA, LONG BEACH, CA",Community Medical Wellness Centers USA,"1360 E Anaheim St, Long Beach, CA 90813, USA",(562) 270-0324,33.7824258,-118.1743871
APLA HEALTH & WELLNESS,LOS ANGELES,CA,"APLA HEALTH & WELLNESS, LOS ANGELES, CA",APLA Health - Gleicher/Chen Health Center,"3743 South La Brea Ave, Los Angeles, CA 90016, USA",(323) 329-9900,34.018727,-118.356329
ARROYO VISTA FAMILY HEALTH FOUNDATION,LOS ANGELES,CA,"ARROYO VISTA FAMILY HEALTH FOUNDATION, LOS ANGELES, CA",Arroyo Vista Family Health Center,"6000 N Figueroa St, Highland Park, CA 90042, USA",(866) 616-9344,34.1113273,-118.1888713
"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",LOS ANGELES,CA,"ASIAN PACIFIC HEALTH CARE VENTURE, INC., LOS ANGELES, CA","Asian Pacific Health Care Venture, Inc.","1530 Hillhurst Ave, Los Angeles, CA 90027, USA",(323) 644-3888,34.0989121,-118.2871437
BENEVOLENCE INDUSTRIES INCORPORATED,LOS ANGELES,CA,"BENEVOLENCE INDUSTRIES INCORPORATED, LOS ANGELES, CA",Benevolence Health Center,"3631 Crenshaw Blvd #109, Los Angeles, CA 90016, USA",(323) 732-0100,34.0232994,-118.335602
CENTRAL NEIGHBORHOOD HEALTH FOUNDATION,LOS ANGELES,CA,"CENTRAL NEIGHBORHOOD HEALTH FOUNDATION, LOS ANGELES, CA",Central Neighborhood Health Foundation,"2707 S Central Ave, Los Angeles, CA 90011, USA",(323) 234-5000,34.0176099,-118.2557408
CHINATOWN SERVICE CENTER,LOS ANGELES,CA,"CHINATOWN SERVICE CENTER, LOS ANGELES, CA",Chinatown Service Center,"819 W Cesar Estrada Chavez Ave, Los Angeles, CA 90012, USA",(213) 808-1700,34.0617172,-118.2449417
"CLINIC INC, THE",LOS ANGELES,CA,"CLINIC INC, THE, LOS ANGELES, CA",To Help Everyone - Western Clinic,"3834 S Western Ave, Los Angeles, CA 90062, USA",(323) 730-1920,34.016179,-118.308589
CLINICA MSR. OSCAR A ROMERO,LOS ANGELES,CA,"CLINICA MSR. OSCAR A ROMERO, LOS ANGELES, CA",Clínica Monseñor Oscar A. Romero,"123 S Alvarado St, Los Angeles, CA 90057, USA",(213) 989-7700,34.0660391,-118.2710713
