City,Health Center Name,State,address,combinedKey,contact,lat,lon,name
ANCHORAGE,"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC.",AK,"1131 E International Airport Rd, Anchorage, AK 99518, USA","ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC., ANCHORAGE, AK",(907) 276-2700,61.174313100000006,-149.8615828,Aleutian Pribilof Islands Association
ANCHORAGE,"EASTERN ALEUTIAN TRIBES, INC.",AK,"3380 C St #100, Anchorage, AK 99503, USA","EASTERN ALEUTIAN TRIBES, INC., ANCHORAGE, AK",(907) 277-1440,61.1898406,-149.88719780000002,Eastern Aleutian Tribes Inc
ANCHORAGE,SOUTHCENTRAL FOUNDATION,AK,"Southcentral Foundation Administration Building, 4501 Diplomacy Dr, Anchorage, AK 99508, USA","SOUTHCENTRAL FOUNDATION, ANCHORAGE, AK",(907) 729-4955,61.1823417,-149.79589199999995,Southcentral Foundation
BETHEL,BETHEL FAMILY CLINIC,AK,"631 4th Ave, Bethel, AK 99559, USA","BETHEL FAMILY CLINIC, BETHEL, AK",(907) 543-3773,60.7964324,-161.7623748,Bethel Family Clinic
BETHEL,YUKON-KUSKOKWIM HEALTH CORPORATION,AK,"185 Hoffman Rd, Bethel, AK 99559, USA","YUKON-KUSKOKWIM HEALTH CORPORATION, BETHEL, AK",(907) 543-5158,60.7831733,-161.7969814,Yukon Kuskokwim Health Corporation
CORDOVA,NATIVE VILLAGE OF EYAK,AK,"110 Nicholoff Way, Cordova, AK 99574, USA","NATIVE VILLAGE OF EYAK, CORDOVA, AK",(907) 424-7738,60.54268560000001,-145.7646595,Native Village of Eyak
DILLINGHAM,BRISTOL BAY AREA HEALTH CORPORATION,AK,"6000 Kanakanak Rd, Dillingham, AK 99576, USA","BRISTOL BAY AREA HEALTH CORPORATION, DILLINGHAM, AK",(800) 478-5201,59.00060670000001,-158.5368215,Bristol Bay Area Health Corporation
FAIRBANKS,DENA' NENA' HENASH,AK,"122 1st Ave, Fairbanks, AK 99701, USA","DENA' NENA' HENASH, FAIRBANKS, AK",(907) 452-8251,64.8440859,-147.7106986,Tanana Chiefs Conference
FORT YUKON,COUNCIL OF ATHABASCAN TRIBAL GOVERNMENTS,AK,"101 Main St, Fort Yukon, AK 99740, USA","COUNCIL OF ATHABASCAN TRIBAL GOVERNMENTS, FORT YUKON, AK",(907) 662-2587,66.56735,-145.2513402,Council-Athabascan Tribal
KODIAK,KODIAK AREA NATIVE ASSOCIATION,AK,"3449 E Rezanof Dr, Kodiak, AK 99615, USA","KODIAK AREA NATIVE ASSOCIATION, KODIAK, AK",(907) 486-9800,57.8117868,-152.35509530000004,Kodiak Area Native Association-KANA
KOTZEBUE,MANIILAQ ASSOCIATION,AK,"436 5th Ave, Kotzebue, AK 99752, USA","MANIILAQ ASSOCIATION, KOTZEBUE, AK",(907) 442-3321,66.8961237,-162.58683330000005,Maniiḷaq Health Center
NOME,NORTON SOUND HEALTH CORPORATION,AK,"1000 Greg Kruschek Avenue, Nome, AK 99762, USA","NORTON SOUND HEALTH CORPORATION, NOME, AK",(907) 443-3311,64.5000585,-165.387086,Norton Sound Health Corporation
SELDOVIA,SELDOVIA VILLAGE TRIBE,AK,"206 Main St, Seldovia, AK 99663, USA","SELDOVIA VILLAGE TRIBE, SELDOVIA, AK",(907) 234-7898,59.4370189,-151.7119381,Seldovia Village Tribe
YAKUTAT,YAKUTAT TLINGIT TRIBE,AK,"716 Ocean Cape Rd, Yakutat, AK 99689, USA","YAKUTAT TLINGIT TRIBE, YAKUTAT, AK",(907) 784-3238,59.5440109,-139.7318434,Yakutat Tlingit Tribe
PAGO PAGO,DEPARTMENT OF HEALTH,AS,"Fagatogo, Pago Pago, Eastern District 96799, American Samoa","DEPARTMENT OF HEALTH, PAGO PAGO, AS",,-14.2763878,-170.69239299999995,DOH-Environmental Health Services Division
CASA GRANDE,"SUN LIFE FAMILY HEALTH CENTER, INC",AZ,"865 N Arizola Rd, Casa Grande, AZ 85122, USA","SUN LIFE FAMILY HEALTH CENTER, INC, CASA GRANDE, AZ",(520) 836-3446,32.8821647,-111.714972,Sun Life Family Health Center
DOUGLAS,"CHIRICAHUA COMMUNITY HEALTH CENTERS, INC.",AZ,"815 15th St, Douglas, AZ 85607, USA","CHIRICAHUA COMMUNITY HEALTH CENTERS, INC., DOUGLAS, AZ",(520) 364-5437,31.3492938,-109.54924540000002,"Pediatric Center of Excellence - Chiricahua Community Health Centers, Inc."
FLAGSTAFF,"NORTH COUNTRY HEALTHCARE, INC.",AZ,"2920 N Fourth St, Flagstaff, AZ 86004, USA","NORTH COUNTRY HEALTHCARE, INC., FLAGSTAFF, AZ",(928) 522-9400,35.2168899,-111.6126929,North Country HealthCare - Flagstaff (4th Street)
GREEN VALLEY,"UNITED COMMUNITY HEALTH CENTER-MARIA AUXILIADORA, INC.",AZ,"4475 I-19 Frontage Rd #139, Green Valley, AZ 85614, USA","UNITED COMMUNITY HEALTH CENTER-MARIA AUXILIADORA, INC., GREEN VALLEY, AZ",(520) 407-5910,31.80618710000001,-111.0104217,United Community Health Center at Green Valley Hospital
NOGALES,"MARIPOSA COMMUNITY HEALTH CENTER, INC.",AZ,"1852 N Mastick Way, Nogales, AZ 85621, USA","MARIPOSA COMMUNITY HEALTH CENTER, INC., NOGALES, AZ",(520) 281-1550,31.3656886,-110.9335064,Mariposa Community Health Center
PHOENIX,"ADELANTE HEALTHCARE, INC.",AZ,"3033 N Central Ave Suite 145, Phoenix, AZ 85012, USA","ADELANTE HEALTHCARE, INC., PHOENIX, AZ",(877) 809-5092,33.4835789,-112.0731297,Adelante Healthcare
PHOENIX,CIRCLE THE CITY,AZ,"333 W Indian School Rd, Phoenix, AZ 85013, USA","CIRCLE THE CITY, PHOENIX, AZ",(602) 776-9000,33.4944925,-112.0799916,Circle the City
PHOENIX,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,AZ,"2601 E Roosevelt St, Phoenix, AZ 85008, USA","MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT, PHOENIX, AZ",(602) 344-5011,33.4572917,-112.0261916,Valleywise Health Medical Center
PHOENIX,MOUNTAIN PARK HEALTH CENTER,AZ,"635 E Baseline Rd, Phoenix, AZ 85042, USA","MOUNTAIN PARK HEALTH CENTER, PHOENIX, AZ",(602) 243-7277,33.3768311,-112.067954,Mountain Park Health Center Baseline Clinic
PHOENIX,"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",AZ,"2423 W Dunlap Ave, Phoenix, AZ 85021, USA","NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC., PHOENIX, AZ",(602) 279-5351,33.5670953,-112.1116523,NHW Community Health Center
PHOENIX,TERROS INC,AZ,"3003 N Central Ave Suite #400, Phoenix, AZ 85012, USA","TERROS INC, PHOENIX, AZ",(602) 685-6000,33.4826645,-112.0732533,Terros Health -Central Office
PHOENIX,"VALLE DEL SOL, INC.",AZ,"1209 S 1st Ave, Phoenix, AZ 85003, USA","VALLE DEL SOL, INC., PHOENIX, AZ",(602) 258-6797,33.4356309,-112.0746715,Valle del Sol
PHOENIX,WESLEY COMMUNITY CENTER INC,AZ,"1300 S 10th St, Phoenix, AZ 85034, USA","WESLEY COMMUNITY CENTER INC, PHOENIX, AZ",(602) 257-4323,33.43476500000001,-112.060004,Wesley Community Center
SCOTTSDALE,NEIGHBORHOOD OUTREACH ACCESS TO HEALTH,AZ,"3634 N Drinkwater Blvd, Scottsdale, AZ 85251, USA","NEIGHBORHOOD OUTREACH ACCESS TO HEALTH, SCOTTSDALE, AZ",,33.4903919,-111.92196,Neighborhood Outreach Access To Health
SOMERTON,SUNSET COMMUNITY HEALTH CENTER,AZ,"115 N Somerton Ave, Somerton, AZ 85350, USA","SUNSET COMMUNITY HEALTH CENTER, SOMERTON, AZ",(928) 627-2051,32.5967846,-114.7099416,Sunset Community Health Center
TUBA CITY,TUBA CITY REGIONAL HEALTHCARE CORPORATION,AZ,"167 Main St, Tuba City, AZ 86045, USA","TUBA CITY REGIONAL HEALTHCARE CORPORATION, TUBA CITY, AZ",(866) 976-5941,36.1359847,-111.2369947,Tuba City Regional Health Care
TUCSON,"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",AZ,"450 W Paseo Redondo, Tucson, AZ 85701, USA","EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC., TUCSON, AZ",(520) 670-3909,32.2232839,-110.9789256,El Rio Community Health Center Adminstration
AUGUSTA,ARCARE,AR,"400 Hwy 64 E, Augusta, AR 72006, USA","ARCARE, AUGUSTA, AR",(870) 347-2508,35.2928924,-91.362915,ARcare - Augusta Medical Clinic
MARIANNA,LEE COUNTY COOPERATIVE CLINIC,AR,"530 Atkins Blvd, Marianna, AR 72360, USA","LEE COUNTY COOPERATIVE CLINIC, MARIANNA, AR",(870) 295-5225,34.7710512,-90.7761364,Lee County Cooperative Clinic
PINE BLUFF,"JEFFERSON COMPREHENSIVE CARE SYSTEM, INC.",AR,"1101 S Tennessee St, Pine Bluff, AR 71601, USA","JEFFERSON COMPREHENSIVE CARE SYSTEM, INC., PINE BLUFF, AR",(870) 543-2380,34.2189348,-91.9979215,"Jefferson Comprehensive Care System, Inc."
PORTLAND,MAINLINE HEALTH SYSTEMS INC,AR,"223 N Main St, Portland, AR 71663, USA","MAINLINE HEALTH SYSTEMS INC, PORTLAND, AR",(870) 737-2221,33.2390033,-91.5115391,Mainline Health Systems Inc
SPRINGDALE,"ST. FRANCIS HOUSE NWA, INC.",AR,"614 E Emma Ave #300, Springdale, AR 72764, USA","ST. FRANCIS HOUSE NWA, INC., SPRINGDALE, AR",(479) 751-7417,36.1854151,-94.1230514,Community Clinic- Springdale Medical | Pediatrics and Women's Health
WEST MEMPHIS,"EAST ARKANSAS FAMILY HEALTH CENTER, INC.",AR,"900 N 7th St, West Memphis, AR 72301, USA","EAST ARKANSAS FAMILY HEALTH CENTER, INC., WEST MEMPHIS, AR",(870) 735-3842,35.1544521,-90.1764112,East Arkansas Family Health Center
ALHAMBRA,"NORTHEAST COMMUNITY CLINIC, THE",CA,"2550 W Main St #301, Alhambra, CA 91801, USA","NORTHEAST COMMUNITY CLINIC, THE, ALHAMBRA, CA",(626) 457-6900,34.09486500000001,-118.1517122,NECC Administration
ALHAMBRA,THE NORTHEAST COMMUNITY CLINIC – FQHC LOOK ALIKE,CA,"2550 W Main St #301, Alhambra, CA 91801, USA","THE NORTHEAST COMMUNITY CLINIC – FQHC LOOK ALIKE, ALHAMBRA, CA",(626) 457-6900,34.094934,-118.1517377,Northeast Community Clinic
ANAHEIM,"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.",CA,"1820 W Lincoln Ave #1814, Anaheim, CA 92801, USA","CENTRAL CITY COMMUNITY HEALTH CENTER, INC., ANAHEIM, CA",(714) 805-7719,33.8321923,-117.94682179999998,"Central City Community Health Center Inc., - Lincoln"
ARCATA,OPEN DOOR COMMUNITY HEALTH CENTERS,CA,"3800 Janes Rd, Arcata, CA 95521, USA","OPEN DOOR COMMUNITY HEALTH CENTERS, ARCATA, CA",(707) 822-1385,40.896393,-124.0916628,Open Door Community Health Center
ARLETA,"EL PROYECTO DEL BARRIO, INC.",CA,"8902 Woodman Ave, Arleta, CA 91331, USA","EL PROYECTO DEL BARRIO, INC., ARLETA, CA",(818) 830-7033,34.2315227,-118.437257,El Proyecto Del Barrio
AVENAL,AVENAL COMMUNITY HEALTH CENTER,CA,"1000 Skyline Blvd, Avenal, CA 93204, USA","AVENAL COMMUNITY HEALTH CENTER, AVENAL, CA",(559) 386-4500,36.0076729,-120.12141979999998,Avenal Community Health Center
BAKERSFIELD,CLINICA SIERRA VISTA,CA,"2000 Physicians Blvd, Bakersfield, CA 93301, USA","CLINICA SIERRA VISTA, BAKERSFIELD, CA",(661) 324-1455,35.3967924,-119.0086268,Clinica Sierra Vista - 34th Street Community Health Center
BAKERSFIELD,OMNI FAMILY HEALTH,CA,"4600 Panama Ln #102b, Bakersfield, CA 93313, USA","OMNI FAMILY HEALTH, BAKERSFIELD, CA",(800) 300-6664,35.29643439999999,-119.0543392,Omni Family Health | Panama Lane Health Center
BELL GARDENS,"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC.",CA,"6501 S, Garfield Ave, Bell Gardens, CA 90201, USA","FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC., BELL GARDENS, CA",(562) 928-9600,33.9732363,-118.14764479999998,Family Health Care Centers of Greater Los Angeles
BERKELEY,LIFELONG MEDICAL CARE,CA,"837 Addison St, Berkeley, CA 94710, USA","LIFELONG MEDICAL CARE, BERKELEY, CA",(510) 981-4100,37.8669849,-122.2970458,LifeLong West Berkeley Health Center
BORREGO SPGS,BORREGO COMMUNITY HEALTH FOUNDATION,CA,"655 Palm Canyon Dr, Borrego Springs, CA 92004, USA","BORREGO COMMUNITY HEALTH FOUNDATION, BORREGO SPGS, CA",(760) 767-5608,33.2563235,-116.3768927,Borrego Community Health Foundation
BRAWLEY,"CLINICAS DE SALUD DEL PUEBLO, INC.",CA,"900 Main St, Brawley, CA 92227, USA","CLINICAS DE SALUD DEL PUEBLO, INC., BRAWLEY, CA",(760) 344-6471,32.9782583,-115.5278029,"Brawley Medical Clinic - Clinicas de Salud del Pueblo, Inc."
BUENA PARK,"KOREAN COMMUNITY SERVICES, INC.",CA,"7212 Orangethorpe Ave Suite 8, Buena Park, CA 90621, USA","KOREAN COMMUNITY SERVICES, INC., BUENA PARK, CA",(714) 449-1125,33.8581677,-118.0074623,Korean Community Services
BURBANK,ALL-INCLUSIVE COMMUNITY HEALTH CENTER,CA,"1311 N San Fernando Blvd, Burbank, CA 91504, USA","ALL-INCLUSIVE COMMUNITY HEALTH CENTER, BURBANK, CA",(818) 843-9900,34.1893761,-118.3207868,All-Inclusive Community Health Center
CARSON,YEHOWA MEDICAL SERVICES,CA,"454 Carson Plaza Dr, Carson, CA 90746, USA","YEHOWA MEDICAL SERVICES, CARSON, CA",(323) 776-1500,33.846548299999995,-118.2671389,Yehowa Medical Services
COMMERCE,ALTAMED HEALTH SERVICES CORPORATION,CA,"5436 Whittier Blvd, Los Angeles, CA 90022, USA","ALTAMED HEALTH SERVICES CORPORATION, COMMERCE, CA",(888) 363-1293,34.0191973,-118.15321570000002,AltaMed Health Services Corporation
COMPTON,"DE NOVO HEALTH CARE, INC.",CA,"803 Rosecrans Ave, Compton, CA 90221, USA","DE NOVO HEALTH CARE, INC., COMPTON, CA",(310) 605-4800,33.903617,-118.215244,De Novo Health Care Inc.
COMPTON,"R.O.A.D.S. FOUNDATION, INC., THE",CA,"121 S Long Beach Blvd, Compton, CA 90221, USA","R.O.A.D.S. FOUNDATION, INC., THE, COMPTON, CA",(855) 645-0033,33.894956,-118.208363,ROADS Community Care Clinic
COSTA MESA,SHARE OUR SELVES CORPORATION,CA,"1550 Superior Ave, Costa Mesa, CA 92627, USA","SHARE OUR SELVES CORPORATION, COSTA MESA, CA",(949) 270-2100,33.632533200000005,-117.9268629,Share Our Selves
CULVER CITY,ACHIEVABLE FOUNDATION THE,CA,"5901 Green Valley Cir UNIT 405, Culver City, CA 90230, USA","ACHIEVABLE FOUNDATION THE, CULVER CITY, CA",(424) 266-7474,33.984195,-118.3919144,The Achievable Foundation
DAVIS,COMMUNICARE HEALTH CENTERS,CA,"2051 John Jones Rd, Davis, CA 95616, USA","COMMUNICARE HEALTH CENTERS, DAVIS, CA",(530) 758-2060,38.563708,-121.7695775,Communicare Health Center
E PALO ALTO,"SOUTH COUNTY COMMUNITY HEALTH CENTER, INC.",CA,"ste a east 94303, 1798 Bay Rd, Palo Alto, CA 94303, USA","SOUTH COUNTY COMMUNITY HEALTH CENTER, INC., E PALO ALTO, CA",(650) 330-7400,37.4711824,-122.1338668,"South County Community Health Center, Inc."
EL MONTE,"SOUTHERN CALIFORNIA MEDICAL CENTER, INC.",CA,"12100 Valley Blvd #109a, El Monte, CA 91732, USA","SOUTHERN CALIFORNIA MEDICAL CENTER, INC., EL MONTE, CA",(626) 575-7500,34.060815500000004,-118.01634540000002,"Southern California Medical Center, Inc."
ESCONDIDO,NEIGHBORHOOD HEALTHCARE,CA,"460 N Elm St, Escondido, CA 92025, USA","NEIGHBORHOOD HEALTHCARE, ESCONDIDO, CA",(760) 520-8100,33.1286381,-117.0727663,Neighborhood Healthcare - Escondido
FAIRFIELD,"SOLANO, COUNTY OF",CA,"Fairfield, CA, USA","SOLANO, COUNTY OF, FAIRFIELD, CA",,38.2491956,-122.04051509999998,Fairfield
FREMONT,BAY AREA COMMUNITY HEALTH,CA,"39500 Liberty St, Fremont, CA 94538, USA","BAY AREA COMMUNITY HEALTH, FREMONT, CA",(510) 770-8040,37.54894210000001,-121.9769658,Bay Area Community Health
FRESNO,UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,CA,"3875 W Beechwood Ave, Fresno, CA 93722, USA","UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY, FRESNO, CA",(800) 492-4227,36.8379472,-119.8633293,United Health Centers-Administration Building
FULLERTON,ST. JUDE NEIGHBORHOOD HEALTH CENTERS,CA,"731 S Highland Ave, Fullerton, CA 92832, USA","ST. JUDE NEIGHBORHOOD HEALTH CENTERS, FULLERTON, CA",(714) 446-5100,33.863589000000005,-117.928901,St. Jude Neighborhood Clinic
GARDEN GROVE,"NHAN HOA COMPREHENSIVE HEALTH CARE CLINIC, INC.",CA,"7761 Garden Grove Blvd, Garden Grove, CA 92841, USA","NHAN HOA COMPREHENSIVE HEALTH CARE CLINIC, INC., GARDEN GROVE, CA",(714) 898-8888,33.7739924,-117.9965813,Nhan Hoa Comprehensive Health Care Clinic
GLENDALE,ALL FOR HEALTH HEALTH FOR ALL,CA,"519 E Broadway, Glendale, CA 91205, USA","ALL FOR HEALTH HEALTH FOR ALL, GLENDALE, CA",(818) 409-3020,34.1466218,-118.2492201,"All For Health, Health For All"
GLENDALE,"COMPREHENSIVE COMMUNITY HEALTH CENTERS, INC.",CA,"1704 Colorado Blvd, Eagle Rock, CA 90041, USA","COMPREHENSIVE COMMUNITY HEALTH CENTERS, INC., GLENDALE, CA",(323) 256-4116,34.1391136,-118.2039119,"Comprehensive Community Health Centers, Inc."
HAPPY CAMP,KARUK TRIBE,CA,"64236 2nd Ave, Happy Camp, CA 96039, USA","KARUK TRIBE, HAPPY CAMP, CA",(530) 493-1600,41.7910804,-123.3800585,Karuk Tribe Administration
HAWTHORNE,BEHAVIORAL HEALTH SERVICES INC,CA,"15519 Crenshaw Blvd, Gardena, CA 90249, USA","BEHAVIORAL HEALTH SERVICES INC, HAWTHORNE, CA",(310) 679-9126,33.889539,-118.326804,Behavioral Health Services Inc
HEALDSBURG,"ALLIANCE MEDICAL CENTER, INC.",CA,"1381 University Ave, Healdsburg, CA 95448, USA","ALLIANCE MEDICAL CENTER, INC., HEALDSBURG, CA",(707) 433-5494,38.6273915,-122.8654598,Alliance Medical Center
HOLLISTER,SAN BENITO HEALTH FOUNDATION,CA,"351 Felice Dr, Hollister, CA 95023, USA","SAN BENITO HEALTH FOUNDATION, HOLLISTER, CA",(831) 637-5306,36.85323620000001,-121.4163828,San Benito Health Foundation
IMPERIAL BCH,IMPERIAL BEACH COMMUNITY CLINIC,CA,"949 Palm Ave, Imperial Beach, CA 91932, USA","IMPERIAL BEACH COMMUNITY CLINIC, IMPERIAL BCH, CA",(619) 429-3733,32.583630199999995,-117.1134051,Imperial Beach Community Clinic
IRVINE,"UNIVERSITY OF CALIFORNIA, IRVINE",CA,"Irvine, CA 92697, USA","UNIVERSITY OF CALIFORNIA, IRVINE, IRVINE, CA",(949) 824-5011,33.640495200000004,-117.8442962,University of California Irvine
JOSHUA TREE,HI-DESERT MEMORIAL HEALTH CARE DISTRICT,CA,"6601 White Feather Rd, Joshua Tree, CA 92252, USA","HI-DESERT MEMORIAL HEALTH CARE DISTRICT, JOSHUA TREE, CA",(760) 366-3711,34.1321059,-116.2751358,Hi-Desert Medical Center
LA HABRA,FRIENDS OF FAMILY HEALTH CENTER,CA,"501 S Idaho St Unit 270, La Habra, CA 90631, USA","FRIENDS OF FAMILY HEALTH CENTER, LA HABRA, CA",(562) 690-0400,33.9277966,-117.9598288,Friends of Family Health Center
LANCASTER,BARTZ-ALTADONNA COMMUNITY HEALTH CENTER,CA,"43322 Gingham Ave, Lancaster, CA 93535, USA","BARTZ-ALTADONNA COMMUNITY HEALTH CENTER, LANCASTER, CA",(661) 874-4050,34.6699689,-118.1218721,Bartz-Altadonna Community Health Center
LIVINGSTON,LIVINGSTON COMMUNITY HEALTH,CA,"600 B St, Livingston, CA 95334, USA","LIVINGSTON COMMUNITY HEALTH, LIVINGSTON, CA",(833) 850-3500,37.3852933,-120.7341919,Livingston Health Center
LONG BEACH,CHILDREN'S CLINIC 'SERVING CHILDREN AND THEIR FAMILIES' THE,CA,"2360 Pacific Ave, Long Beach, CA 90806, USA","CHILDREN'S CLINIC 'SERVING CHILDREN AND THEIR FAMILIES' THE, LONG BEACH, CA",(844) 822-4646,33.800067299999995,-118.1933925,The Children's Clinic Central Long Beach Family Health Center
LONG BEACH,"COMMUNITY MEDICAL WELLNESS CENTERS, USA",CA,"1360 E Anaheim St, Long Beach, CA 90813, USA","COMMUNITY MEDICAL WELLNESS CENTERS, USA, LONG BEACH, CA",(562) 270-0324,33.7824258,-118.1743871,Community Medical Wellness Centers USA
LOS ANGELES,APLA HEALTH & WELLNESS,CA,"3743 South La Brea Ave, Los Angeles, CA 90016, USA","APLA HEALTH & WELLNESS, LOS ANGELES, CA",(323) 329-9900,34.018727,-118.356329,APLA Health - Gleicher/Chen Health Center
LOS ANGELES,ARROYO VISTA FAMILY HEALTH FOUNDATION,CA,"6000 N Figueroa St, Highland Park, CA 90042, USA","ARROYO VISTA FAMILY HEALTH FOUNDATION, LOS ANGELES, CA",(866) 616-9344,34.1113273,-118.1888713,Arroyo Vista Family Health Center
LOS ANGELES,"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",CA,"1530 Hillhurst Ave, Los Angeles, CA 90027, USA","ASIAN PACIFIC HEALTH CARE VENTURE, INC., LOS ANGELES, CA",(323) 644-3888,34.09891210000001,-118.2871437,"Asian Pacific Health Care Venture, Inc."
LOS ANGELES,BENEVOLENCE INDUSTRIES INCORPORATED,CA,"3631 Crenshaw Blvd #109, Los Angeles, CA 90016, USA","BENEVOLENCE INDUSTRIES INCORPORATED, LOS ANGELES, CA",(323) 732-0100,34.0232994,-118.335602,Benevolence Health Center
LOS ANGELES,CENTRAL NEIGHBORHOOD HEALTH FOUNDATION,CA,"2707 S Central Ave, Los Angeles, CA 90011, USA","CENTRAL NEIGHBORHOOD HEALTH FOUNDATION, LOS ANGELES, CA",(323) 234-5000,34.0176099,-118.2557408,Central Neighborhood Health Foundation
LOS ANGELES,CHINATOWN SERVICE CENTER,CA,"819 W Cesar Estrada Chavez Ave, Los Angeles, CA 90012, USA","CHINATOWN SERVICE CENTER, LOS ANGELES, CA",(213) 808-1700,34.061717200000004,-118.2449417,Chinatown Service Center
LOS ANGELES,"CLINIC INC, THE",CA,"3834 S Western Ave, Los Angeles, CA 90062, USA","CLINIC INC, THE, LOS ANGELES, CA",(323) 730-1920,34.016179,-118.30858899999998,To Help Everyone - Western Clinic
LOS ANGELES,CLINICA MSR. OSCAR A ROMERO,CA,"123 S Alvarado St, Los Angeles, CA 90057, USA","CLINICA MSR. OSCAR A ROMERO, LOS ANGELES, CA",(213) 989-7700,34.0660391,-118.2710713,Clínica Monseñor Oscar A. Romero
