Health Center Name,City,State,Status
"ADELANTE HEALTHCARE, INC.",PHOENIX,AZ,Participating
MOUNTAIN PARK HEALTH CENTER,PHOENIX,AZ,Participating
NEIGHBORHOOD OUTREACH ACCESS TO HEALTH,SCOTTSDALE,AZ,Participating
SUNSET COMMUNITY HEALTH CENTER,SOMERTON,AZ,Participating
"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",TUCSON,AZ,Participating
CLINICA SIERRA VISTA,BAKERSFIELD,CA,Participating
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating
LIFELONG MEDICAL CARE,BERKELEY,CA,Participating
ALTAMED HEALTH SERVICES CORPORATION,COMMERCE,CA,Participating
UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,FRESNO,CA,Participating
"JWCH INSTITUTE, INC.",LOS ANGELES,CA,Participating
"ST. JOHN'S WELL CHILD AND FAMILY CENTER, INC.",LOS ANGELES,CA,Participating
CAMARENA HEALTH,MADERA,CA,Participating
"COMMUNITY HEALTH CENTERS OF THE CENTRAL COAST, INC.",NIPOMO,CA,Participating
MARIN COMMUNITY CLINIC,NOVATO,CA,Participating
ASIAN HEALTH SERVICES,OAKLAND,CA,Participating
"LA CLINICA DE LA RAZA, INC.",OAKLAND,CA,Participating
COUNTY OF VENTURA,OXNARD,CA,Participating
RIVERSIDE COUNTY HEALTH SYSTEM,RIVERSIDE,CA,Participating
CLINICA DE SALUD DEL VALLE DE SALINAS,SALINAS,CA,Participating
"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.",SAN DIEGO,CA,Participating
"LA MAESTRA FAMILY CLINIC, INC.",SAN DIEGO,CA,Participating
NORTHEAST VALLEY HEALTH CORPORATION,SAN FERNANDO,CA,Participating
NORTH EAST MEDICAL SERVICES,SAN FRANCISCO,CA,Participating
SAN FRANCISCO COMMUNITY CLINIC CONSORTIUM,SAN FRANCISCO,CA,Participating
"VALLEY HEALTH TEAM, INC.",SAN JOAQUIN,CA,Participating
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",SAN YSIDRO,CA,Participating
"CLINICAS DEL CAMINO REAL, INC.",VENTURA,CA,Participating
FAMILY HEALTHCARE NETWORK,VISALIA,CA,Participating
VISTA COMMUNITY CLINIC,VISTA,CA,Participating
SALUD PARA LA GENTE,WATSONVILLE,CA,Participating
"VALLEY WIDE HEALTH SYSTEMS, INC.",ALAMOSA,CO,Participating
"COLORADO COALITION FOR THE HOMELESS, THE",DENVER,CO,Participating
DENVER HEALTH AND HOSPITALS AUTHORITY,DENVER,CO,Participating
"METRO COMMUNITY PROVIDER NETWORK, INC.",ENGLEWOOD,CO,Participating
"PLAN DE SALUD DEL VALLE, INC.",FORT LUPTON,CO,Participating
"FIRST CHOICE HEALTH CENTERS, INC.",EAST HARTFORD,CT,Participating
"CHARTER OAK HEALTH CENTER, INC",HARTFORD,CT,Participating
"COMMUNITY HEALTH CENTER, INCORPORATED",MIDDLETOWN,CT,Participating
FAIR HAVEN COMMUNITY HEALTH CLINIC INC,NEW HAVEN,CT,Participating
"MARY'S CENTER FOR MATERNAL AND CHILD CARE, INC.",WASHINGTON,DC,Participating
"UNITY HEALTH CARE, INC.",WASHINGTON,DC,Participating
"LA RED HEALTH CENTER, INC.",GEORGETOWN,DE,Participating
"COMMUNITY HEALTH SOUTH FLORIDA, INC.",CUTLER BAY,FL,Participating
"PREMIER COMMUNITY HEALTHCARE GROUP, INC.",DADE CITY,FL,Participating
"TREASURE COAST COMMUNITY HEALTH, INC.",FELLSMERE,FL,Participating
"FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA, INC.",FORT MYERS,FL,Participating
"COLLIER HEALTH SERVICES, INC.",IMMOKALEE,FL,Participating
"PRIMARY CARE MEDICAL SERVICES OF POINCIANA, INC.",KISSIMMEE,FL,Participating
"BORINQUEN HEALTH CARE CENTER, INC.",MIAMI,FL,Participating
"JESSIE TRICE COMMUNITY HEALTH SYSTEM, INC.",MIAMI,FL,Participating
MIAMI BEACH COMMUNITY HEALTH CENTER INC.,MIAMI BEACH,FL,Participating
"MCR HEALTH, INC.",PALMETTO,FL,Participating
"ESCAMBIA COMMUNITY CLINICS, INC.",PENSACOLA,FL,Participating
"SUNCOAST COMMUNITY HEALTH CENTERS, INC.",RUSKIN,FL,Participating
"COMMUNITY HEALTH CENTERS OF PINELLAS, INC.",SAINT PETERSBURG,FL,Participating
"BOND COMMUNITY HEALTH CENTER, INC.",TALLAHASSEE,FL,Participating
"TAMPA FAMILY HEALTH CENTERS, INC.",TAMPA,FL,Participating
"FLORIDA COMMUNITY HEALTH CENTERS, INC.",WEST PALM BEACH,FL,Participating
"COMMUNITY HEALTH CENTERS, INC.",WINTER GARDEN,FL,Participating
SAINT JOSEPHS MERCY CARE SVCS,ATLANTA,GA,Participating
"EAST GEORGIA HEALTHCARE CENTER, INC.",SWAINSBORO,GA,Participating
"COMMUNITY HEALTH CARE, INC.",DAVENPORT,IA,Participating
"COMMUNITY HEALTH CLINICS, INC.",NAMPA,ID,Participating
"VNA HEALTH CARE, AN ILLINOIS NOT-FOR-PROFIT CORPORATION",AURORA,IL,Participating
ACCESS COMMUNITY HEALTH NETWORK,CHICAGO,IL,Participating
"ERIE FAMILY HEALTH CENTER, INC.",CHICAGO,IL,Participating
ESPERANZA HEALTH CENTERS,CHICAGO,IL,Participating
HEARTLAND ALLIANCE HEALTH,CHICAGO,IL,Participating
"SOUTHERN ILLINOIS HEALTH CARE FOUNDATION, INC.",E SAINT LOUIS,IL,Participating
GREATER ELGIN FAMILY CARE CENTER,ELGIN,IL,Participating
THE HEALTH & HOSPITAL CORP OF MARION COUNTY,INDIANAPOLIS,IN,Participating
"HEALTHLINC, INC.",VALPARAISO,IN,Participating
"COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS, INC.",PITTSBURG,KS,Participating
"GRACEMED HEALTH CLINIC, INC.",WICHITA,KS,Participating
MOUNTAIN COMPREHENSIVE HEALTH CORPORATION,WHITESBURG,KY,Participating
MARILLAC COMMUNITY HEALTH CENTERS,NEW ORLEANS,LA,Participating
"ST. THOMAS COMMUNITY HEALTH CENTER, INC.",NEW ORLEANS,LA,Participating
"BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM, INC., THE",BOSTON,MA,Participating
EAST BOSTON NEIGHBORHOOD HEALTH CENTER CORPORATION,BOSTON,MA,Participating
"FENWAY COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating
"SOUTH BOSTON COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating
"SOUTH COVE COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating
"CHARLES RIVER COMMUNITY HEALTH, INC.",BRIGHTON,MA,Participating
"BROCKTON NEIGHBORHOOD HEALTH CENTER, INC.",BROCKTON,MA,Participating
"CODMAN SQUARE HEALTH CENTER, INC",DORCHESTR CTR,MA,Participating
"HOLYOKE HEALTH CENTER, INC.",HOLYOKE,MA,Participating
"GREATER LAWRENCE FAMILY HEALTH CENTER, INC.",LAWRENCE,MA,Participating
"LYNN COMMUNITY HEALTH, INC.",LYNN,MA,Participating
WHITTIER STREET HEALTH CENTER,ROXBURY,MA,Participating
"EDWARD M. KENNEDY COMMUNITY HEALTH CENTER, INC.",WORCESTER,MA,Participating
"HEALTH CARE FOR THE HOMELESS, INC.",BALTIMORE,MD,Participating
"COMMUNITY CLINIC, INC., THE",SILVER SPRING,MD,Participating
PENOBSCOT COMMUNITY HEALTH CENTER,BANGOR,ME,Participating
HEALTHREACH COMMUNITY HEALTH CENTERS,WATERVILLE,ME,Participating
BALDWIN FAMILY HEALTH CARE,BALDWIN,MI,Participating
INTERCARE COMMUNITY HEALTH NETWORK,BANGOR,MI,Participating
"GRACE HEALTH, INC.",BATTLE CREEK,MI,Participating
FAMILY MEDICAL CENTER OF MICHIGAN INC,CARLETON,MI,Participating
"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER, INC.",DETROIT,MI,Participating
"COVENANT COMMUNITY CARE, INC.",DETROIT,MI,Participating
"CHERRY STREET SERVICES, INC.",GRAND RAPIDS,MI,Participating
"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED",HILLMAN,MI,Participating
"ALCONA CITIZENS FOR HEALTH, INC.",LINCOLN,MI,Participating
HACKLEY COMMUNITY CARE CENTER INC,MUSKEGON,MI,Participating
"WEST SIDE COMMUNITY HEALTH SERVICES, INC.",SAINT PAUL,MN,Participating
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.",SPRINGFIELD,MO,Participating
"CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION, INC.",JACKSON,MS,Participating
"MISSOULA, COUNTY OF",MISSOULA,MT,Participating
"PIEDMONT HEALTH SERVICES, INC.",CARRBORO,NC,Participating
"TRIAD ADULT AND PEDIATRIC MEDICINE, INC.",GREENSBORO,NC,Participating
"HEALTH & HUMAN SERVICES, NORTH CAROLINA DEPARTMENT OF",RALEIGH,NC,Participating
"RURAL HEALTH GROUP, INC.",ROANOKE RAPID,NC,Participating
"GREENE COUNTY HEALTH CARE, INCORPORATED",SNOW HILL,NC,Participating
COAL COUNTRY COMMUNITY HEALTH CENTER,BEULAH,ND,Participating
SPECTRA HEALTH,GRAND FORKS,ND,Participating
BLUESTEM HEALTH,LINCOLN,NE,Participating
"ONEWORLD COMMUNITY HEALTH CENTERS, INC.",OMAHA,NE,Participating
AMMONOOSUC COMMUNITY HEALTH SERVICES INC,LITTLETON,NH,Participating
"COMMUNITY HEALTH CARE, INC.",BRIDGETON,NJ,Participating
ZUFALL HEALTH CENTER INC.,DOVER,NJ,Participating
"HENRY J. AUSTIN HEALTH CENTER, INC.",TRENTON,NJ,Participating
NORTH HUDSON COMMUNITY ACTION CORPORATION,UNION CITY,NJ,Participating
"BEN ARCHER HEALTH CENTER, INC.",HATCH,NM,Participating
"NEVADA HEALTH CENTERS, INC.",CARSON CITY,NV,Participating
"WHITNEY M. YOUNG, JR., HEALTH CENTER, INC.",ALBANY,NY,Participating
THE ADDABBO JOSEPH P FAMILY HEALTH CENTER INC,ARVERNE,NY,Participating
"BRONX COMMUNITY HEALTH NETWORK, INC",BRONX,NY,Participating
BRONX LEBANON INTEGRATED SERVICE SYSTEM INC,BRONX,NY,Participating
"URBAN HEALTH PLAN, INC.",BRONX,NY,Participating
"SUNSET PARK HEALTH COUNCIL, INC.",BROOKLYN,NY,Participating
JERICHO ROAD MINISTRIES INC.,BUFFALO,NY,Participating
"NEIGHBORHOOD HEALTH CENTER OF WNY, INC.",BUFFALO,NY,Participating
CORNERSTONE FAMILY HEALTHCARE,CORNWALL,NY,Participating
FLOATING HOSPITAL INCORPORATED (THE),LONG ISLAND CITY,NY,Participating
"CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.",NEW YORK,NY,Participating
"INSTITUTE FOR FAMILY HEALTH, THE",NEW YORK,NY,Participating
"WILLIAM F. RYAN COMMUNITY HEALTH CENTER, INC.",NEW YORK,NY,Participating
"OPEN DOOR FAMILY MEDICAL CENTER, INC.",OSSINING,NY,Participating
"HUDSON RIVER HEALTHCARE, INC.",PEEKSKILL,NY,Participating
FINGER LAKES MIGRANT HEALTH CARE,PENN YAN,NY,Participating
"AXESSPOINTE COMMUNITY HEALTH CENTER, INC.",AKRON,OH,Participating
"CINCINNATI HEALTH NETWORK INC, THE",CINCINNATI,OH,Participating
HEALTH PARTNERS OF WESTERN OHIO,LIMA,OH,Participating
"VARIETY CARE, INC.",OKLAHOMA CITY,OK,Participating
VIRGINIA GARCIA MEMORIAL HEALTH CENTER,ALOHA,OR,Participating
COUNTY OF LANE,EUGENE,OR,Participating
"MULTNOMAH, COUNTY OF",PORTLAND,OR,Participating
NEIGHBORHOOD HEALTH CENTER,PORTLAND,OR,Participating
"DELAWARE VALLEY COMMUNITY HEALTH, INC.",PHILADELPHIA,PA,Participating
PUBLIC HEALTH MANAGEMENT CORPORATION,PHILADELPHIA,PA,Participating
"RESOURCES FOR HUMAN DEVELOPMENT, INC.",PHILADELPHIA,PA,Participating
"SUSQUEHANNA COMMUNITY HEALTH AND DENTAL CLINIC, INC.",WILLIAMSPORT,PA,Participating
"MIGRANT HEALTH CENTER WESTERN REGION, INC.",MAYAGUEZ,PR,Participating
SALUD INTEGRAL EN LA MONTANA INC,NARANJITO,PR,Participating
CENTRO DE SERVICIOS PRIMARIOS DE SALUD DE PATILLAS INC,PATILLAS,PR,Participating
"MED CENTRO, INC.",PONCE,PR,Participating
"PROVIDENCE COMMUNITY HEALTH CENTERS, INC., THE",PROVIDENCE,RI,Participating
THUNDERMIST HEALTH CENTER,WOONSOCKET,RI,Participating
"FETTER HEALTH CARE NETWORK, INC.",CHARLESTON,SC,Participating
HORIZON HEALTH CARE INC,HOWARD,SD,Participating
CHEROKEE HEALTH SYSTEMS,KNOXVILLE,TN,Participating
COMMUNITY ACTION CORPORATION OF SOUTH TEXAS,ALICE,TX,Participating
TRAVIS COUNTY HEALTHCARE DISTRICT,AUSTIN,TX,Participating
UNITED MEDICAL CENTERS,EAGLE PASS,TX,Participating
CENTRO SAN VICENTE,EL PASO,TX,Participating
LONE STAR CIRCLE OF CARE,GEORGETOWN,TX,Participating
"LEGACY COMMUNITY HEALTH SERVICES, INC.",HOUSTON,TX,Participating
GATEWAY COMMUNITY HEALTH CENTER INC,LAREDO,TX,Participating
"BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER, INC.",SAN ANTONIO,TX,Participating
EL CENTRO DEL BARRIO,SAN ANTONIO,TX,Participating
"COMMUNITY HEALTH CENTERS, INC.",MIDVALE,UT,Participating
NEIGHBORHOOD HEALTH,ALEXANDRIA,VA,Participating
PIEDMONT ACCESS TO HEALTH SERVICES INC,DANVILLE,VA,Participating
FREDERIKSTED HEALTH CARE INC,ST CROIX,VI,Participating
"RICHFORD HEALTH CENTER, INC.",RICHFORD,VT,Participating
COWLITZ FAMILY HEALTH CENTER,LONGVIEW,WA,Participating
MOSES LAKE COMMUNITY HEALTH CENTER,MOSES LAKE,WA,Participating
FAMILY HEALTH CENTERS,OKANOGAN,WA,Participating
COLUMBIA BASIN HEALTH ASSOCIATION,OTHELLO,WA,Participating
TRI-CITIES COMMUNITY HEALTH,PASCO,WA,Participating
HEALTHPOINT,RENTON,WA,Participating
COUNTRY DOCTOR COMMUNITY CLINIC,SEATTLE,WA,Participating
INTERNATIONAL COMMUNITY HEALTH SERVICES,SEATTLE,WA,Participating
"KING, COUNTY OF",SEATTLE,WA,Participating
NEIGHBORCARE HEALTH,SEATTLE,WA,Participating
SEA-MAR COMMUNITY HEALTH CENTER,SEATTLE,WA,Participating
COMMUNITY HEALTH ASSOCIATION OF SPOKANE,SPOKANE,WA,Participating
COMMUNITY HEALTH CARE,TACOMA,WA,Participating
YAKIMA VALLEY FARM WORKERS CLINIC,TOPPENISH,WA,Participating
YAKIMA NEIGHBORHOOD HEALTH SERVICES,YAKIMA,WA,Participating
"SIXTEENTH STREET COMMUNITY HEALTH CENTERS, INC.",MILWAUKEE,WI,Participating
"VALLEY HEALTH SYSTEMS, INC.",HUNTINGTON,WV,Participating
"SHENANDOAH VALLEY MEDICAL SYSTEM, INCORPORATED",MARTINSBURG,WV,Participating
