Health Center Name,City,State,Status,address,phone,lon,lat
DEPARTMENT OF HEALTH,PAGO PAGO,AS,Invited,,,,
"SUN LIFE FAMILY HEALTH CENTER, INC",CASA GRANDE,AZ,Participating,,,,
"CHIRICAHUA COMMUNITY HEALTH CENTERS, INC.",DOUGLAS,AZ,Invited,,,,
"NORTH COUNTRY HEALTHCARE, INC.",FLAGSTAFF,AZ,Invited,,,,
"UNITED COMMUNITY HEALTH CENTER-MARIA AUXILIADORA, INC.",GREEN VALLEY,AZ,Invited,,,,
"MARIPOSA COMMUNITY HEALTH CENTER, INC.",NOGALES,AZ,Invited,,,,
"ADELANTE HEALTHCARE, INC.",PHOENIX,AZ,Participating,,,,
CIRCLE THE CITY,PHOENIX,AZ,Invited,,,,
MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,PHOENIX,AZ,Invited,,,,
MOUNTAIN PARK HEALTH CENTER,PHOENIX,AZ,Participating,,,,
"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",PHOENIX,AZ,Invited,,,,
TERROS INC,PHOENIX,AZ,Invited,,,,
"VALLE DEL SOL, INC.",PHOENIX,AZ,Invited,,,,
WESLEY COMMUNITY CENTER INC,PHOENIX,AZ,Invited,,,,
NEIGHBORHOOD OUTREACH ACCESS TO HEALTH,SCOTTSDALE,AZ,Participating,,,,
SUNSET COMMUNITY HEALTH CENTER,SOMERTON,AZ,Participating,,,,
TUBA CITY REGIONAL HEALTHCARE CORPORATION,TUBA CITY,AZ,Invited,,,,
"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",TUCSON,AZ,Participating,,,,
ARCARE,AUGUSTA,AR,Invited,,,,
LEE COUNTY COOPERATIVE CLINIC,MARIANNA,AR,Invited,"530 Atkins Blvd, Marianna, AR",870-295-5225,-90.77465172,34.77053277
"JEFFERSON COMPREHENSIVE CARE SYSTEM, INC.",PINE BLUFF,AR,Invited,"1101 S Tennessee St, Pine Bluff, AR",870-543-2315,-91.99830443,34.21892701
MAINLINE HEALTH SYSTEMS INC,PORTLAND,AR,Invited,,,,
"ST. FRANCIS HOUSE NWA, INC.",SPRINGDALE,AR,Participating,,,,
"EAST ARKANSAS FAMILY HEALTH CENTER, INC.",WEST MEMPHIS,AR,Invited,"900 N 7th St, West Memphis, AR",870-735-3842,-90.17588355,35.15496985
"NORTHEAST COMMUNITY CLINIC, THE",ALHAMBRA,CA,Invited,,,,
THE NORTHEAST COMMUNITY CLINIC – FQHC LOOK ALIKE,ALHAMBRA,CA,Invited,,,,
"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.",ANAHEIM,CA,Invited,,,,
OPEN DOOR COMMUNITY HEALTH CENTERS,ARCATA,CA,Invited,,,,
"EL PROYECTO DEL BARRIO, INC.",ARLETA,CA,Invited,,,,
AVENAL COMMUNITY HEALTH CENTER,AVENAL,CA,Invited,,,,
CLINICA SIERRA VISTA,BAKERSFIELD,CA,Participating,,,,
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1100 4th St, Taft, CA",800-300-6664,-119.4534105,35.14908676
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"277 E Front St, Buttonwillow, CA",800-300-6664,-119.4658697,35.39970252
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"21138 Paso Robles Hwy, Lost Hills, CA",800-300-6664,-119.6947499,35.61607749
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"355 Campus Dr Ste E, Hanford, CA",800-300-6664,-119.6633644,36.32713178
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"2505 Merced St, Fresno, CA",800-300-6664,-119.78799879999998,36.74081005
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"3748 E Shields Ave, Fresno, CA",800-300-6664,-119.7622758,36.77950141
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"4646 N 1st St, Fresno, CA",800-300-6664,-119.7722125,36.80218301
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"4844 N 1st St Ste 104, Fresno, CA",800-300-6664,-119.77201670000001,36.80585075
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1900 N Gateway Blvd Ste 116, Fresno, CA",800-300-6664,-119.72671329999999,36.76771323
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"6107 N 1st St, Fresno, CA",800-300-6664,-119.772681,36.82523299
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"2101 7th St, Wasco, CA",800-300-6664,-119.34988999999999,35.5942625
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"912 Fremont St, Delano, CA",800-300-6664,-119.24979760000001,35.76759787
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1001 Main St, Delano, CA",800-300-6664,-119.24573249999999,35.7692924
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1215 Jefferson St, Delano, CA",800-300-6664,-119.2451126,35.77250254
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"925 G St, Reedley, CA",800-300-6664,-119.45265,36.59801909
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"320 James St, Shafter, CA",800-300-6664,-119.27717140000001,35.50326295
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"659 S Central Valley Hwy, Shafter, CA",800-300-6664,-119.26475829999998,35.49524470000001
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"655 S Central Valley Hwy, Shafter, CA",800-300-6664,-119.2645486,35.49511703
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1530 E Manning Ave, Reedley, CA",800-300-6664,-119.4326808,36.60418389
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"311 W Noble Ave, Visalia, CA",800-300-6664,-119.295549,36.32638252
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1133 Chelsea St, Ridgecrest, CA",800-300-6664,-117.66711240000001,35.64249206
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"860 Sequoia Ave, Lindsay, CA",800-300-6664,-119.09604270000001,36.21418287
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1110 W Visalia Rd Ste 102, Exeter, CA",800-300-6664,-119.15501110000001,36.29726135
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"161 N Mill St, Tehachapi, CA",800-300-6664,-118.45200279999999,35.13415603
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"210 N Chester Ave, Bakersfield, CA",800-300-6664,-119.0209004,35.40753721
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"525 Roberts Ln, Bakersfield, CA",800-300-6664,-119.03157309999999,35.40855975
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"2811 H St, Bakersfield, CA",800-300-6664,-119.02117240000001,35.38528196
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"4900 California Ave Ste 100B, Bakersfield, CA",800-300-6664,-119.0561469,35.36447166
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1451 White Ln, Bakersfield, CA",800-300-6664,-119.01909599999999,35.3175825
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"4131 Ming Ave, Bakersfield, CA",800-300-6664,-119.05053500000001,35.33849401
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"3409 Calloway Dr Unit 300, Bakersfield, CA",800-300-6664,-119.11006709999998,35.39146835
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1701 Stine Rd, Bakersfield, CA",800-300-6664,-119.051854,35.33831401
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1014 Calloway Dr Bldg F, Bakersfield, CA",800-300-6664,-119.110165,35.367089
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"1022 Calloway Dr, Bakersfield, CA",800-300-6664,-119.1111383,35.36767309
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"4600 Panama Ln Unit 102B, Bakersfield, CA",800-300-6664,-119.054266,35.29596314
OMNI FAMILY HEALTH,BAKERSFIELD,CA,Participating,"4151 Mexicali Dr, Bakersfield, CA",800-300-6664,-119.081645,35.31718419
"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC.",BELL GARDENS,CA,Invited,,,,
LIFELONG MEDICAL CARE,BERKELEY,CA,Participating,,,,
BORREGO COMMUNITY HEALTH FOUNDATION,BORREGO SPGS,CA,Invited,"4343 Yaqui Pass Rd, Borrego Springs, CA",760-767-5051,-116.329047,33.19398102
"CLINICAS DE SALUD DEL PUEBLO, INC.",BRAWLEY,CA,Invited,,,,
"KOREAN COMMUNITY SERVICES, INC.",BUENA PARK,CA,Invited,,,,
ALL-INCLUSIVE COMMUNITY HEALTH CENTER,BURBANK,CA,Invited,"1311 N San Fernando Blvd, Burbank, CA",818-843-9900 x53087,-118.3204389,34.18932754
YEHOWA MEDICAL SERVICES,CARSON,CA,Invited,,,,
ALTAMED HEALTH SERVICES CORPORATION,COMMERCE,CA,Participating,,,,
"DE NOVO HEALTH CARE, INC.",COMPTON,CA,Invited,,,,
"R.O.A.D.S. FOUNDATION, INC., THE",COMPTON,CA,Invited,,,,
SHARE OUR SELVES CORPORATION,COSTA MESA,CA,Invited,,,,
ACHIEVABLE FOUNDATION THE,CULVER CITY,CA,Invited,,,,
COMMUNICARE HEALTH CENTERS,DAVIS,CA,Invited,,,,
"SOUTH COUNTY COMMUNITY HEALTH CENTER, INC.",E PALO ALTO,CA,Invited,,,,
"SOUTHERN CALIFORNIA MEDICAL CENTER, INC.",EL MONTE,CA,Invited,,,,
NEIGHBORHOOD HEALTHCARE,ESCONDIDO,CA,Invited,,,,
"SOLANO, COUNTY OF",FAIRFIELD,CA,Invited,,,,
BAY AREA COMMUNITY HEALTH,FREMONT,CA,Invited,,,,
UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,FRESNO,CA,Participating,,,,
ST. JUDE NEIGHBORHOOD HEALTH CENTERS,FULLERTON,CA,Invited,"731 S Highland Ave, Fullerton, CA",714-446-5100,-117.9287175,33.86360401
"NHAN HOA COMPREHENSIVE HEALTH CARE CLINIC, INC.",GARDEN GROVE,CA,Invited,,,,
ALL FOR HEALTH HEALTH FOR ALL,GLENDALE,CA,Invited,,,,
"COMPREHENSIVE COMMUNITY HEALTH CENTERS, INC.",GLENDALE,CA,Invited,,,,
KARUK TRIBE,HAPPY CAMP,CA,Invited,,,,
BEHAVIORAL HEALTH SERVICES INC,HAWTHORNE,CA,Invited,,,,
"ALLIANCE MEDICAL CENTER, INC.",HEALDSBURG,CA,Invited,,,,
SAN BENITO HEALTH FOUNDATION,HOLLISTER,CA,Invited,"351 Felice Dr, Hollister, CA",831-637-5783,-121.4169956,36.85335042
IMPERIAL BEACH COMMUNITY CLINIC,IMPERIAL BCH,CA,Invited,,,,
"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,Invited,,,,
HI-DESERT MEMORIAL HEALTH CARE DISTRICT,JOSHUA TREE,CA,Invited,,,,
FRIENDS OF FAMILY HEALTH CENTER,LA HABRA,CA,Invited,"501 S Idaho St, La Habra, CA",562-690-0400,-117.95921750000001,33.92778701
BARTZ-ALTADONNA COMMUNITY HEALTH CENTER,LANCASTER,CA,Invited,"43322 Gingham Ave, Lancaster, CA",661-874-4050,-118.12224499999999,34.66992275
LIVINGSTON COMMUNITY HEALTH,LIVINGSTON,CA,Invited,,,,
CHILDREN'S CLINIC 'SERVING CHILDREN AND THEIR FAMILIES' THE,LONG BEACH,CA,Invited,,,,
"COMMUNITY MEDICAL WELLNESS CENTERS, USA",LONG BEACH,CA,Invited,,,,
APLA HEALTH & WELLNESS,LOS ANGELES,CA,Invited,,,,
ARROYO VISTA FAMILY HEALTH FOUNDATION,LOS ANGELES,CA,Invited,,,,
"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",LOS ANGELES,CA,Invited,,,,
BENEVOLENCE INDUSTRIES INCORPORATED,LOS ANGELES,CA,Invited,,,,
CENTRAL NEIGHBORHOOD HEALTH FOUNDATION,LOS ANGELES,CA,Invited,"2614 S Grand Ave, Los Angeles, CA",323-234-5000,-118.2725504,34.02599635
CENTRAL NEIGHBORHOOD HEALTH FOUNDATION,LOS ANGELES,CA,Invited,"2707 S Central Ave, Los Angeles, CA",323-234-5000,-118.2555138,34.01755347
CHINATOWN SERVICE CENTER,LOS ANGELES,CA,Invited,,,,
"CLINIC INC, THE",LOS ANGELES,CA,Invited,,,,
CLINICA MSR. OSCAR A ROMERO,LOS ANGELES,CA,Invited,,,,
"COMPLETE CARE COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,Invited,,,,
HEALTH ACCESS FOR ALL INC.,LOS ANGELES,CA,Invited,,,,
"JWCH INSTITUTE, INC.",LOS ANGELES,CA,Participating,,,,
"KEDREN COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,Invited,,,,
KHEIR CLINIC,LOS ANGELES,CA,Invited,"3727 W 6th St Ste 200, Los Angeles, CA",213-235-2500,-118.3037243,34.06358361
LOS ANGELES CHRISTIAN HEALTH CENTERS,LOS ANGELES,CA,Invited,,,,
"LOS ANGELES FREE CLINIC., THE",LOS ANGELES,CA,Invited,,,,
LOS ANGELES LGBT CENTER,LOS ANGELES,CA,Invited,,,,
PEDIATRIC & FAMILY MEDICAL CENTER,LOS ANGELES,CA,Invited,,,,
QUEENSCARE HEALTH CENTERS,LOS ANGELES,CA,Invited,"150 N Reno St, Los Angeles, CA",213-380-7298,-118.280432,34.07272014
QUEENSCARE HEALTH CENTERS,LOS ANGELES,CA,Invited,"4618 Fountain Ave, Los Angeles, CA",323-953-7170,-118.2902075,34.0955879
QUEENSCARE HEALTH CENTERS,LOS ANGELES,CA,Invited,"4448 York Blvd, Los Angeles, CA",323-344-5233,-118.218877,34.12374501
QUEENSCARE HEALTH CENTERS,LOS ANGELES,CA,Invited,"4816 E 3rd St, Los Angeles, CA",323-669-4305,-118.16046499999999,34.03327251
"SAN JUDAS COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,Invited,,,,
SOUTH CENTRAL FAMILY HEALTH CENTER,LOS ANGELES,CA,Invited,"4425 S Central Ave, Los Angeles, CA",323-908-4200,-118.256771,34.00305998
ST ANTHONY MEDICAL CENTERS,LOS ANGELES,CA,Invited,,,,
"ST. JOHN'S WELL CHILD AND FAMILY CENTER, INC.",LOS ANGELES,CA,Participating,,,,
UNIVERSAL COMMUNITY HEALTH CENTER,LOS ANGELES,CA,Invited,"1005 E Washington Blvd, Los Angeles, CA",323-233-3100,-118.25313759999999,34.02582305
"UNIVERSITY MUSLIM MEDICAL ASSOCIATION, INC.",LOS ANGELES,CA,Invited,,,,
"VIA CARE COMMUNITY HEALTH CENTER, INC.",LOS ANGELES,CA,Invited,,,,
WATTS HEALTHCARE CORPORATION,LOS ANGELES,CA,Invited,"10300 Compton Ave, Los Angeles, CA",323-564-4331,-118.2461939,33.94268807
CAMARENA HEALTH,MADERA,CA,Participating,,,,
"CONTRA COSTA , COUNTY OF",MARTINEZ,CA,Invited,,,,
HARMONY HEALTH MEDICAL CLINIC AND FAMILY RESOURCE CENTER,MARYSVILLE,CA,Invited,"1215 Plumas St Ste 1400, Yuba City, CA",530-777-3190,-121.6174946,39.14773846
HARMONY HEALTH MEDICAL CLINIC AND FAMILY RESOURCE CENTER,MARYSVILLE,CA,Invited,"399 Del Norte Ave, Yuba City, CA",530-751-2273,-121.61758629999999,39.14445101
HARMONY HEALTH MEDICAL CLINIC AND FAMILY RESOURCE CENTER,MARYSVILLE,CA,Invited,"1908 N Beale Rd Ste E, Marysville, CA",530-743-6888,-121.54581909999999,39.12783253
PEACH TREE HEALTHCARE,MARYSVILLE,CA,Invited,,,,
GOLDEN VALLEY HEALTH CENTERS,MERCED,CA,Invited,,,,
BEVERLYCARE,MONTEBELLO,CA,Invited,,,,
"COMMUNITY HEALTH SYSTEMS, INC.",MORENO VALLEY,CA,Invited,,,,
AAA COMPREHENSIVE HEALTHCARE INC.,N HOLLYWOOD,CA,Invited,,,,
VALLEY COMMUNITY HEALTHCARE,N HOLLYWOOD,CA,Invited,"6801 Coldwater Canyon Ave, North Hollywood, CA",818-763-8836,-118.4138275,34.194434
OLE HEALTH,NAPA,CA,Invited,,,,
"OPERATION SAMAHAN, INC.",NATIONAL CITY,CA,Invited,,,,
TRI-STATE COMMUNITY HEALTHCARE CENTER,NEEDLES,CA,Invited,"1402 Bailey Ave, Needles, CA",760-326-0222,-114.6183476,34.832735
SIERRA FAMILY MEDICAL CLINIC INC,NEVADA CITY,CA,Invited,"15301 Tyler Foote Rd, Nevada City, CA",530-292-3478,-121.03513249999999,39.3660826
"COMMUNITY HEALTH CENTERS OF THE CENTRAL COAST, INC.",NIPOMO,CA,Participating,,,,
"MISSION CITY COMMUNITY NETWORK, INC.",NORTH HILLS,CA,Invited,"15206 Parthenia St, North Hills, CA",818-895-3100,-118.46369490000001,34.22818013
MARIN COMMUNITY CLINIC,NOVATO,CA,Participating,,,,
"ALAMEDA, COUNTY OF",OAKLAND,CA,Invited,,,,
ASIAN HEALTH SERVICES,OAKLAND,CA,Participating,,,,
CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND,OAKLAND,CA,Invited,,,,
"LA CLINICA DE LA RAZA, INC.",OAKLAND,CA,Participating,,,,
"WEST OAKLAND HEALTH COUNCIL, THE",OAKLAND,CA,Invited,,,,
"UNICARE COMMUNITY HEALTH CENTER, INC.",ONTARIO,CA,Invited,"570 S Mount Vernon Ave Ste G, San Bernardino, CA",909-884-6700,-117.3138872,34.09103274
"UNICARE COMMUNITY HEALTH CENTER, INC.",ONTARIO,CA,Invited,"437 N Euclid Ave, Ontario, CA",909-988-2555,-117.65124750000001,34.06804802
COUNTY OF VENTURA,OXNARD,CA,Participating,,,,
"CENTER FOR FAMILY HEALTH & EDUCATION, INC.",PANORAMA CITY,CA,Invited,"8727 Van Nuys Blvd Ste 201, Panorama City, CA",818-899-5555,-118.45029129999999,34.22815712
"CENTER FOR FAMILY HEALTH & EDUCATION, INC.",PANORAMA CITY,CA,Invited,"8727 Van Nuys Blvd Ste 203, Panorama City, CA",818-899-5555 x20,-118.45029129999999,34.22815712
"CENTER FOR FAMILY HEALTH & EDUCATION, INC.",PANORAMA CITY,CA,Invited,"8727 Van Nuys Blvd Ste 103, Panorama City, CA",818-899-5555,-118.45029380000001,34.22812347
COMMUNITY MEDICINE INC.,PARAMOUNT,CA,Invited,"8540 Alondra Blvd Ste B2, Paramount, CA",562-602-2508,-118.150038,33.88915247
COMMUNITY HEALTH ALLIANCE OF PASADENA,PASADENA,CA,Invited,,,,
"AXIS COMMUNITY HEALTH, INC.",PLEASANTON,CA,Invited,"4361 Railroad Ave, Pleasanton, CA",925-201-6017,-121.87433500000002,37.66158202
POMONA COMMUNITY HEALTH CENTER,POMONA,CA,Invited,"750 S Park Ave Rm 101, Pomona, CA",909-622-6516,-117.75432260000001,34.05280105
POMONA COMMUNITY HEALTH CENTER,POMONA,CA,Invited,"1450 E Holt Ave, Pomona, CA",909-630-7927,-117.72152450000002,34.06299637
GREENVILLE RANCHERIA,RED BLUFF,CA,Invited,,,,
SHASTA COMMUNITY HEALTH CENTER,REDDING,CA,Invited,"1035 Placer St, Redding, CA",530-246-5710,-122.385355,40.58349934
"REDWOODS RURAL HEALTH CENTER, INCORPORATED",REDWAY,CA,Invited,,,,
RIVERSIDE COUNTY HEALTH SYSTEM,RIVERSIDE,CA,Participating,,,,
HILL COUNTRY COMMUNITY CLINIC,ROUND MOUNTAIN,CA,Invited,"29632 CA-299 E, Bella Vista, CA",530-337-6243,-121.93988770000001,40.80411808
CARES COMMUNITY HEALTH,SACRAMENTO,CA,Invited,"1500 21st St Bldg B, Sacramento, CA",916-914-6234,-121.48132539999999,38.57055663
CARES COMMUNITY HEALTH,SACRAMENTO,CA,Invited,"1500 21st St, Sacramento, CA",916-443-3299,-121.48132539999999,38.57055663
"SACRAMENTO, COUNTY OF",SACRAMENTO,CA,Invited,,,,
CLINICA DE SALUD DEL VALLE DE SALINAS,SALINAS,CA,Participating,,,,
"MONTEREY, COUNTY OF",SALINAS,CA,Invited,,,,
"SAN BERNARDINO, COUNTY OF",SAN BERNARDINO,CA,Invited,,,,
"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.",SAN DIEGO,CA,Participating,,,,
"LA MAESTRA FAMILY CLINIC, INC.",SAN DIEGO,CA,Participating,,,,
SAN DIEGO AMERICAN INDIAN HEALTH CENTER INC,SAN DIEGO,CA,Invited,,,,
SAN DIEGO FAMILY CARE,SAN DIEGO,CA,Invited,"7011 Linda Vista Rd, San Diego, CA",858-279-9676,-117.1692748,32.7879584
"ST. VINCENT DE PAUL VILLAGE, INC.",SAN DIEGO,CA,Invited,,,,
NORTHEAST VALLEY HEALTH CORPORATION,SAN FERNANDO,CA,Participating,,,,
SAN FERNANDO COMMUNITY HOSPITAL,SAN FERNANDO,CA,Invited,,,,
"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER, INC.",SAN FRANCISCO,CA,Invited,,,,
MISSION AREA HEALTH ASSOCIATES,SAN FRANCISCO,CA,Invited,,,,
NORTH EAST MEDICAL SERVICES,SAN FRANCISCO,CA,Participating,"1520 Stockton St, San Francisco, CA",415-391-9686,-122.40903290000001,37.79988493
SAN FRANCISCO COMMUNITY CLINIC CONSORTIUM,SAN FRANCISCO,CA,Participating,,,,
"SAN FRANCISCO MEDICAL CENTER OUTPATIENT IMPROVEMENT PROGRAMS, INCORPORATED",SAN FRANCISCO,CA,Invited,,,,
HERALD CHRISTIAN HEALTH CENTER,SAN GABRIEL,CA,Invited,,,,
"VALLEY HEALTH TEAM, INC.",SAN JOAQUIN,CA,Participating,,,,
"GARDNER FAMILY HEALTH NETWORK, INC.",SAN JOSE,CA,Invited,,,,
INDIAN HEALTH CENTER OF SANTA CLARA VALLEY,SAN JOSE,CA,Invited,,,,
"SANTA CLARA, COUNTY OF",SAN JOSE,CA,Invited,,,,
DAVIS STREET COMMUNITY CENTER INC,SAN LEANDRO,CA,Invited,,,,
NORTH COUNTY HEALTH PROJECT INCORPORATED,SAN MARCOS,CA,Invited,,,,
"SAN MATEO, COUNTY OF",SAN MATEO,CA,Invited,,,,
HARBOR COMMUNITY CLINIC,SAN PEDRO,CA,Invited,,,,
RITTER CENTER,SAN RAFAEL,CA,Invited,"16 Ritter St, San Rafael, CA",415-457-8182,-122.52512759999999,37.97150888
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",SAN YSIDRO,CA,Participating,,,,
"SERVE THE PEOPLE, INC.",SANTA ANA,CA,Invited,,,,
"SOUTHLAND INTEGRATED SERVICES, INC.",SANTA ANA,CA,Invited,"9862 Chapman Ave Ste B, Garden Grove, CA",714-620-7001,-117.96076529999999,33.78849516
AMERICAN INDIAN HEALTH & SERVICES,SANTA BARBARA,CA,Invited,"4141 State St, Santa Barbara, CA",805-681-7356 x222,-119.76126000000001,34.44047253
SANTA BARBARA NEIGHBORHOOD CLINICS,SANTA BARBARA,CA,Invited,,,,
"SANTA BARBARA, COUNTY OF",SANTA BARBARA,CA,Invited,,,,
"SANTA CRUZ, COUNTY OF",SANTA CRUZ,CA,Invited,,,,
WESTSIDE FAMILY HEALTH CENTER,SANTA MONICA,CA,Invited,"1100 Federal Blvd, Denver, CA",303-436-4200,-105.02413100000001,39.73433598
WESTSIDE FAMILY HEALTH CENTER,SANTA MONICA,CA,Invited,"3861 Sepulveda Blvd, Culver City, CA",310-450-2191,-118.41601419999999,34.01137433
SANTA ROSA COMMUNITY HEALTH CENTERS,SANTA ROSA,CA,Invited,,,,
MARIN CITY HEALTH AND WELLNESS CENTER,SAUSALITO,CA,Invited,,,,
"INLAND BEHAVIORAL AND HEALTH SERVICES, INC.",SN BERNRDNO,CA,Invited,,,,
SAC HEALTH SYSTEM,SN BERNRDNO,CA,Invited,,,,
"COMMUNITY MEDICAL CENTERS, INC.",STOCKTON,CA,Invited,,,,
"SAN JOAQUIN, COUNTY OF",STOCKTON,CA,Invited,,,,
"TARZANA TREATMENT CENTER, INC.",TARZANA,CA,Invited,,,,
SOUTH BAY FAMILY HEALTH CARE CENTER INC,TORRANCE,CA,Invited,,,,
ALTURA CENTERS FOR HEALTH,TULARE,CA,Invited,,,,
FAMILIES TOGETHER OF ORANGE COUNTY,TUSTIN,CA,Invited,"661 W 1st St Ste A, Tustin, CA",714-665-9890,-117.831329,33.74605398
FAMILIES TOGETHER OF ORANGE COUNTY,TUSTIN,CA,Invited,"661 W 1st St Ste G, Tustin, CA",714-665-9890,-117.83116799999999,33.74621999
"HURTT FAMILY HEALTH CLINIC, INC.",TUSTIN,CA,Invited,,,,
"MENDOCINO COMMUNITY HEALTH CLINIC, INC.",UKIAH,CA,Invited,,,,
TIBURCIO VASQUEZ HEALTH CENTER INCORPORATED,UNION CITY,CA,Invited,,,,
SAMUEL DIXON FAMILY HEALTH CEN,VALENCIA,CA,Invited,,,,
VENICE FAMILY CLINIC,VENICE,CA,Invited,,,,
"CLINICAS DEL CAMINO REAL, INC.",VENTURA,CA,Participating,,,,
