,fid,hospital_name,address,city,zip,placekey,hospital_pk,lat,lon
29,29,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,36360,222@8gh-y48-ct9,010021,31.4510361473354,-85.63148298307256
30,30,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,36701,222@8gm-y2q-2rk,010118,32.429757604779944,-87.05584060550689
31,31,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,36078,222@8gn-n8d-b8v,010034,32.5335136063289,-85.91213381280862
32,32,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,36092,222@8gk-zng-vzz,010097,32.552487163490596,-86.18611755475808
33,33,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,36502,222@8f4-6cs-2hq,010169,31.015609351293175,-87.4800998932443
34,34,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,36426,222@8f3-zky-mzf,010099,31.12701853468196,-87.07309202951404
35,35,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,35901,222@8gm-nfs-cqz,010046,34.00441216411297,-86.00388504728491
36,36,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,35903,223@8gm-nft-yn5,010040,34.00785086610993,-85.96525133852724
37,37,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,35555,222@8gm-8gs-bp9,010045,33.70809234414451,-87.8239448016132
38,38,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,35653,222@5pn-66g-59f,010158,34.51083420441252,-87.71888292837849
39,39,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,35582,223@5pn-2x5-vvf,011302,34.457176495088504,-88.14745910420015
40,40,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,36340,222@8gh-ysd-bp9,010062,31.049189236059892,-85.89128211151835
41,41,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,35462,222@8gn-cf2-yvz,010051,32.84349733821583,-87.889357054918
42,42,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,36744,222@8gn-6qw-59f,010095,32.69578573397355,-87.58522322503423
43,43,"NOLAND HOSPITAL DOTHAN II, LLC","1108 ROSS CLARK CIRCLE, 4TH FLOOR",DOTHAN,36302,222@8gh-wn9-c3q,012010,31.21573079054993,-85.36305577433536
44,44,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,36301,222@8gh-wn9-c3q,010001,31.21573079054993,-85.36305577433536
45,45,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,36305,222@8gh-x7f-9cq,010055,31.23752733127422,-85.457248880531
46,46,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,35768,222@8gm-qph-vfz,010061,34.66177083176204,-86.04755697944331
47,47,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,35235,228@8gk-tmw-ty9,010011,33.59642096279543,-86.66706416233116
48,48,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,35205,223@8gk-ttz-vxq,010056,33.508034501978095,-86.78866670584179
49,49,"NOLAND HOSPITAL BIRMINGHAM II, LLC",50 MEDICAL PARK EAST DRIVE 8TH FLOOR,BIRMINGHAM,35235,228@8gk-tmw-ty9,012009,33.59642096279543,-86.66706416233116
50,50,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,35211,224@8gk-tt7-6x5,010103,33.4971621088267,-86.84836060233263
51,51,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,35233,223@8gk-tv9-wc5,010033,33.50481957615539,-86.80394931333782
52,52,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",BIRMINGHAM,35209,22d@8gk-ttp-7h5,012008,33.463313252724,-86.77636044548683
53,53,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,35233,223@8gk-tv9-w8v,013300,33.50599448632224,-86.80598015219302
54,54,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,35243,222@8gk-t8p-fzz,010104,33.433495820859235,-86.71878567657956
55,55,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,35209,22d@8gk-ttp-7h5,010139,33.463313252724,-86.77636044548683
56,56,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,35021,224@8gm-9nt-6ff,010114,33.37204141929999,-86.99178141254954
57,57,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,35630,222@5pm-hxc-f9f,010006,34.804298793351535,-87.65021580570743
58,58,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,35650,222@5pm-jxf-7yv,010059,34.48417475380111,-87.28625752336609
59,59,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,36801,222@8gn-kkm-vs5,010029,32.63854295157723,-85.40481725359791
60,60,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,35611,223@5pm-fqn-mtv,010079,34.80479379520763,-86.97910819959816
61,61,NORTH ALABAMA SPECIALTY HOSPITAL,"700 WEST MARKET STREET, 2ND FLOOR",ATHENS,35611,223@5pm-fqn-mtv,012014,34.80479379520763,-86.97910819959816
62,62,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,35801,225@5pm-mtb-zzz,010039,34.72106256668839,-86.57849285975742
63,63,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,36732,222@8gn-b5w-fzz,010112,32.5042697058144,-87.83701629705206
64,64,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,35570,222@5pn-29r-v4v,010044,34.12671728544846,-87.99209860655202
65,65,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,35594,222@8gm-7w8-7t9,010086,33.93059012828422,-87.82423162693294
66,66,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,2505 U S HIGHWAY 431 NORTH,BOAZ,35957,222@8gm-mn7-yy9,010005,34.221574598782055,-86.16051637265647
67,67,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,36652,222@8f3-fv7-zvf,010113,30.697921859540422,-88.08029053853824
68,68,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,MOBILE,36607,222@8f3-fv7-zvf,012006,30.697921859540422,-88.08029053853824
69,69,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,36608,222@8f3-ftb-kzz,010144,30.684041896498222,-88.13164605558842
70,70,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,36604,22f@8f3-fvc-cbk,013301,30.696776327753295,-88.07827171071142
71,71,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,36617,222@8f3-fvt-4jv,010087,30.706105753020154,-88.09850718242866
72,72,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,36608,222@8f3-fwg-tqf,010090,30.678198081359778,-88.19852928729459
73,73,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,36460,222@8f4-2hx-hwk,010120,31.497883731766947,-87.32104477346415
74,74,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,36116,22b@8gn-24t-jjv,010023,32.32770395056556,-86.27742863732236
75,75,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,36117,224@8gn-nhv-649,010149,32.376774690352086,-86.17449776944784
76,76,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,36106,222@8gn-24m-yy9,010024,32.36696672216787,-86.28479148872616
77,77,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,35601,224@5pm-gv2-k9f,010085,34.590984941424146,-86.97267304139146
78,78,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,36081,223@8gh-w34-3wk,010126,31.78134987534556,-85.94512469659301
79,79,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,36278,222@8gm-ch6-4y9,011306,33.296266227348234,-85.48071889986171
80,80,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,36867,222@8gn-jcx-skf,010168,32.50764998825416,-85.00884320575905
81,81,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,35125,222@8gk-w8v-gtv,010130,33.60447406469378,-86.30131039200253
82,82,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,35007,222@8gk-yjs-fzz,010016,33.2520121936483,-86.81227617603943
83,83,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,36925,223@8f7-dz4-nyv,010138,32.49171426665635,-88.29606262397552
84,84,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,35150,223@8gk-sg7-tjv,010164,33.16586409587965,-86.25413304850194
85,85,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,35161,225@8gk-w6g-x89,010101,33.43973893492883,-86.08961252373878
86,86,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,36853,222@8gn-hds-qmk,010052,32.81974106105547,-85.74102614679471
87,87,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,35010,223@8gk-vps-5xq,010065,32.93043518142323,-85.96937957642203
88,88,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,35401,222@8gn-9sg-nkf,010092,33.20509760164234,-87.52704835334634
89,89,"NOLAND HOSPITAL TUSCALOOSA II, LLC","809 UNIVERSITY BOULEVARD EAST, 4TH FLOOR",TUSCALOOSA,35401,222@8gn-9sg-nkf,012012,33.20509760164234,-87.52704835334634
90,90,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,35502,22g@8gm-3rn-syv,010089,33.84250894814014,-87.23591779482302
91,91,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,36518,222@8f4-fbt-j9z,011300,31.45990559151354,-88.23525562287341
92,92,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,36726,222@8gn-3yx-wrk,010102,31.997344971525248,-87.29899303626242
93,93,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,35565,222@8gm-3z8-yd9,010125,34.24835123716465,-87.57901983719427
94,94,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,99508,222@3bt-c2m-8vz,020017,61.210919433467815,-149.828715550524
95,95,ST ELIAS SPECIALTY HOSPITAL,4800 CORDOVA STREET,ANCHORAGE,99503,222@3bt-by6-bhq,022001,61.17642875484063,-149.88105043665877
96,96,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,99508,222@3bt-c28-vfz,020001,61.18749954878162,-149.81939454187582
97,97,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,99574,25f@3bc-jyd-6c5,021307,60.54192773139057,-145.75287120144566
98,98,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,99701,222@3f4-sg3-575,020012,64.83113134279102,-147.73921149399433
99,99,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,99801,222@3z3-dkv-nnq,020008,58.328282171830026,-134.464848639268
100,100,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,99603,223@3bh-2c6-snq,021313,59.652207905167955,-151.55066093412347
101,101,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,99669,223@3bh-zvc-cwk,020024,60.49367743508054,-151.07729531797082
102,102,KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,99901,223@3wq-3vs-zzz,021311,55.353722386020266,-131.68752434949974
103,103,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,99615,222@3bk-jm5-rx5,021306,57.80181905132588,-152.3735625727654
104,104,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,99645,222@3bt-gnc-mhq,020006,61.563007398314866,-149.2587335698097
105,105,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD,99664,23k@3bb-v2p-bkz,021302,60.1239863987768,-149.38415041579924
106,106,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,99686,226@3bc-7c5-cyv,021301,61.10440580436459,-146.2162855166858
107,107,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,99833,233@3wr-cjj-y7q,021304,56.76689411604576,-132.93221126835866
108,108,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,85938,222@8th-8x8-mc5,031315,34.13112439291983,-109.28407245157285
109,109,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,85635,222@8tt-pgj-pjv,030043,31.55223943640709,-110.22957010876667
110,110,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,WILLCOX,85643,224@8ts-s2y-xyv,031302,32.264860703901554,-109.83866695594433
111,111,BENSON HOSPITAL,450 SOUTH OCOTILLO AVENUE,BENSON,85602,222@8tt-q4p-4vz,031301,31.9647324306687,-110.3089346030172
112,112,COPPER QUEEN COMMUNITY HOSPITAL,101 COLE AVENUE,BISBEE,85603,222@8tt-w4z-3bk,031312,31.417911249544638,-109.88243934429762
113,113,PAGE HOSPITAL,501 NORTH NAVAJO DRIVE,PAGE,86040,222@5yz-txz-8n5,031304,36.917820865138964,-111.46281305668964
114,114,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,86001,222@5z9-phq-fj9,030023,35.2083507059718,-111.6442719690705
115,115,COBRE VALLEY REGIONAL MEDICAL CENTER,5880 SOUTH HOSPITAL DRIVE,GLOBE,85501,222@8ts-wzz-x3q,031314,33.4058154511938,-110.82676372394306
116,116,BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,85541,229@8th-mtv-w6k,031318,34.23169444051423,-111.32052936323106
117,117,MT. GRAHAM REGIONAL MEDICAL CENTER,1600 SOUTH 20TH AVENUE,SAFFORD,85546,223@8ts-n8d-6tv,030068,32.82270511151763,-109.73443604307917
118,118,LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,PARKER,85344,222@5zb-h6j-j35,031317,34.136106547369664,-114.28504423548229
119,119,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,85251,222@8ts-zgr-dqf,030038,33.48872834755757,-111.92244798570152
120,120,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,85224,222@8ts-zyp-47q,030036,33.297328793862164,-111.87437666257736
121,121,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,85351,222@5zb-xfq-zvf,030061,33.60446685224943,-112.28363712258246
122,122,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,85260,222@5zb-xm4-cdv,030087,33.57963517213473,-111.88477649060395
123,123,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,85206,223@8ts-zmz-dy9,030105,33.41153553948199,-111.68543510788234
124,124,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,85395,222@8ts-d5m-nwk,030110,33.462174958014224,-112.3528786320112
125,125,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,85209,222@8ts-zk4-tgk,030121,33.39177947192341,-111.61076362980218
126,126,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,85338,222@8ts-d5n-d5f,030138,33.453941439666494,-112.36371114200591
127,127,CURAHEALTH NORTHWEST PHOENIX,13216 NORTH PLAZA DEL RIO BLVD,PEORIA,85381,223@5zb-xfr-5cq,032000,33.60436514770278,-112.26099073342918
128,128,SELECT SPECIALTY HOSPITAL PHOENIX,"350 WEST THOMAS ROAD, 3RD FLOOR",PHOENIX,85013,222@5zb-xbg-qcq,032001,33.48233174596983,-112.07864418878536
129,129,VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,85008,225@5zb-xdt-djv,030022,33.45822264377792,-112.02872323187727
130,130,"KPC PROMISE HOSPITAL OF PHOENIX, LLC",433 EAST 6TH STREET,MESA,85203,223@8ts-zr7-wrk,032006,33.424973884636685,-111.82123640516483
131,131,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,85037,222@8ts-d67-t5f,030115,33.477797979976145,-112.25934396002276
132,132,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,85015,222@5zb-xb9-fs5,030030,33.52467398538328,-112.10176369296165
133,133,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE,LAVEEN,85339,222@8ts-czy-c5z,030136,33.380666735675995,-112.16775195329937
134,134,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,85027,222@5zb-wtr-xdv,030092,33.66605404418022,-112.11630211209172
135,135,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,85297,222@8ts-zct-b6k,030119,33.287560659512266,-111.75266039526373
136,136,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,85234,222@8ts-zcm-5fz,030122,33.38495660153826,-111.7247141731958
137,137,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,85375,222@5zb-v5s-8gk,030093,33.65942929907605,-112.37337873074686
138,138,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,9130 EAST ELLIOT ROAD,MESA,85212,222@8ts-zmt-3kf,030139,33.35031211231227,-111.63707680645885
139,139,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,85206,222@8ts-zcb-7dv,030107,33.38012799679622,-111.73546511878263
140,140,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,85013,222@5zb-xbg-qcq,030024,33.48233174596983,-112.07864418878536
141,141,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6501 NORTH 19TH AVENUE,PHOENIX,85015,224@5zb-xb9-zs5,030108,33.531811418584915,-112.09848698862395
142,142,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,85008,222@8ts-zg4-jd9,030131,33.45718603900673,-111.99657189515626
143,143,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,85032,223@5zb-xdv-hyv,030083,33.48118888788987,-112.03945037260064
144,144,ARIZONA SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,85224,227@8ts-zj7-575,030112,33.33389552994526,-111.89158213306824
145,145,BANNER OCOTILLO MEDICAL CENTER,1405 SOUTH ALMA SCHOOL ROAD,CHANDLER,85286,22d@8ts-zy4-dy9,030147,33.27810298691669,-111.86053915644307
146,146,WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,WICKENBURG,85390,222@5zb-w6r-psq,031300,33.97834567680816,-112.7400761328305
147,147,SELECT SPECIALTY HOSPITAL ARIZONA,"1111 EAST MCDOWELL RD, 11TH FLOOR",PHOENIX,85006,222@5zb-xdv-xh5,032005,33.465200071955806,-112.05814198228381
148,148,PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,85016,222@5zb-xdv-j35,033302,33.4788095575415,-112.04054352072964
149,149,HONORHEALTH JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,PHOENIX,85020,222@5zb-xcf-dvz,030014,33.56920844080889,-112.06995351354641
150,150,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,85306,222@5zb-xgj-cbk,030089,33.6093287649007,-112.17926603722135
151,151,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,85006,223@5zb-xdq-3t9,030037,33.45175270908731,-112.0430420892346
152,152,ABRAZO ARROWHEAD CAMPUS,18701 NORTH 67TH AVENUE,GLENDALE,85308,224@5zb-wwp-w6k,030094,33.65518328996718,-112.20080800781214
153,153,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,85006,222@5zb-xdv-xh5,030002,33.465200071955806,-112.05814198228381
154,154,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,85202,225@8ts-zj5-zcq,030065,33.389312557104624,-111.87741709128458
155,155,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,85255,222@5zb-x5b-qj9,030123,33.67113143083883,-111.92211892041877
156,156,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,85206,225@8ts-zmz-j35,030088,33.409717661679046,-111.69053804479975
157,157,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,85054,222@5zb-x58-qj9,030103,33.65855982872743,-111.95635629298611
158,158,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,86409,222@5zb-25z-87q,030055,35.21954003651156,-114.03779861266281
