lat,lon,hospital_pk,hospital_name,address,city,zip,hospital_subtype,fips_code
31.12698,-87.07298,10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,36426,Short Term,1053
31.01692,-87.47851,10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,36502,Short Term,1053
36.2648,-85.94986,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,35901,Short Term,1055
34.00829,-85.96629,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,35903,Short Term,1055
33.70798,-87.82413,10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,35555,Short Term,1057
34.51114,-87.71804,10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,35653,Short Term,1059
34.45785,-88.14723,11302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,35582,Critical Access Hospitals,1059
31.04902,-85.89128,10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,36340,Short Term,1061
33.48141,-83.24156,10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,35462,Short Term,1063
32.69516,-87.58692,10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,36744,Short Term,1065
28.50027,77.3167,10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,36301,Short Term,1069
31.2381,-85.45711,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,36305,Short Term,1069
37.67437967,-82.27609819,12010,"NOLAND HOSPITAL DOTHAN II, LLC","1108 ROSS CLARK CIRCLE, 4TH FLOOR",DOTHAN,36302,Long Term,1069
34.66178,-86.04742,10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,35768,Short Term,1071
40.67532029,-78.2520083,12009,"NOLAND HOSPITAL BIRMINGHAM II, LLC",50 MEDICAL PARK EAST DRIVE 8TH FLOOR,BIRMINGHAM,35235,Long Term,1073
-14.32389666,-170.7685227,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,35021,Short Term,1073
30.69755,-88.07781,13300,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,35233,Childrens Hospitals,1073
33.49853,-86.84632,10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,35211,Short Term,1073
40.81229,-81.39694,12008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",BIRMINGHAM,35209,Long Term,1073
33.20521,-87.52545,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,35233,Short Term,1073
33.43322,-86.71772,10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,35243,Short Term,1073
33.59567,-86.66767,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,35235,Short Term,1073
33.50781,-86.78886,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,35205,Short Term,1073
33.46347,-86.77668,10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,35209,Short Term,1073
34.80438,-87.65104,10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,35630,Short Term,1077
34.48299,-87.28549,10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,35650,Short Term,1079
33.84373575,-87.23759852,10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,36801,Short Term,1081
33.23344572,-87.56952539,12014,NORTH ALABAMA SPECIALTY HOSPITAL,"700 WEST MARKET STREET, 2ND FLOOR",ATHENS,35611,Long Term,1083
34.80387,-86.97899,10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,35611,Short Term,1083
34.69281,-86.57181,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,35801,Short Term,1089
34.72105,-86.5818,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,35801,Short Term,1089
32.50479,-87.83668,10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,36732,Short Term,1091
34.95098,-120.41322,10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,35570,Short Term,1093
33.93024,-87.82443,10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,35594,Short Term,1093
34.22165,-86.16005,10005,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,2505 U S HIGHWAY 431 NORTH,BOAZ,35957,Short Term,1095
30.69755,-88.07781,13301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,36604,Childrens Hospitals,1097
41.394634,-81.53478,10087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,36617,Short Term,1097
8.52571,76.99234,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,36608,Short Term,1097
-27.46152,153.0211,10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,36608,Short Term,1097
54.9786,-1.61934,12006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,MOBILE,36607,Long Term,1097
30.69575,-88.07934,10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,36652,Short Term,1097
33.03163,-83.94584,10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,36460,Short Term,1099
30.13846,-81.53445,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,36116,Short Term,1101
32.3762,-86.17456,10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,36117,Short Term,1101
32.36693,-86.28512,12007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,MONTGOMERY,36106,Long Term,1101
32.36702,-86.28382,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,36106,Short Term,1101
34.590621,-86.972489,10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,35601,Short Term,1103
31.78136,-85.94555,10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,36081,Short Term,1109
33.29554,-85.48052,11306,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,36278,Critical Access Hospitals,1111
32.50822,-85.00852,10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,36867,Short Term,1113
33.41475548,-86.37559315,10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,35125,Short Term,1115
33.2521,-86.81359,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,35007,Short Term,1117
32.4918,-88.29553,10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,36925,Short Term,1119
33.44002,-86.09088,10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,35161,Short Term,1121
33.16461,-86.25504,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,35150,Short Term,1121
41.55049,-87.50666,10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,36853,Short Term,1123
52.55169,-2.01969,10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,35010,Short Term,1123
33.20521,-87.52545,10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,35401,Short Term,1125
33.23344572,-87.56952539,12012,"NOLAND HOSPITAL TUSCALOOSA II, LLC","809 UNIVERSITY BOULEVARD EAST, 4TH FLOOR",TUSCALOOSA,35401,Long Term,1125
33.84213,-87.23573,10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,35502,Short Term,1127
35.86291,-76.72934,11300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,36518,Critical Access Hospitals,1129
6.54056,3.28305,10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,36726,Short Term,1131
34.24107,-87.59134,10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,35565,Short Term,1133
61.18764,-149.8191,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,99508,Short Term,2020
9.59025,76.5606,22001,ST ELIAS SPECIALTY HOSPITAL,4800 CORDOVA STREET,ANCHORAGE,99503,Long Term,2020
61.21031,-149.82845,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,99508,Short Term,2020
60.54143,-145.75175,21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,99574,Critical Access Hospitals,2080
64.83129,-147.7383,20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,99701,Short Term,2090
58.32901,-134.4656,20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,99801,Short Term,2110
6.97307,80.78045,20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,99669,Short Term,2120
59.65257,-151.5502,21313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,99603,Critical Access Hospitals,2120
55.35397,-131.68598,21311,KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,99901,Critical Access Hospitals,2130
57.8015,-152.37399,21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,99615,Critical Access Hospitals,2150
61.56297,-149.25781,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,99645,Short Term,2170
60.10533,-149.44634,21302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD,99664,Critical Access Hospitals,2210
61.1363,-146.3468,21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,99686,Critical Access Hospitals,2260
56.81289,-132.95529,21304,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,99833,Critical Access Hospitals,2280
34.13151,-109.28559,31315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,85938,Critical Access Hospitals,4001
31.55322,-110.22988,30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,85635,Short Term,4003
31.4178,-109.88307,31312,COPPER QUEEN COMMUNITY HOSPITAL,101 COLE AVENUE,BISBEE,85603,Critical Access Hospitals,4003
31.96493,-110.30782,31301,BENSON HOSPITAL,450 SOUTH OCOTILLO AVENUE,BENSON,85602,Critical Access Hospitals,4003
32.26515,-109.83834,31302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,WILLCOX,85643,Critical Access Hospitals,4003
36.91753,-111.46391,31304,PAGE HOSPITAL,501 NORTH NAVAJO DRIVE,PAGE,86040,Critical Access Hospitals,4005
35.20858,-111.64509,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,86001,Short Term,4005
33.40623,-110.8264,31314,COBRE VALLEY REGIONAL MEDICAL CENTER,5880 SOUTH HOSPITAL DRIVE,GLOBE,85501,Critical Access Hospitals,4007
34.23049,-111.32165,31318,BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,85541,Critical Access Hospitals,4007
32.8225,-109.73477,30068,MT. GRAHAM REGIONAL MEDICAL CENTER,1600 SOUTH 20TH AVENUE,SAFFORD,85546,Short Term,4009
23.8116,86.28671,31317,LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,PARKER,85344,Critical Access Hospitals,4012
33.29673,-111.87387,30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,85224,Short Term,4013
33.48848,-111.92291,30087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,85260,Short Term,4013
33.41128,-111.68915,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,85206,Short Term,4013
33.65977,-112.373,30093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,85375,Short Term,4013
33.6578,-111.95395,30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,85054,Short Term,4013
33.46207,-112.35293,30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,85395,Short Term,4013
43.23342952,-76.30965617,32000,CURAHEALTH NORTHWEST PHOENIX,13216 NORTH PLAZA DEL RIO BLVD,PEORIA,85381,Long Term,4013
33.63919,-111.99813,30083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,85032,Short Term,4013
33.48177,-112.07997,30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,85013,Short Term,4013
33.60919,-112.1791,30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,85306,Short Term,4013
33.39084,-111.87721,30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,85202,Short Term,4013
33.65501,-112.20191,30094,ABRAZO ARROWHEAD CAMPUS,18701 NORTH 67TH AVENUE,GLENDALE,85308,Short Term,4013
33.39128,-111.61125,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,85209,Short Term,4013
33.38442,-111.7222,30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,85234,Short Term,4013
35.11092,-114.55523,30138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,85338,Short Term,4013
33.48848,-111.92291,30038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,85251,Short Term,4013
33.66589,-112.11594,30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,85027,Short Term,4013
23.26524,77.39349,30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,85206,Short Term,4013
33.44912,-111.68352,30139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,9130 EAST ELLIOT ROAD,MESA,85212,Short Term,4013
29.71179,-95.39315,30147,BANNER OCOTILLO MEDICAL CENTER,1405 SOUTH ALMA SCHOOL ROAD,CHANDLER,85286,Short Term,4013
9.59025,76.5606,30112,ARIZONA SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,85224,Short Term,4013
33.28659,-111.75272,30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,85297,Short Term,4013
26.48677,80.25683,30131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,85008,Short Term,4013
33.52512,-112.10192,30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,85015,Short Term,4013
33.44825,-112.0758,32006,"KPC PROMISE HOSPITAL OF PHOENIX, LLC",433 EAST 6TH STREET,MESA,85203,Long Term,4013
40.30307,-111.70735,5b63c59a-4b5f-48b6-903b-e47311bda9d5,Suncrest Health Care,2211 E Southern Ave,Phoenix,85040,Long Term,4013
48.90644,-103.29854,30037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,85006,Short Term,4013
13.81105569,100.7174066,30107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,85206,Short Term,4013
40.81229,-81.39694,32001,SELECT SPECIALTY HOSPITAL PHOENIX,"350 WEST THOMAS ROAD, 3RD FLOOR",PHOENIX,85013,Long Term,4013
33.67046,-111.92262,30123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,85255,Short Term,4013
42.065706,-88.154004,30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6501 NORTH 19TH AVENUE,PHOENIX,85015,Short Term,4013
33.44912,-111.68352,30136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE,LAVEEN,85339,Short Term,4013
33.46431,-112.05879,30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,85006,Short Term,4013
33.47817,-112.25743,30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,85037,Short Term,4013
40.81229,-81.39694,32005,SELECT SPECIALTY HOSPITAL ARIZONA,"1111 EAST MCDOWELL RD, 11TH FLOOR",PHOENIX,85006,Long Term,4013
33.97854,-112.73989,31300,WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,WICKENBURG,85390,Critical Access Hospitals,4013
33.4793,-112.03978,33302,PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,85016,Childrens Hospitals,4013
33.56946,-112.07058,30014,HONORHEALTH JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,PHOENIX,85020,Short Term,4013
33.45756,-112.02623,30022,VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,85008,Short Term,4013
33.60394,-112.28356,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,85351,Short Term,4013
35.00232,-114.59682,30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,86426,Short Term,4015
35.11092,-114.55523,30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,BULLHEAD CITY,86442,Short Term,4015
35.21999,-114.03798,30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,86409,Short Term,4015
34.48017,-114.33873,30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,86403,Short Term,4015
35.0349,-110.69242,31311,LITTLE COLORADO MEDICAL CENTER,1501 NORTH WILLIAMSON AVENUE,WINSLOW,86047,Critical Access Hospitals,4017
35.1426,-90.03137,30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,85901,Short Term,4017
32.1758,-110.9307,30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,TUCSON,85724,Short Term,4019
27.98177,-82.491,30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,85711,Short Term,4019
32.22177,-110.96977,32002,CURAHEALTH TUCSON,355 NORTH WILMOT ROAD,TUCSON,85711,Long Term,4019
32.25224,-110.87984,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,85712,Short Term,4019
43.38428,-72.34119,30137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,85614,Short Term,4019
32.42927,-110.94964,30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,85755,Short Term,4019
20.63956,-105.23232,32004,CORNERSTONE SPECIALTY HOSPITALS TUCSON,7220 EAST ROSEWOOD STREET,TUCSON,85710,Long Term,4019
32.1758,-110.9307,30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,85713,Short Term,4019
33.93024,-87.82443,30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,85741,Short Term,4019
33.94666,-83.40512,30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,85745,Short Term,4019
32.88069,-111.70949,30016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,85122,Short Term,4021
33.21451,-111.5653,30130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,QUEEN CREEK,85140,Short Term,4021
33.39422,-111.56715,30134,BANNER GOLDFIELD MEDICAL CENTER,2050 WEST SOUTHERN AVENUE,APACHE JUNCTION,85120,Short Term,4021
26.18617,-80.11873,31313,HOLY CROSS HOSPITAL,1171 WEST TARGET RANGE ROAD,NOGALES,85621,Critical Access Hospitals,4023
34.73549,-112.02998,30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,86326,Short Term,4025
34.55886,-112.48141,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,86301,Short Term,4025
32.68214,-114.63537,30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,85364,Short Term,4027
35.86627,-90.63633,40118,NEA BAPTIST MEMORIAL HOSPITAL,4800 EAST JOHNSON AVENUE,JONESBORO,72405,Short Term,5001
34.06912,74.80334,41314,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,72042,Critical Access Hospitals,5001
34.51764,-91.55932,40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ST,STUTTGART,72160,Short Term,5001
