Name,description,layer,x,y
West Branch-Rose City Area Schools,,Schools in Michigan - mask policies fall 2021 Masks recommended/not required,-84.193329,44.327430
Woodhaven-Brownstown School District,,Schools in Michigan - mask policies fall 2021 Masks recommended/not required,-83.262955,42.148088
Wyandotte City School District,,Schools in Michigan - mask policies fall 2021 Masks recommended/not required,-83.164240,42.214433
Zeeland Public Schools,,Schools in Michigan - mask policies fall 2021 Masks recommended/not required,-85.999140,42.810624
Alma College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-84.672875,43.380751
Alpena Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.444674,45.081272
Aquinas College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-85.626350,42.960404
Bay Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-87.085341,45.773030
Calvin University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-85.582531,42.932896
Central Michigan University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-84.778154,43.582708
Delta College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.986038,43.558563
Eastern Michigan University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.624544,42.250859
Grand Rapids Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-85.666778,42.966938
Grand Valley State University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-85.891322,42.962471
Henry Ford College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.237690,42.324142
Hope College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-86.102773,42.787537
Jackson Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-84.406373,42.163974
Kalamazoo College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-85.598266,42.290060
Lansing Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-84.551162,42.738113
Lawrence Technological University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.250641,42.474771
Macomb Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-82.973410,42.505353
Michigan State University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-84.449158,42.749997
Michigan Technological University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-88.547092,47.119294
Muskegon Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-86.196612,43.249654
North Central Michigan College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-84.955476,45.362318
Northern Michigan University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-87.408462,46.560211
Northwestern Michigan College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-85.582509,44.765927
Oakland Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.223351,42.646987
Oakland University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.208810,42.667807
Saginaw Valley State University,"Vaccinated people can remove masks when together in a conference room, by mutual consent, as well as in closed offices when alone.",Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.962936,43.514304
St Clair Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-82.814453,43.317860
University of Detroit Mercy,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.138081,42.414170
University of Michigan,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.710330,42.251875
University of Michigan-Dearborn,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.232703,42.317593
University of Michigan-Flint,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.688841,43.019871
Wayne State University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.080882,42.379472
Western Michigan University,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-85.615542,42.283171
Washtenaw Community College,,Schools in Michigan - mask policies fall 2021 Masks required - higher education,-83.664210,42.262823
Allen Park Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.213041,42.247366
Ann Arbor Public Schools,REQUIRED,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.735047,42.288444
Arts Academy in the Woods,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-82.952024,42.532526
Barry Intermediate School District,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-85.293918,42.661478
Battle Creek Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-85.180371,42.320804
Benton Harbor Area Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-86.390792,42.091318
Berkley School District,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.191531,42.484636
Birmingham Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.242881,42.517494
Bloomfield Hills School District,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.282951,42.576626
Cesar Chavez Academy Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.114774,42.311941
The Children's House Montessori,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-85.682664,44.744014
Dearborn Academy,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.228312,42.330832
Detroit Public Schools,REQUIRED,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.067627,42.361547
Detroit Country Day School,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.265393,42.515927
DeWitt Public Schools,"Masks required for all at High (Red) level on CDC map. At Substantial (Orange) level, masks required for students and staff at grade 8 and below, and recommended for all others. At Moderate (Yellow) level, masks recommended for all.","Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.585409,42.833786
Dexter Community School District,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.882275,42.334790
East Arbor Charter Academy,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.622341,42.188565
East Lansing Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.472248,42.739913
Eaton Rapids Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.637807,42.504071
Ferndale Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.149493,42.452495
Flint Community Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.695723,43.017456
Fortis Academy,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.659945,42.232825
Grand Blanc Montessori,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.693331,42.914591
Grand Haven Area Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-86.197228,43.014844
Grand Ledge Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.748918,42.749725
Grand Rapids Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-85.668856,42.957478
Hamtramck Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.049519,42.393030
Haslett Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.388620,42.756778
Hazel Park Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.114890,42.468398
Henry Ford Academy,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.234946,42.302701
Holland Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-86.121886,42.775487
Holt Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.621253,42.670658
Immaculate Heart of Mary School,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.547752,42.693025
Ingham Intermediate School District ,Applies to ISD facilities and programs it runs in other districts,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.447677,42.597597
Kalamazoo Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-85.625180,42.292119
Kentwood Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-85.644145,42.858009
Lakeview School District,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-85.220127,42.285070
Lansing Public School District,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.546621,42.754414
Maple Tree Montessori Academy,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.756491,42.560583
Melvindale-Northern Allen Park Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.185558,42.279678
Midland County ESA,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.227665,43.633053
Monroe Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.386064,41.932172
Mount Clemens Community Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-82.883388,42.597083
New Morning School ,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.444096,42.388596
Oak Park Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.185418,42.457698
Oakland Schools Technical Campuses,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.264354,42.666963
Okemos Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.456953,42.684703
School District of the City of Pontiac,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.288039,42.635284
Royal Oak Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.135176,42.514733
South Arbor Charter Academy,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.681509,42.168978
South Pointe Scholars Academy,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.552872,42.275933
Southfield Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.264332,42.466388
Spring Lake Public Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-86.103787,43.059348
Summers Knoll School,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.699880,42.255525
The Roeper School,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.253058,42.593284
University Liggett School,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-82.900855,42.424328
Waverly Community Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-84.616075,42.728843
Ypsilanti Community Schools,,"Schools in Michigan - mask policies fall 2021 Masks required - public, private & charter K-12 schools",-83.625022,42.247619
Allegan Public Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.893078,42.513440
Atherton Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.630964,42.983531
Beecher Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.700203,43.101241
Bendle Public Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.671437,42.975756
Bentley Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.598623,43.020151
Carman-Ainsworth Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.733001,42.974235
Climax-Scotts Community School District,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.336592,42.199383
Clio Area School District,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.744555,43.178646
Comstock Public Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.541511,42.313058
Davison Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.526899,43.010683
Farmington Public Schools,Masks required when Oakland County is orange or red on CDC map,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.361513,42.463728
Fennville Public Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-86.115178,42.545944
Fenton Area Public Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.700792,42.748612
Flushing Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.871226,43.070979
Forest Hills Public Schools,Masks required for all children and unvaccinated people in preK-6 schools,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.507155,42.954918
Galesburg-Augusta Community Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.362224,42.339020
Gaylord Community Schools,K-6 parents can opt to have their child placed in a classroom where masks are required,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-84.712448,44.991946
