name,lon,lat,type,address,phone,description,volume
Bristol Bay Area Health Corporation,-158.5368215,59.0006067,0,"6000 Kanakanak Rd, Dillingham, AK 99576, USA",(800) 478-5201,,
Tanana Chiefs Conference,-147.7106986,64.8440859,0,"122 1st Ave, Fairbanks, AK 99701, USA",(907) 452-8251,,
Council-Athabascan Tribal,-145.2513402,66.56735,0,"101 Main St, Fort Yukon, AK 99740, USA",(907) 662-2587,,
Maniiḷaq Health Center,-162.5868333,66.8961237,0,"436 5th Ave, Kotzebue, AK 99752, USA",(907) 442-3321,,
Norton Sound Health Corporation,-165.387086,64.5000585,0,"1000 Greg Kruschek Avenue, Nome, AK 99762, USA",(907) 443-3311,,
Seldovia Village Tribe,-151.7119381,59.4370189,0,"206 Main St, Seldovia, AK 99663, USA",(907) 234-7898,,
Yakutat Tlingit Tribe,-139.7318434,59.5440109,0,"716 Ocean Cape Rd, Yakutat, AK 99689, USA",(907) 784-3238,,
DOH-Environmental Health Services Division,-170.692393,-14.2763878,0,"Fagatogo, Pago Pago, Eastern District 96799, American Samoa",,,
Sun Life Family Health Center,-111.714972,32.8821647,1,"865 N Arizola Rd, Casa Grande, AZ 85122, USA",(520) 836-3446,,
"Pediatric Center of Excellence - Chiricahua Community Health Centers, Inc.",-109.5492454,31.3492938,0,"815 15th St, Douglas, AZ 85607, USA",(520) 364-5437,,
North Country HealthCare - Flagstaff (4th Street),-111.6126929,35.2168899,0,"2920 N Fourth St, Flagstaff, AZ 86004, USA",(928) 522-9400,,
United Community Health Center at Green Valley Hospital,-111.0104217,31.8061871,0,"4475 I-19 Frontage Rd #139, Green Valley, AZ 85614, USA",(520) 407-5910,,
Mariposa Community Health Center,-110.9335064,31.3656886,0,"1852 N Mastick Way, Nogales, AZ 85621, USA",(520) 281-1550,,
Adelante Healthcare,-112.0731297,33.4835789,1,"3033 N Central Ave Suite 145, Phoenix, AZ 85012, USA",(877) 809-5092,,
Circle the City,-112.0799916,33.4944925,0,"333 W Indian School Rd, Phoenix, AZ 85013, USA",(602) 776-9000,,
Valleywise Health Medical Center,-112.0261916,33.4572917,0,"2601 E Roosevelt St, Phoenix, AZ 85008, USA",(602) 344-5011,,
Mountain Park Health Center Maryvale Clinic,-112.2011586,33.4794354,1,"6601 W Thomas Rd, Phoenix, AZ 85033, USA",(602) 243-7277,,
Native Health,-112.0725191,33.4945269,0,"Building C, 4041 N Central Ave, Phoenix, AZ 85012, USA",(602) 279-5262,,
Terros Health -Central Office,-112.0732533,33.4826645,0,"3003 N Central Ave Suite #400, Phoenix, AZ 85012, USA",(602) 685-6000,,
Valle del Sol,-112.0746715,33.4356309,0,"1209 S 1st Ave, Phoenix, AZ 85003, USA",(602) 258-6797,,
Wesley Community Center,-112.060004,33.434765,0,"1300 S 10th St, Phoenix, AZ 85034, USA",(602) 257-4323,,
Neighborhood Outreach Access To Health,-111.92196,33.4903919,1,"3634 N Drinkwater Blvd, Scottsdale, AZ 85251, USA",,,
Sunset Community Health Center,-114.7099416,32.5967846,1,"115 N Somerton Ave, Somerton, AZ 85350, USA",(928) 627-2051,,
Tuba City Regional Health Care,-111.2369947,36.1359847,0,"167 Main St, Tuba City, AZ 86045, USA",(866) 976-5941,,
El Rio Community Health Center Adminstration,-110.9789256,32.2232839,1,"450 W Paseo Redondo, Tucson, AZ 85701, USA",(520) 670-3909,,
ARcare - Augusta Medical Clinic,-91.362791,35.2927483,0,"400 Hwy 64 E, Augusta, AR 72006, USA",(870) 347-2508,,
Mainline Health Systems Inc,-91.5115391,33.2390033,0,"223 N Main St, Portland, AR 71663, USA",(870) 737-2221,,
Community Clinic- Springdale Medical | Pediatrics and Women's Health,-94.1230514,36.1854151,1,"614 E Emma Ave #300, Springdale, AR 72764, USA",(479) 751-7417,,
NECC Administration,-118.1517122,34.094865,0,"2550 W Main St #301, Alhambra, CA 91801, USA",(626) 457-6900,,
Northeast Community Clinic,-118.1517377,34.094934,0,"2550 W Main St #301, Alhambra, CA 91801, USA",(626) 457-6900,,
"Central City Community Health Center Inc., - Lincoln",-117.9468218,33.8321923,0,"1820 W Lincoln Ave #1814, Anaheim, CA 92801, USA",(714) 805-7719,,
Open Door Community Health Center,-124.0916628,40.896393,0,"3800 Janes Rd, Arcata, CA 95521, USA",(707) 822-1385,,
El Proyecto Del Barrio,-118.437257,34.2315227,0,"8902 Woodman Ave, Arleta, CA 91331, USA",(818) 830-7033,,
Avenal Community Health Center,-120.1214198,36.0076729,0,"1000 Skyline Blvd, Avenal, CA 93204, USA",(559) 386-4500,,
Clinica Sierra Vista - 34th Street Community Health Center,-119.0086268,35.3967924,1,"2000 Physicians Blvd, Bakersfield, CA 93301, USA",(661) 324-1455,,
Family Health Care Centers of Greater Los Angeles,-118.1476448,33.9732363,0,"6501 S, Garfield Ave, Bell Gardens, CA 90201, USA",(562) 928-9600,,
LifeLong West Berkeley Health Center,-122.2970458,37.8669849,1,"837 Addison St, Berkeley, CA 94710, USA",(510) 981-4100,,
"Brawley Medical Clinic - Clinicas de Salud del Pueblo, Inc.",-115.5278029,32.9782583,0,"900 Main St, Brawley, CA 92227, USA",(760) 344-6471,,
Korean Community Services,-118.0074623,33.8581677,0,"7212 Orangethorpe Ave Suite 8, Buena Park, CA 90621, USA",(714) 449-1125,,
Yehowa Medical Services,-118.2671389,33.8465483,0,"454 Carson Plaza Dr, Carson, CA 90746, USA",(323) 776-1500,,
AltaMed Health Services Corporation,-118.1532157,34.0191973,1,"5436 Whittier Blvd, Los Angeles, CA 90022, USA",(888) 363-1293,,
De Novo Health Care Inc.,-118.215244,33.903617,0,"803 Rosecrans Ave, Compton, CA 90221, USA",(310) 605-4800,,
ROADS Community Care Clinic,-118.208363,33.894956,0,"121 S Long Beach Blvd, Compton, CA 90221, USA",(855) 645-0033,,
Share Our Selves,-117.9268629,33.6325332,0,"1550 Superior Ave, Costa Mesa, CA 92627, USA",(949) 270-2100,,
The Achievable Foundation,-118.3919144,33.984195,0,"5901 Green Valley Cir UNIT 405, Culver City, CA 90230, USA",(424) 266-7474,,
Communicare Health Center,-121.7695775,38.563708,0,"2051 John Jones Rd, Davis, CA 95616, USA",(530) 758-2060,,
"South County Community Health Center, Inc.",-122.1338668,37.4711824,0,"ste a east 94303, 1798 Bay Rd, Palo Alto, CA 94303, USA",(650) 330-7400,,
"Southern California Medical Center, Inc.",-118.0163454,34.0608155,0,"12100 Valley Blvd #109a, El Monte, CA 91732, USA",(626) 575-7500,,
Neighborhood Healthcare - Escondido,-117.0727663,33.1286381,0,"460 N Elm St, Escondido, CA 92025, USA",(760) 520-8100,,
Fairfield,-122.0405151,38.2491956,0,"Fairfield, CA, USA",,,
Bay Area Community Health,-121.9769658,37.5489421,0,"39500 Liberty St, Fremont, CA 94538, USA",(510) 770-8040,,
United Health Centers-Administration Building,-119.8633293,36.8379472,1,"3875 W Beechwood Ave, Fresno, CA 93722, USA",(800) 492-4227,,
Nhan Hoa Comprehensive Health Care Clinic,-117.9965813,33.7739924,0,"7761 Garden Grove Blvd, Garden Grove, CA 92841, USA",(714) 898-8888,,
"All For Health, Health For All",-118.2492201,34.1466218,0,"519 E Broadway, Glendale, CA 91205, USA",(818) 409-3020,,
"Comprehensive Community Health Centers, Inc.",-118.2039119,34.1391136,0,"1704 Colorado Blvd, Eagle Rock, CA 90041, USA",(323) 256-4116,,
Karuk Tribe Administration,-123.3800585,41.7910804,0,"64236 2nd Ave, Happy Camp, CA 96039, USA",(530) 493-1600,,
Behavioral Health Services Inc,-118.326804,33.889539,0,"15519 Crenshaw Blvd, Gardena, CA 90249, USA",(310) 679-9126,,
Alliance Medical Center,-122.8654598,38.6273915,0,"1381 University Ave, Healdsburg, CA 95448, USA",(707) 433-5494,,
Imperial Beach Community Clinic,-117.1134051,32.5836302,0,"949 Palm Ave, Imperial Beach, CA 91932, USA",(619) 429-3733,,
University of California Irvine,-117.8442962,33.6404952,0,"Irvine, CA 92697, USA",(949) 824-5011,,
Hi-Desert Medical Center,-116.2751358,34.1321059,0,"6601 White Feather Rd, Joshua Tree, CA 92252, USA",(760) 366-3711,,
Livingston Health Center,-120.7341919,37.3852933,0,"600 B St, Livingston, CA 95334, USA",(833) 850-3500,,
The Children's Clinic Central Long Beach Family Health Center,-118.1933925,33.8000673,0,"2360 Pacific Ave, Long Beach, CA 90806, USA",(844) 822-4646,,
Community Medical Wellness Centers USA,-118.1743871,33.7824258,0,"1360 E Anaheim St, Long Beach, CA 90813, USA",(562) 270-0324,,
APLA Health - Gleicher/Chen Health Center,-118.356329,34.018727,0,"3743 South La Brea Ave, Los Angeles, CA 90016, USA",(323) 329-9900,,
Arroyo Vista Family Health Center,-118.1888713,34.1113273,0,"6000 N Figueroa St, Highland Park, CA 90042, USA",(866) 616-9344,,
"Asian Pacific Health Care Venture, Inc.",-118.2871437,34.0989121,0,"1530 Hillhurst Ave, Los Angeles, CA 90027, USA",(323) 644-3888,,
Benevolence Health Center,-118.335602,34.0232994,0,"3631 Crenshaw Blvd #109, Los Angeles, CA 90016, USA",(323) 732-0100,,
Chinatown Service Center,-118.2449417,34.0617172,0,"819 W Cesar Estrada Chavez Ave, Los Angeles, CA 90012, USA",(213) 808-1700,,
To Help Everyone - Western Clinic,-118.308589,34.016179,0,"3834 S Western Ave, Los Angeles, CA 90062, USA",(323) 730-1920,,
Clínica Romero,-118.2075882,34.0564766,0,"2032 Marengo St, Los Angeles, CA 90033, USA",(213) 989-7700,,
Complete Care Community Health,-118.2008731,34.0433208,0,"2928 East Cesar E Chavez Avenue, Los Angeles, CA 90033, USA",(323) 266-6700,,
Health Access,-118.2745191,34.0570614,0,"1930 Wilshire Blvd #916, Los Angeles, CA 90057, USA",(213) 413-3587,,
JWCH Institute Inc,-118.1927084,34.1099598,1,"5709 N Figueroa St, Los Angeles, CA 90042, USA",,,
Kedren Community Health Center Inc.,-118.2661803,34.0073123,0,"4211 S Avalon Blvd, Los Angeles, CA 90011, USA",(323) 233-0425,,
Los Angeles Christian Health Centers - Pico Aliso Clinic,-118.2219503,34.0431515,0,"1625 East 4th St, Los Angeles, CA 90033, USA",(213) 893-1960,,
Hollywood Sunset Free Clinic,-118.2759507,34.0870894,0,"3324 Sunset Blvd, Los Angeles, CA 90026, USA",(323) 660-2400,,
Los Angeles LGBT Center,-118.3326226,34.100385,0,"McDonald/Wright Building, 1625 Schrader Blvd, Los Angeles, CA 90028, USA",(323) 993-7500,,
Magnolia Pediatric Dentistry & Orthodontics,-87.674719,41.9109566,0,"1611 N Wolcott Ave, Chicago, IL 60622, USA",(312) 281-4860,,
San Judas Medical Group,-118.3089988,34.0902644,0,"1080 N Western Ave, Los Angeles, CA 90029, USA",(323) 957-8787,,
St. Anthony Medical Centers,-118.328997,34.1013387,0,"6368 Hollywood Blvd, Los Angeles, CA 90028, USA",(323) 469-5555,,
St John's Well Child & Family Center,-118.2715524,34.029281,1,"326 W 23rd St, Los Angeles, CA 90007, USA",(323) 541-1411,,
UMMA Community Clinic,-118.2863743,33.9749141,0,"711 W Florence Ave, Los Angeles, CA 90044, USA",(323) 789-5610,,
Via Care Community Health Center,-118.1628606,34.0407387,0,"4755 East Cesar E Chavez Avenue, East Los Angeles, CA 90022, USA",(323) 268-9191,,
Camarena Health Center - Dental Office,-120.054719,36.9637516,1,"124 S A St, Madera, CA 93638, USA",(559) 664-4000,,
Martinez,-122.1341321,38.0193657,0,"Martinez, CA 94553, USA",,,
Peach Tree Health Administration,-121.585014,39.1481539,0,"1114 Yuba St #144, Marysville, CA 95901, USA",(530) 749-3242,,
Golden Valley Health Centers,-120.4965991,37.288222,0,"797 W Childs Ave, Merced, CA 95341, USA",(209) 383-5871,,
BeverlyCare-Women's Health & OB/GYN,-118.1222381,34.013174,0,"1920 W Whittier Blvd, Montebello, CA 90640, USA",(323) 725-1519,,
Community Health Systems Inc,-117.2674186,33.9159585,0,"22675 Alessandro Blvd # 1, Moreno Valley, CA 92553, USA",(951) 571-2350,,
AAA Comprehensive Healthcare,-118.388032,34.2061724,0,"7451 Lankershim Blvd, North Hollywood, CA 91605, USA",(818) 503-9800,,
OLE Health,-122.2921168,38.3210574,0,"1141 Pear Tree Ln, Napa, CA 94558, USA",(707) 257-7821,,
Samahan Health Clinic - National City Clinic,-117.0918366,32.661154,0,"2743 Highland Ave, National City, CA 91950, USA",(844) 200-2426,,
Community Health Centers - Nipomo Medical Center,-120.4993648,35.027364,1,"150 Tejas Pl, Nipomo, CA 93444, USA",(805) 929-3211,,
Marin Community Clinics,-122.563088,38.09649,1,"6100 Redwood Blvd, Novato, CA 94945, USA",(415) 448-1500,,
Oakland,-122.2711639,37.8043514,0,"Oakland, CA, USA",,,
Asian Health Services,-122.266142,37.7967178,1,"101 8th St, Oakland, CA 94607, USA",(510) 986-6800,,
Children's Pavilion,-87.6503094,41.9679578,0,"4720 N Clarendon Ave, Chicago, IL 60640, USA",(773) 878-9700,,
"La Clínica de La Raza, Inc.",-122.2252958,37.7781354,1,"1450 Fruitvale Ave 3rd Floor, Oakland, CA 94601, USA",(510) 535-4000,,
West Oakland Health Council,-122.2876304,37.804074,0,"700 Adeline St, Oakland, CA 94607, USA",(510) 835-9610,,
Oxnard,-119.1770516,34.1975048,1,"Oxnard, CA, USA",,,
Community Health Alliance of Pasadena,-118.085342,34.1418516,0,"3160 E Del Mar Blvd #100, Pasadena, CA 91107, USA",(626) 486-9729,,
Greenville Rancheria Tribal Health Center,-122.2254645,40.1577798,0,"1425 Montgomery Rd, Red Bluff, CA 96080, USA",(530) 528-8600,,
Redwoods Rural Health Center,-123.8132042,40.1168397,0,"101 West Coast Rd # B, Redway, CA 95560, USA",(707) 923-2783,,
Riverside County Public Health,-117.4603309,33.9166973,1,"4065 County Cir Dr, Riverside, CA 92503, USA",(951) 358-5000,,
Sacramento County,-121.3541631,38.47467,0,"Sacramento County, CA, USA",,,
Clinica de Salud del Valle de Salinas,-121.6269874,36.6773746,1,"219 N Sanborn Rd, Salinas, CA 93905, USA",(831) 757-1365,,
Salinas,-121.6555013,36.6777372,0,"Salinas, CA, USA",,,
San Bernardino County,-116.419389,34.9592083,0,"San Bernardino County, CA, USA",,,
Family Health Centers of San Diego,-117.1134953,32.7153006,1,"823 Gateway Center Way, San Diego, CA 92102, USA",(619) 515-2300,,
La Maestra Community Health Centers,-117.101238,32.7505362,1,"4060 Fairmount Ave, San Diego, CA 92105, USA",(619) 255-9155,,
San Diego American Indian Health Center,-117.1642968,32.7328616,0,"2630 1st Ave, San Diego, CA 92103, USA",(619) 234-2158,,
St. Vincent de Paul Village,-117.1505508,32.7054786,0,"1501 Imperial Ave, San Diego, CA 92101, USA",(619) 233-8500,,
Northeast Valley Health Corporation (San Fernando Health Center),-118.4486988,34.2889358,1,"1600 San Fernando Rd, San Fernando, CA 91340, USA",(818) 365-8086,,
San Fernando Community Health Center,-118.4445797,34.2766073,0,"732 Mott St suite 100-110, San Fernando, CA 91340, USA",(818) 963-5690,,
Asian & Pacific Islander Wellness Center,-122.419095,37.7838223,0,"730 Polk St, San Francisco, CA 94109, USA",(415) 292-3400,,
Mission Neighborhood Health Center,-122.416586,37.764599,0,"240 Shotwell St, San Francisco, CA 94110, USA",(415) 552-3870,,
San Francisco Community Clinic Consortium,-122.415534,37.807569,1,"2720 Taylor St #430, San Francisco, CA 94133, USA",(415) 355-2222,,
S F Medical Center Outpatient,-122.4085452,37.7776074,0,"229 7th St, San Francisco, CA 94103, USA",(415) 552-5059,,
Herald Christian Health Center,-118.0910987,34.0908169,0,"923 S San Gabriel Blvd, San Gabriel, CA 91776, USA",(626) 286-8700,,
Valley Health Team - San Joaquin Health Center,-120.1845224,36.6052858,1,"21890 W Colorado Ave, San Joaquin, CA 93660, USA",(559) 693-2462,,
Gardner Family Health Network,-121.8780346,37.3256093,0,"160 E Virginia St, San Jose, CA 95112, USA",(408) 287-6200,,
Indian Health Center of Santa Clara Valley,-121.9140361,37.3018257,0,"1333 Meridian Ave, San Jose, CA 95125, USA",(408) 445-3400,,
San Jose,-121.8863286,37.3382082,0,"San Jose, CA, USA",,,
Davis Street Community Center,-122.1535341,37.7049834,0,"3081 Teagarden St, San Leandro, CA 94577, USA",(510) 347-4620,,
TrueCare San Marcos,-117.1570355,33.1404369,0,"150 Valpreda Rd, San Marcos, CA 92069, USA",(760) 736-6767,,
San Mateo,-122.3255254,37.5629917,0,"San Mateo, CA, USA",,,
"Harbor Community Clinic - Natalie Rodriguez, ANP",-118.2898975,33.7385174,0,"593 W 6th St, San Pedro, CA 90731, USA",(310) 547-0202,,
San Ysidro Health Center,-117.0472107,32.5587158,1,"4004 Beyer Blvd, San Ysidro, CA 92173, USA",(619) 662-4100,,
Serve the People Community Health Center,-117.8540484,33.7596805,0,"1206 17th St #101, Santa Ana, CA 92701, USA",(714) 352-2911,,
Santa Barbara Neighborhood Clinics,-119.6917871,34.4221777,0,"Administrative Headquarters, 414 E Cota St, Santa Barbara, CA 93101, USA",(844) 594-0343,,
Santa Barbara County,-119.6982057,34.4208321,0,"Santa Barbara County, CA, USA",,,
Santa Cruz County,-121.9579578,37.0453988,0,"Santa Cruz County, CA, USA",,,
Santa Rosa Community Health -- Vista Campus,-122.72969,38.479696,0,"3569 Round Barn Cir, Santa Rosa, CA 95403, USA",(707) 303-3600,,
Marin City Health & Wellness Center,-122.514671,37.872598,0,"630 Drake Ave, Sausalito, CA 94965, USA",(415) 339-8813,,
Inland Behavioral & Health Services,-117.2938577,34.1332048,0,"1963 N E St, San Bernardino, CA 92405, USA",(909) 881-6146,,
SAC Health System,-117.2988774,34.0967158,0,"250 S G St, San Bernardino, CA 92410, USA",(909) 382-7100,,
Community Medical Centers,-121.3008006,38.0158974,0,"7210 Murray Dr, Stockton, CA 95210, USA",(209) 373-2800,,
San Joaquin County,-121.1710389,37.9175935,0,"San Joaquin County, CA, USA",,,
"Tarzana Treatment Center, Inc.",-118.5396449,34.1798,0,"18646 W Oxnard St, Tarzana, CA 91356, USA",(818) 996-1051,,
South Bay Family Healthcare Center,-118.3492743,33.8133727,0,"23430 Hawthorne Blvd # 210, Torrance, CA 90505, USA",(310) 802-6177,,
Altura Centers for Health,-119.3380954,36.2234423,0,"1101 N Cherry St, Tulare, CA 93274, USA",(559) 686-9097,,
Hurtt Family Health Clinic,-117.8321937,33.7150453,0,"1 Hope Dr #0221, Tustin, CA 92782, USA",(714) 247-0300,,
MCHC Health Center,-123.2118316,39.1275444,0,"333 Laws Ave, Ukiah, CA 95482, USA",(707) 468-1010,,
Tiburcio Vasquez Health Center,-122.026479,37.6026417,0,"33255 9th St, Union City, CA 94587, USA",(510) 471-5907,,
Samuel Dixon Family Health Center,-118.5755579,34.4367925,0,"25115 Avenue Stanford #A104, Valencia, CA 91355, USA",(661) 257-2339,,
Venice Family Clinic,-118.4715237,33.9991486,0,"604 Rose Ave, Venice, CA 90291, USA",(310) 392-8636,,
"Clinicas del Camino Real, Inc.",-119.1593567,34.2932106,1,"200 S Wells Rd, Ventura, CA 93004, USA",(805) 647-6322,,
Family HealthCare Network - Visalia School (Medical & Dental),-119.2886683,36.3327506,1,"401 E School Ave, Visalia, CA 93291, USA",(877) 960-3426,,
Vista Community Clinic,-117.2754366,33.1913605,1,"134 Grapevine Rd, Vista, CA 92083, USA",(760) 631-5000,,
Salud Para La Gente,-121.753841,36.911946,1,"204 E Beach St, Watsonville, CA 95076, USA",(831) 728-0222,,
East Valley Community Health Center,-117.9249457,34.0673027,0,"420 S Glendora Ave, West Covina, CA 91790, USA",(626) 919-5724,,
Winters Healthcare Foundation,-121.9734289,38.5199374,0,"310 Main St, Winters, CA 95694, USA",(530) 795-5200,,
"Administrative Services: Valley-Wide Health Systems, Inc.",-105.890388,37.474428,1,"128 Market St, Alamosa, CO 81101, USA",(833) 350-1113,,
Regents-The University-Colorado,-104.8377105,39.7451972,0,"13001 E 17th Pl ste f-428, Aurora, CO 80045, USA",(303) 724-0258,,
Peak Vista Community Health Centers at Academy,-104.756287,38.8783252,0,"3207 N Academy Blvd Suite 3100 & 3500, Colorado Springs, CO 80917, USA",(719) 632-5700,,
Colorado Coalition for the Homeless,-104.9877763,39.7515866,1,"2111 Champa St, Denver, CO 80205, USA",(303) 293-2217,,
Denver Health,-104.9913193,39.7279895,1,"777 Bannock St, Denver, CO 80204, USA",(303) 436-6000,,
Clinica Tepeyac,-104.9867107,39.7886192,0,"5075 Lincoln St, Denver, CO 80216, USA",(303) 458-5302,,
Metro Community Provider Network,-104.9927257,39.6527333,1,"3515 S Delaware St, Englewood, CO 80110, USA",(303) 360-6276,,
Sunrise Community Health,-104.6926325,40.388399,0,"2930 11th Ave, Evans, CO 80620, USA",(970) 352-0048,,
Salud Family Health Centers Administration Building,-104.8058285,40.0776228,1,"203 S Rollie Ave, Fort Lupton, CO 80621, USA",(303) 892-6401,,
Mountain Family Health Centers - Glenwood Springs Integrated Health Center,-107.3232711,39.5323651,0,"1905 Blake Ave, Glenwood Springs, CO 81601, USA",(970) 945-2840,,
Clinica Family Health,-105.0910303,39.9825977,0,"1735 S Public Rd, Lafayette, CO 80026, USA",(303) 650-4460,,
Optimus health care,-73.2103596,41.2116978,0,"3715 Main St, Bridgeport, CT 06606, USA",(203) 696-3260,,
Southwest Community Health Center,-73.2045149,41.17437,0,"1046 Fairfield Ave, Bridgeport, CT 06605, USA",(203) 330-6000,,
Connecticut Institute For Communities (CIFC) - Central Business Office,-73.4499032,41.3919011,0,"120 Main St 4th floor, Danbury, CT 06810, USA",(203) 743-9760,,
First Choice Health Centers,-72.6449966,41.7684555,1,"809 Main St, East Hartford, CT 06108, USA",(860) 528-1359,,
Family Centers Health Care,-73.6185989,41.0250244,0,"111 Wilbur Peck Ct, Greenwich, CT 06830, USA",(203) 717-1760,,
Charter Oak Family Health Center,-72.6855562,41.7593292,1,"21 Grand St, Hartford, CT 06106, USA",(860) 550-7500,,
Community Health Services,-72.6847573,41.7779836,0,"500 Albany Ave, Hartford, CT 06120, USA",(860) 249-9625,,
"Community Health Center, Inc",-72.6528474,41.565097,1,"675 Main St, Middletown, CT 06457, USA",(860) 347-6971,,
Fair Haven Community Health Care,-72.8896999,41.3092698,1,"50 Grand Ave, New Haven, CT 06513, USA",(203) 777-7411,,
Norwalk Community Health Center (NCHC),-73.4281171,41.105916,0,"120 Connecticut Ave, Norwalk, CT 06854, USA",(203) 851-1000,,
La Red Health Center,-75.4048154,38.6996842,1,"21444 Carmean Way, Georgetown, DE 19947, USA",(302) 855-1233,,
Henrietta Johnson Medical Center: Thompson Nadine MD,-75.5437994,39.7275201,0,"601 New Castle Ave, Wilmington, DE 19801, USA",(302) 655-6187,,
Westside Family Healthcare,-75.5344517,39.7458426,0,"908 16th St B, Wilmington, DE 19802, USA",(302) 575-1414,,
Bread For the City,-76.9811,38.866205,0,"1640 Good Hope Rd SE, Washington, DC 20020, USA",(202) 265-2400,,
Community of Hope,-77.0087077,38.8311595,0,"4 Atlantic St SW, Washington, DC 20032, USA",(202) 407-7747,,
Elaine Ellis Center of Health,-76.9339373,38.9117325,0,"1627 Kenilworth Avenue Northeast, Washington, DC 20019, USA",(202) 803-2340,,
Family and Medical Counseling Service Inc,-76.9898272,38.8658935,0,"2041 Martin Luther King Jr Ave SE, Washington, DC 20020, USA",(202) 889-7900,,
La Clinica Del Pueblo,-77.0351636,38.9258997,0,"2831 15th St NW, Washington, DC 20009, USA",(202) 462-4788,,
Mary's Center,-77.0398043,38.9209842,1,"2333 Ontario Rd NW, Washington, DC 20009, USA",(202) 483-8196,,
Unity Health Care Inc,-76.9429305,38.9006279,1,"4130 Hunt Pl NE, Washington, DC 20019, USA",(202) 388-8160,,
Chuuk State Project Management Office,151.8454065,7.4528776,0,"Weno, Chuuk, Federated States of Micronesia",330 3069,,
Pohnpei Community Health Center,158.2133147,6.9642614,0,"Kolonia, Pohnpei 96941, Federated States of Micronesia",320 2438,,
Yap Memorial Hospital,138.1253743,9.523426,0,"Unnamed Road,, Colonia, Yap, Federated States of Micronesia",350 2115,,
Genesis Community Health: Boynton Beach Medical,-80.058251,26.5214308,0,"709 South S Federal Hwy Suite 3, Boynton Beach, FL 33435, USA",(561) 735-6553,,
Clearwater,-82.8001026,27.9658533,0,"Clearwater, FL, USA",,,
Community Health of South Florida Inc: Doris Ison Health Center,-80.3577898,25.5656019,1,"10300 SW 216th St, Miami, FL 33190, USA",(305) 253-5100,,
Premier Community HealthCare Group,-82.1878504,28.3626964,1,"37944 Church Ave, Dade City, FL 33525, USA",(352) 518-2000,,
Walton County Public Health Department,-86.1133325,30.7260483,0,"362 FL-83, Defuniak Springs, FL 32433, USA",(850) 892-8015,,
Family Health Centers Of Southwest Fl,-81.8709081,26.6360087,1,"2256 Heitman St, Fort Myers, FL 33901, USA",(239) 278-3600,,
North Broward Hospital District,-80.1395363,26.101307,0,"303 SE 17th St, Fort Lauderdale, FL 33316, USA",(954) 759-7400,,
Broward Community and Family Health Centers,-80.194399,26.009986,0,"5010-5012 Hollywood Blvd, Hollywood, FL 33021, USA",(954) 967-0028,,
