name,st_abbr,city,address,phone,testing_status,lon,lat
WHCHC - Waikoloa,HI,Waikoloa,68-1845 Waikoloa Rd Ste 207,808-937-6687,Yes,-155.7875856,19.92684718
Hamakua Health Center in Waimea,HI,Kamuela,65-1230 Mamalahoa Hwy Ste C13,808-930-2759,Yes,-155.6709867,20.01890261
Laupahoehoe Community Public Charter School,HI,Laupahoehoe,35-2065 Old Mamalahoa Hwy,808-962-2200,Yes,-155.2264957,19.98037
HAMAKUA HEALTH CENTER,HI,Honokaa,45-549 Plumeria St,808-775-7204,Yes,-155.4706572,20.07613672
Mobile Dental Van,HI,Honokaa,45-549 Plumeria St,808-333-8410,Yes,-155.4706572,20.07613672
KOHALA FAMILY HEALTH CENTER,HI,Kapaau,53-3925 Akoni Pule Hwy,808-889-6236,Yes,-155.7966478,20.23030741
"Hui No K Ola Pono, Inc Hana",HI,Hana,Uakea Rd,808-244-4647,No,-155.9872688,20.75889417
HANA COMMUNITY HEALTH CENTER,HI,Hana,4590 Hana Hwy,808-248-8294,Yes,-155.994035,20.76359986
Community Clinic of Maui KHAO Satellite Clinic,HI,Wailuku,670 Waiale Rd,808-244-0220,Yes,-156.499461,20.87516519
"Hui No Ke Ola Pono, Wailuku site",HI,Wailuku,95 Mahalani St Rm 21,808-244-4647,No,-156.4876592,20.88691674
Temporary Site - For The Community Clinic of Maui,HI,Wailuku,6 Central Ave,808-872-4018,Yes,-156.4999742,20.88835738
Community Clinic of Maui,HI,Wailuku,1881 Nani St,808-871-7772,Yes,-156.4998312,20.88887013
Community Clinic of Maui NHOW Satellite Clinic,HI,Lahaina,15 Ipu Aumakua Ln,808-667-7598,Yes,-156.6698856,20.86925739
Lanai Community Health Center,HI,Lanai City,333 6th St,808-565-6919 x121,Yes,-156.9213491,20.82666822
KAUAI COMMUNITY HEALTH CTR-WEST,HI,Waimea,4643 Waimea Canyon Dr,808-240-0100,Yes,-159.670481,21.95968941
HO'OLA LAHUI HAWAI'I WEST,HI,Waimea,4643 Waimea Canyon Dr,808-240-0130,Yes,-159.670481,21.95968941
HO'OLA LAHUI HAWAI'I,HI,Kapaa,4800 Kawaihau Rd Ste D,808-240-0170,Yes,-159.314114,22.08766736
HO'OLA LAHUI-HAWAII,HI,Lihue,4491 Rice St Ste 106,808-240-0100,Yes,-159.3702181,21.97538352
Hoola Lahui Hawaii Pharmacy,HI,Lihue,4491 Rice St Ste 105A,808-240-0200,Yes,-159.3702181,21.97538352
Waianae High School School-based Health Center,HI,Waianae,85-251 Farrington Hwy,808-697-3457,Yes,-158.1993995,21.45585673
Kamaile Olakino Maika'i Health Center,HI,Waianae,85-180 Ala Akau St,808-697-3496,Yes,-158.195061,21.45646593
Waianae Intermediate School School-based Health Center,HI,Waianae,85-626 Farrington Hwy,808-697-3457,Yes,-158.192333,21.45280698
Waianae Vision Care,HI,Waianae,86-120 Farrington Hwy Ste C301,808-696-7021,Yes,-158.1849057,21.43583723
WAIOLA CLINIC,HI,Waianae,86-120 Farrington Hwy Ste C305A,808-696-4533,Yes,-158.1849057,21.43583723
WAIANAE COAST COMPREHENSIVE HEALTH CTR,HI,Waianae,86-260 Farrington Hwy,808-696-7081,Yes,-158.179486,21.430023
MOBILE SERVICE VAN,HI,Waianae,86-260 Farrington Hwy,808-696-1586,Yes,-158.179486,21.430023
Kahuku,HI,Kahuku,56-119 Pualalea St,808-293-9231,Yes,-157.953504,21.67613001
Mobile Medical & Dental Unit,HI,Kahuku,56-119 Pualalea St,808-293-9231,Yes,-157.953504,21.67613001
Red Raider Health Center,HI,Kahuku,56-490 Kamehameha Hwy,808-293-9231,Yes,-157.947321,21.67635305
LEEWARD PEDIATRICS (dba JAMES AND ABIGAIL CAMPBELL CLINIC),HI,Waianae,87-2070 Farrington Hwy,808-668-2311,Yes,-158.1512475,21.38686441
MALAMA RECOVERY SERVICES,HI,Waianae,89-188 Farrington Hwy,808-668-2277,Yes,-158.1438206,21.37999942
Nanakuli High & Intermediate School,HI,Waianae,89-980 Nanakuli Ave,808-697-3457,Yes,-158.134019,21.38780302
Wahiawa Health - Mobile,HI,Wahiawa,302 California Ave Ste 106,808-622-1618,No,-158.031201,21.49537326
Wahiawa Health,HI,Wahiawa,302 California Ave Ste 106,808-622-1618,No,-158.031201,21.49537326
Wahiawa Health - Nutrition,HI,Wahiawa,302 California Ave Ste 208,808-622-1618,No,-158.031201,21.49537326
Hau`ula,HI,Hauula,54-316 Kamehameha Hwy,808-293-9216,Yes,-157.9155785,21.62016048
West O`ahu Community Health,HI,Kapolei,"599 Farrington Hwy, Ste 208",808-697-3800,Yes,-158.075877,21.33936098
West O`ahu Community Health,HI,Kapolei,599 Farrington Hwy STE 100,808-697-3800,Yes,-158.075877,21.33936098
Waipahu Family Health Center,HI,Waipahu,94-428 Mokuola St Ste 108B,808-676-7233,Yes,-158.006014,21.38766341
Waipahu Family Health Center,HI,Waipahu,94-428 Mokuola St Ste 213,808-697-3839,Yes,-158.005873,21.38722399
Ewa - West O`ahu Community Health Center,HI,Ewa Beach,91-1841 Fort Weaver Rd,808-697-3300,Yes,-158.028754,21.35438051
Living Well - KPHC Central,HI,Pearl City,860 4th St,808-429-0871,Yes,-157.969167,21.39300399
HAUIKI HOMES PUBLIC HOUSING,HI,Honolulu,1574 Meyers St,808-848-6687,Yes,-157.8775051,21.3442724
KUHIO PARK TERRACE PUB. HOUSING,HI,Honolulu,1475 Linapuni St BLDG A,808-845-3130,Yes,-157.8774938,21.33823877
KOKUA KALIHI VALLEY MAIN CLINIC,HI,Honolulu,2239 N School St,808-791-9400,Yes,-157.874392,21.34080879
KKV Mobile Clinic 1,HI,Honolulu,2239 N School St,808-791-9400,Yes,-157.874392,21.34080879
KKV Wellness Center,HI,Honolulu,2229 N School St,808-791-9400,Yes,-157.874427,21.34032201
KALIHI VALLEY HOMES PUB. HOUSING,HI,Honolulu,2243 Kalaunu St,808-845-0585,Yes,-157.8656842,21.34839654
Kokua Kalihi Valley Gulick Elder Center,HI,Honolulu,1846 Gulick Ave,808-848-0977,Yes,-157.8689772,21.34146454
OHANA HOUSE,HI,Honolulu,2802 Numana Rd,808-845-2377,Yes,-157.8577875,21.35349798
Ke Ola Mamo,HI,Honolulu,1505 Dillingham Blvd Ste 205,808-848-8000,No,-157.8773714,21.32502746
KOHOU CLINIC,HI,Honolulu,904 Kohou St,808-791-6370,Yes,-157.8704635,21.3242378
BEHAVIORAL HEALTH/MEDICAL/HEALTH EDUCATION/ADMINISTRATION,HI,Honolulu,952 N King St,808-841-7981,Yes,-157.867942,21.32362999
KALIHI-PALAMA HEALTH CENTER,HI,Honolulu,915 N King St,808-848-1438,Yes,-157.868238,21.32285001
WIC/OPTOMETRY/ADMIN,HI,Honolulu,888 N King St,808-841-0011,Yes,-157.867318,21.32288899
Living Well - KPHC Lanakila,HI,Honolulu,1700 Lanakila Ave,808-832-5795,Yes,-157.8613049,21.32746224
710 North King Street,HI,Honolulu,710 N King St,808-791-6315,Yes,-157.865718,21.320691
KAAAHI CLINIC,HI,Honolulu,546 Kaaahi St,808-853-1700,Yes,-157.865961,21.31786802
KPHC DOWNTOWN,HI,Honolulu,89 S King St,808-792-5566,Yes,-157.8622881,21.30937615
Waikiki Health NextStep,HI,Honolulu,1 Forrest Ave,808-791-9342,Yes,-157.8645663,21.29818563
Waikiki Health Makahiki,HI,Honolulu,935 Makahiki Way,808-791-9353,Yes,-157.8275242,21.29342714
Waikiki Health Youth Outreach,HI,Honolulu,415 Keoniana St,808-942-5858,Yes,-157.8320515,21.28516954
Waikiki Health CAV Mobile 2,HI,Honolulu,3020 Waialae Ave,808-922-4787,Yes,-157.8119178,21.2891574
Waikiki Health Ohua,HI,Honolulu,277 Ohua Ave,808-922-4787,Yes,-157.820305,21.27543099
Waikiki Health PATH,HI,Honolulu,845 22nd Ave Bldg 5,808-734-2034,Yes,-157.790977,21.27149698
Mobile Van,HI,Waimanalo,41-1347 Kalanianaole Hwy,808-259-7948 x97948,Yes,-157.7163103,21.34716637
WAIMANALO HEALTH CENTER,HI,Waimanalo,41-1347 Kalanianaole Hwy,808-259-7948,Yes,-157.7163103,21.34716637
Waimanalo Health Center - Hale Ola `Alua,HI,Waimanalo,41-1295 Kalanianaole Hwy,808-259-7948,Yes,-157.714594,21.34708302
"Molokai Community Health Center, Building #9, WIC department",HI,Kaunakakai,30 Oki Pl,808-553-5038,Yes,-157.0182517,21.0872309
"Molokai Community Health Center, Building #1, suite 102, Dental Department",HI,Kaunakakai,30 Oki Pl,808-553-5038,Yes,-157.0182517,21.0872309
Molokai Community Health Center,HI,Kaunakakai,30 Oki Pl,808-553-5038,Yes,-157.0182517,21.0872309
"Molokai Community Health Center, Building # 7, Behavioral Health Department",HI,Kaunakakai,30 Oki Pl,808-553-5038,Yes,-157.0182517,21.0872309
"Molokai Community Health Center, Building #4, Medical Department",HI,Kaunakakai,30 Oki Pl,808-553-5038,Yes,-157.0182517,21.0872309
"Molokai Community Health Center, buidling #8, Health Education and Nurtitional Counseling Department",HI,Kaunakakai,30 Oki Pl,808-553-5038,Yes,-157.0182517,21.0872309
"Na Pu`uwai, Inc.",HI,Kaunakakai,604 Maunaloa Hwy,808-560-3653,No,-157.0353237,21.09624879
Atka Health Clinic,AK,Atka,Kaangux Ln,907-839-2232,Yes,-174.1993499,52.19440503
ADAK CLINIC,AK,Adak,Main St,907-592-8383,Yes,-176.6572479,51.85232941
Nikolski Clinic,AK,Nikolski,225 Lakeview Road,907-576-2204,Yes,-168.8678,52.93893
"ILIULIUK FAMILY AND HEALTH SERVICES, INC.",AK,Unalaska,Lavelle Ct,907-581-1202,Yes,-166.5385699,53.87231504
ANESIA KUDRIN MEMORIAL CLINIC,AK,Akutan,113 MAIN STREET,907-698-2208,Yes,-165.77351,54.13444999
Anna Hoblet Memorial Clinic,AK,False Pass,MAIN STREET,907-547-2742,Yes,-164.0405067,54.720795
KING COVE CLINIC,AK,King Cove,Solcum Dr,907-497-2311,Yes,-162.297402,55.0477518
Paul Martin Gundersen Memorial Clinic,AK,Nelson Lagoon,General Delivery,907-989-2202,Yes,-162.72001,55.20762001
SAND POINT CLINIC,AK,Sand Point,PO BOX 172,907-277-1440,Yes,-160.49548,55.33546
ANNA LIVINGSTON MEMORIAL CLINIC,AK,Cold Bay,S Main St,907-532-2000,Yes,-161.20341,56.00013233
St George Traditional Clinic,AK,Saint George Island,934 MAIN STREET,907-859-2254,Yes,-169.5837248,56.57384
Saint Paul CHC,AK,Saint Paul Island,1000 Polivenia Turnpike,907-546-8300,Yes,-170.2890003,57.17833
Chignik Bay Clinic,AK,Chignik,"Main Street, P.O. Box 79",907-749-2282,Yes,-158.35554,56.17355441
Chignik Lake Clinic,AK,Chignik Lake,Main Street,907-845-2236,Yes,-158.8040604,56.147295
Perryville Clinic,AK,Perryville,Main Street,907-853-2203,Yes,-159.0618911,56.13746889
Akhiok Health Clinic,AK,Kodiak,125 Airport Way,907-836-2230,Yes,-154.1750703,56.94405989
PLATINUM VILLAGE CLINIC,AK,Platinum,101 MAIN STREET,907-979-8100,Yes,-161.4096584,58.905295
TOGIAK SUB-REGIONAL  CLINIC,AK,Togiak,344 MAIN ST  A,907-493-5511,Yes,-160.2774637,59.0766696
GOODNEWS BAY VILLAGE CLINIC,AK,Goodnews Bay,CLINIC ROAD,907-967-8128,Yes,-161.3211758,59.305645
Kanakanak Hospital,AK,Dillingham,6000 Kanakanak Rd,907-842-9440,Yes,-158.5364624,59.00098328
Jake's Place,AK,Dillingham,6000 Kanakanak Rd,907-842-5201,Yes,-158.5364624,59.00098328
Behavioral Health Counseling Center,AK,Dillingham,6000 Kanakanak Rd,907-842-5201,Yes,-158.5364624,59.00098328
H. Sally Smith Building (Dental Clinic),AK,Dillingham,6000 Kanakanak Rd,907-842-5201,Yes,-158.5364624,59.00098328
TWIN HILLS VILLAGE CLINIC,AK,Dillingham,Main St E,907-525-4326,Yes,-158.4664897,59.03910301
"CAMAI COMMUNITY HEALTH CTR, INC.",AK,Naknek,School Rd,907-246-6155,Yes,-157.0063777,58.73204244
Igiugig Village Health Clinic,AK,King Salmon,4030 Clinic Drive,907-533-3207,Yes,-156.5369549,58.75508
CHEFORNAK CLINIC,AK,Chefornak,General Delivery,907-675-4556,Yes,-164.27486,60.15778
MEKORYUK CLINIC,AK,Mekoryuk,General Delivery,907-675-4556,Yes,-166.1905,60.39060999
TOOKSOOK BAY SUB-REGIONAL CLINIC,AK,Toksook Bay,Airport Rd,907-427-3500,Yes,-165.1129804,60.530619
NIGHTMUTE CLINIC,AK,Nightmute,#1 CLINIC ROAD GENERAL DELIV.,907-675-4556,Yes,-164.666255,60.56940424
Tununak Clinic,AK,Tununak,#1 Clinic Road,907-675-4556,Yes,-164.9544081,60.66205
CHEVAK CLINIC,AK,Chevak,General Delivery,907-675-4556,Yes,-165.58976,61.52738
HOOPER BAY SUB-REGIONAL CLINIC,AK,Hooper Bay,Airport Rd,907-758-4519,Yes,-166.1080602,61.52500746
BFC Main Clinic Building,AK,Bethel,430 Manignuk St,907-543-3773,Yes,-161.88225,60.7708
Newtok Clinic,AK,Bethel,#1 Clinic Road,907-237-2314,Yes,-161.7607822,60.7942103
BETHEL FAMILY CLINIC,AK,Bethel,4th Ave & Main St,907-543-3773,Yes,-161.7624499,60.79608003
BETHEL FAMILY CLINIC DENTAL,AK,Bethel,660 3rd Ave,907-545-3996,Yes,-161.7603108,60.79526255
SCAMMON BAY CLINIC,AK,Scammon Bay,#1 CLINIC ROAD GENERAL DELIV.,907-675-4556,Yes,-165.5203936,61.74476
PILOT STATION CLINIC,AK,Pilot Station,#1 Clinic Road,907-675-4556,Yes,-163.1277275,61.94881399
MOUNTAIN VILLAGE CLINIC,AK,Mountain Village,#1 CLINIC ROAD,907-675-4556,Yes,-163.7150296,62.09438
Napaimute Clinic,AK,Mountain Village,#1 CLINIC ROAD,907-543-2887,Yes,-163.7150296,62.09438
PITKA'S POINT CLINIC,AK,Pitkas Point,#1 PITKA POINT CLINIC,907-675-4556,Yes,-163.28642,62.03278
ST MARY'S SUB-REGIONAL CLINIC,AK,Saint Marys,290 High School Lane,907-438-3500,Yes,-163.281067,62.06534622
MARSHAL CLINIC,AK,Marshall,#1 CLINIC ROAD GENERAL DELIV.,907-675-4556,Yes,-162.0428374,61.966685
SHELDON POINT NUNAM IQUA CLINIC,AK,Nunam Iqua,#1 CLINIC ROAD GENERAL DELIV.,907-675-4556,Yes,-164.8884219,62.50717
Russian Mission clinic,AK,Russian Mission,#1 Clinic Road,907-584-5611,Yes,-161.0019866,61.76658725
LOWER KALSKAG CLINIC,AK,Lower Kalskag,#1 CLINIC ROAD GENERAL DELV.,907-675-4556,Yes,-160.3613513,61.51634
UPPER KALSKAG CLINIC,AK,Kalskag,#1 CLINIC ROAD GENERAL DELIV.,907-675-4556,Yes,-160.3334971,61.541885
ALAKANUK CLINIC,AK,Alakanuk,General Delivery,907-238-3210,Yes,-164.64689,62.68307999
EMMONAK SUB-REGIONAL CLINIC,AK,Emmonak,246 Kwiguk St,907-675-4556,Yes,-164.53565,62.77672002
SAVOONGA CLINIC,AK,Savoonga,# 1 CLINIC RD,907-984-6513,Yes,-169.8600672,63.330745
BESSIE KANINGOK HEALTH CLINIC,AK,Gambell,123 Maz way,907-985-5012,Yes,-171.6847988,63.74996
KOTLIK CLINIC,AK,Kotlik,#1 CLINIC ROAD GENERAL DELIV.,907-675-4556,Yes,-163.555,63.0326
LITTLE DIOMEDE CLINIC,AK,Nome,#1 CLINIC RD,907-686-3311,Yes,-165.410415,64.49805
Norton Sound Health Corporation Family Medical Clinic,AK,Nome,Greg Kruschek Ave,907-443-3311,Yes,-165.3768898,64.49863006
Larsen Bay Health Clinic,AK,Larsen Bay,3rd St,907-847-2208,Yes,-153.9796056,57.53733203
Old Harbor Health Clinic,AK,Old Harbor,Birch St,907-286-2205,Yes,-153.2873658,57.21713072
Karluk Health Clinic,AK,Karluk,26 Alex Brown St,907-241-2212,Yes,-154.4374418,57.56381034
Port Lions Health Clinic,AK,Port Lions,Malina St,907-454-2275,Yes,-152.8917311,57.86656379
Carolyn Street Facility,AK,Kodiak,323 Carolyn St,907-486-7380,Yes,-152.4041421,57.79081222
KODIAK COMMUNITY HEALTH CENTER,AK,Kodiak,1911 E Rezanof Dr,907-481-5000,Yes,-152.3749188,57.8003974
Temporary Site -  Kodiak Community Health Center,AK,Kodiak,1944 E Rezanof Dr,907-481-5002,Yes,-152.369577,57.80056402
KCHC Temporary testing location,AK,Kodiak,200 Benny Benson Dr,907-481-5002,Yes,-152.3664877,57.80610824
Mill Bay Clinic,AK,Kodiak,2414 Mill Bay Rd,907-486-9800,Yes,-152.368074,57.80720898
Kodiak Area Native Association,AK,Kodiak,3449 E Rezanof Dr,907-486-9870,Yes,-152.355082,57.81176899
KCHC Administration,AK,Kodiak,3248 Mill Bay Rd,907-481-5000,Yes,-152.356902,57.81358388
Ouzinkie Health Clinic,AK,Ouzinkie,3rd St & C St,907-680-2265,Yes,-152.5053199,57.92219004
Kokhanok Clinic,AK,Iliamna,Main Rd,907-282-2203,Yes,-155.8914205,59.32734951
Pedro Bay Clinic,AK,Pedro Bay,2516 Mountain Circle,907-850-2229,Yes,-154.1123,59.7849
SVT Health & Wellness,AK,Seldovia,206 Main St,907-435-3262,Yes,-151.7121678,59.43687509
Nondalton Clinic,AK,Nondalton,1 Nondalton Street,907-294-2238,Yes,-155.1747078,59.90019757
SVT Health & Wellness,AK,Homer,880 E End Rd,907-226-2228 x106,Yes,-151.5216147,59.6500574
SVT Health and Wellness - Anchor Point,AK,Anchor Point,72351 Milo Fritz Ave,907-226-2238,Yes,-151.8342298,59.77956254
Manokotak Village Clinic,AK,Manokotak,Main Rd,907-289-1077,Yes,-157.2915668,59.72802878
Port Alsworth Health Center,AK,Port Alsworth,1 Flight Line Rd,907-574-0442,Yes,-154.31269,60.19987999
NILAVENA SUBREGIONAL CLINIC,AK,Iliamna,101 AIRPORT RD,907-729-5400,Yes,-155.0198691,60.18880746
Red Devil Clinic,AK,Red Devil,#1 Clinic Road,907-447-3223,Yes,-157.8028302,61.35266462
CHUATHBALUK CLINIC,AK,Chuathbaluk,General Delivery,907-675-4556,Yes,-159.2494518,61.57621785
ANIAK SUB-REGIONAL CLINIC,AK,Aniak,Morgan Rd,907-675-4556,Yes,-159.5354006,61.57186714
SLEETMUTE CLINIC,AK,Sleetmute,#1 CLINC ROAD GENERAL DELIV.,907-675-4556,Yes,-157.1369269,61.71982229
CROOKED CREEK CLINIC,AK,Crooked Creek,General Delivery,907-675-4556,Yes,-158.12319,61.87197999
STONY RIVER CLINIC,AK,Aniak,#1 CLINIC ROAD GENERAL DELV.,907-675-4556,Yes,-155.1729254,61.601115
HOLY CROSS CLINIC,AK,Holy Cross,General Delivery,907-675-4556,Yes,-159.77202,62.19720998
SHAGELUK CLINIC,AK,Shageluk,General Delivery,907-675-4556,Yes,-159.53283,62.65524001
ANVIK CLINIC,AK,Anvik,General Delivery,907-675-4556,Yes,-160.20328,62.65512999
GRAYLING CLINIC,AK,Grayling,# 1 CLINIC ROAD GENERAL DELIV.,907-675-4556,Yes,-160.0648511,62.9023365
Temporary Site - Takotna Clinic,AK,Takotna,#1 Riverbank Dr,605-359-0293,Yes,-156.0800836,62.9720117
TAKOTNA CLINIC,AK,Takotna,1 MAIN STREET,907-298-2214,Yes,-156.0800836,62.9720117
LIME VILLIAGE CLINIC,AK,Mc Grath,#1 CLINIC ROAD GENERAL DELIVE.,907-675-4556,Yes,-155.5816154,62.9466308
new McGrath Sub-Regional Health Center,AK,Mc Grath,10 DNR Rd,907-524-3299,Yes,-155.5816154,62.9466308
STEBBINS CLINIC,AK,Stebbins,101 Main Street,907-934-3311,Yes,-162.2130124,63.470905
ST. MICHAEL CLINIC,AK,Saint Michael,101 MAIN STREET,907-923-3311,Yes,-162.0960493,63.476845
ANIKKAN INUIT ILLUAGUTAAT CLINIC,AK,Unalakleet,PO BOX 189,907-624-3535,Yes,-160.78564,63.87069999
IRENE AUKONGAK DAGUMAAQ HC,AK,Nome,Punguk St,907-779-3311,Yes,-163.0335356,64.54316756
SHAKTOOLIK CLINIC,AK,Shaktoolik,MAIN BUSINESS CENTER ST,907-955-3311,Yes,-161.1859305,64.349965
NATCHIRSVIK HEALTH CLINIC,AK,White Mountain,2 SCOW JOHN RD,907-638-3311,Yes,-163.40363,64.67969
ELIM CLINIC,AK,Elim,#1 Clinic Rd,907-890-3311,Yes,-162.3016304,64.83016
KOYUK CLINIC,AK,Koyuk,101 MAIN ST,907-963-3311,Yes,-161.166365,64.92972
Kaltag Health Clinic,AK,Kaltag,2nd Ave,907-452-8251 x3526,Yes,-158.7238274,64.32649118
TELLER CLINIC,AK,Teller,General Delivery,907-642-3377,Yes,-166.36261,65.26378999
Nulato Health Clinic,AK,Nulato,Nikaghun St,907-452-8251 x3531,Yes,-158.1132304,64.73377839
BREVIG MISSION CLINIC,AK,Brevig Mission,PO BOX 85058,907-642-4311,Yes,-166.48623,65.33209001
Pauline Aliitchaq Barr Health Clinic,AK,Deering,HOUSE STE 40,907-363-2137,No,-163.5152914,65.822285
Koyukuk Health Clinic,AK,Koyukuk,Spruce St,907-452-8251 x3537,Yes,-157.7039933,64.88290156
Tigautchiaq Amainiq Health Clinic,AK,Buckland,Airport Rd,907-494-2122,No,-161.136207,65.98029506
Edgar Nollner Health Center,AK,Galena,77 Antoski Rd,907-452-8251 x5302,Yes,-156.876638,64.74250633
TOBY ANUNGAZUK SR. MEMORIAL HC,AK,Wales,WALES CLINIC #1 CLINIC RD,907-664-3311,Yes,-167.9465541,65.62639
KATHERINE MIKSRUAQ OLANNA MEMORIAL HC,AK,Shishmaref,3066 Lagoonview,907-649-2127,Yes,-166.07265,66.25617
Maniilaq Health Center,AK,Kotzebue,5th Ave & Ted Stevens Way,907-442-3321,No,-162.5866499,66.89705005
KIVALINA CLINIC,AK,Kivalina,101 MAIN STREET,907-645-2141,No,-163.7249666,67.64607
POINT HOPE CLINIC,AK,Point Hope,101 Main Street,907-368-2234,No,-166.7297308,68.349219
Esther Barger Memorial Health Clinic,AK,Noatak,101 Main Street,907-485-2165,No,-162.3533463,67.502215
Sally Harvey Memorial Clinic,AK,Noorvik,Tundra Dr,907-636-2103,No,-161.0448599,66.83056504
SELAWIK CLINIC,AK,Selawik,N Tundra St,907-484-2193,No,-160.0139656,66.59417503
Peninsula Community Health Services of Alaska,AK,Soldotna,230 E Marydale Ave Ste 1,907-262-3119,Yes,-151.06434,60.49503748
Chignik Lagoon Clinic,AK,Kenai,Main St,907-749-2282,Yes,-151.2597524,60.5529854
Peninsula Community Health Services of Alaska - Dental,AK,Kenai,395 Main Street Loop,907-283-7759,Yes,-151.2566076,60.55773487
Indian Creek Health Center,AK,Tyonek,73 C St,907-583-2461,Yes,-151.142606,61.06817063
Seward Community Health Center,AK,Seward,417 First Ave,907-224-4064,Yes,-149.4455349,60.10544783
"Anchorage Neighborhood Health Center, Inc.",AK,Anchorage,4951 Business Park Blvd,907-743-7200,Yes,-149.888585,61.17669969
SCF Detox,AK,Anchorage,4330 Elmore Rd,907-729-6690,Yes,-149.809384,61.18125199
Girdwood Health Clinic,AK,Girdwood,131 Lindblad Ave,907-783-1355,Yes,-149.1339345,60.96389822
Whittier Community Health Center,AK,Whittier,Whittier St,907-472-2303,Yes,-148.6881729,60.7747956
Big Lake Clinic,AK,Wasilla,3261 S Big Lake Rd,907-376-2411,Yes,-149.8179998,61.5455137
Burchell High School,AK,Wasilla,1775 W Parks Hwy,907-376-2411,Yes,-149.494534,61.58013201
Willow Community Health Center,AK,Willow,24091 W Long Lake Rd,907-495-4100,Yes,-150.0598984,61.73662478
"Mat-Su Health Services, Inc.",AK,Wasilla,1363 W Spruce Ave,907-376-2411,Yes,-149.485664,61.60136999
C’eyiits’ Hwnax Life House Community Health Center,AK,Sutton,11495 N Callison St,907-631-7665,Yes,-148.9066432,61.71332611
SuValley Jr./Sr. High Shool,AK,Talkeetna,42728 S Parks Hwy,907-733-9300,Yes,-150.043831,62.131246
SUNSHINE COMMUNITY HEALTH CENTER,AK,Talkeetna,34300 S Talkeetna Spur,907-733-2273,Yes,-150.0518877,62.19160048
Talkeetna Elementary School,AK,Talkeetna,13930 E Timber Wolf Loop,907-733-9400,Yes,-150.1076262,62.31793361
Ilanka Community Health Center,AK,Cordova,705 2nd St,907-424-3622,Yes,-145.7571776,60.54281363
Cross Road Medical Center,AK,Glennallen,Glenn Hwy,907-822-3203,Yes,-146.2506516,62.09537773
Nikolai Clinic,AK,Nikolai,Salmonberry Lake Rd,907-293-2328,Yes,-154.3836796,63.01740855
