"id","GEOID","NAME","total_population","male","female","male_50above","female_50above"
"36","01071","Jackson County, Alabama",52094,25536,26558,9873,11369
"37","01073","Jefferson County, Alabama",659892,312348,347544,101367,128140
"38","01075","Lamar County, Alabama",13933,6800,7133,2775,3178
"39","01077","Lauderdale County, Alabama",92585,44315,48270,16513,20027
"40","01079","Lawrence County, Alabama",33171,16003,17168,6143,7023
"41","01081","Lee County, Alabama",159287,78372,80915,20247,23196
"42","01083","Limestone County, Alabama",93052,46427,46625,15586,17175
"43","01085","Lowndes County, Alabama",10236,4830,5406,1849,2205
"44","01087","Macon County, Alabama",19054,8790,10264,3220,4122
"45","01089","Madison County, Alabama",357560,174665,182895,59514,67586
"46","01091","Marengo County, Alabama",19538,9446,10092,3510,4253
"47","01093","Marion County, Alabama",29965,14898,15067,5991,6561
"48","01095","Marshall County, Alabama",95145,46977,48168,15890,18344
"49","01097","Mobile County, Alabama",414659,197928,216731,66162,79711
"50","01099","Monroe County, Alabama",21512,10230,11282,3979,4696
"51","01101","Montgomery County, Alabama",226941,107354,119587,32895,42063
"52","01103","Morgan County, Alabama",119122,58660,60462,20767,23896
"53","01105","Perry County, Alabama",9486,4436,5050,1515,2033
"54","01107","Pickens County, Alabama",20298,9708,10590,3683,4426
"55","01109","Pike County, Alabama",33403,16027,17376,4689,5580
"56","01111","Randolph County, Alabama",22574,10989,11585,4302,5020
"57","01113","Russell County, Alabama",58213,28124,30089,8637,10340
"58","01115","St. Clair County, Alabama",87306,43755,43551,15035,16609
"59","01117","Shelby County, Alabama",211261,102478,108783,33561,38471
"60","01119","Sumter County, Alabama",12985,6014,6971,2065,2740
"61","01121","Talladega County, Alabama",80565,39156,41409,14292,16446
"62","01123","Tallapoosa County, Alabama",40636,19517,21119,8124,9233
"63","01125","Tuscaloosa County, Alabama",206213,99539,106674,27901,33272
"64","01127","Walker County, Alabama",64493,31506,32987,11817,13776
"65","01129","Washington County, Alabama",16643,8420,8223,3371,3596
"66","01131","Wilcox County, Alabama",10809,5134,5675,1855,2281
"67","01133","Winston County, Alabama",23875,11840,12035,4921,5421
"68","02013","Aleutians East Borough, Alaska",3425,1989,1436,696,560
"69","02016","Aleutians West Census Area, Alaska",5750,3432,2318,1058,715
"70","02020","Anchorage Municipality, Alaska",296112,151144,144968,41202,43137
"71","02050","Bethel Census Area, Alaska",18040,9381,8659,2172,1887
"72","02060","Bristol Bay Borough, Alaska",890,526,364,219,135
"73","02068","Denali Borough, Alaska",2232,1117,1115,435,413
"74","02070","Dillingham Census Area, Alaska",4975,2573,2402,749,614
"75","02090","Fairbanks North Star Borough, Alaska",99653,53846,45807,13230,12605
"76","02100","Haines Borough, Alaska",2518,1335,1183,594,499
"77","02105","Hoonah-Angoon Census Area, Alaska",2132,1095,1037,543,530
"78","02110","Juneau City and Borough, Alaska",32330,16517,15813,5574,5503
"79","02122","Kenai Peninsula Borough, Alaska",58220,30314,27906,11681,10909
"80","02130","Ketchikan Gateway Borough, Alaska",13804,7060,6744,2613,2500
"81","02150","Kodiak Island Borough, Alaska",13649,7281,6368,2131,1758
"82","02158","Kusilvak Census Area, Alaska",8198,4388,3810,872,723
"83","02164","Lake and Peninsula Borough, Alaska",1375,710,665,239,181
"84","02170","Matanuska-Susitna Borough, Alaska",103464,53912,49552,16283,15379
"85","02180","Nome Census Area, Alaska",9925,5240,4685,1294,1073
"86","02185","North Slope Borough, Alaska",9797,6116,3681,1951,969
"87","02188","Northwest Arctic Borough, Alaska",7734,4156,3578,934,822
"88","02195","Petersburg Borough, Alaska",3255,1649,1606,649,648
"89","02198","Prince of Wales-Hyder Census Area, Alaska",6474,3514,2960,1433,1120
"90","02220","Sitka City and Borough, Alaska",8738,4471,4267,1535,1594
"91","02230","Skagway Municipality, Alaska",1061,555,506,195,172
"92","02240","Southeast Fairbanks Census Area, Alaska",6876,3779,3097,1312,975
"93","02261","Valdez-Cordova Census Area, Alaska",9301,4898,4403,1796,1519
"94","02275","Wrangell City and Borough, Alaska",2484,1302,1182,681,533
"95","02282","Yakutat City and Borough, Alaska",689,369,320,150,84
"96","02290","Yukon-Koyukuk Census Area, Alaska",5415,2910,2505,1038,839
"97","04001","Apache County, Arizona",71522,35240,36282,11276,12583
"98","04003","Cochise County, Arizona",126279,64135,62144,24384,26635
"99","04005","Coconino County, Arizona",140217,68918,71299,19450,21103
"100","04007","Gila County, Arizona",53400,26370,27030,12748,13809
"101","04009","Graham County, Arizona",37879,20330,17549,5339,5529
"102","04011","Greenlee County, Arizona",9504,5064,4440,1414,1413
"103","04012","La Paz County, Arizona",20701,10677,10024,5914,5677
"104","04013","Maricopa County, Arizona",4253913,2104145,2149768,638819,725126
"105","04015","Mohave County, Arizona",206064,104047,102017,51823,53672
"106","04017","Navajo County, Arizona",108705,54533,54172,18499,20381
"107","04019","Pima County, Arizona",1019722,501879,517843,175806,202463
"108","04021","Pinal County, Arizona",419721,219048,200673,74655,79022
"109","04023","Santa Cruz County, Arizona",46584,22285,24299,7589,8851
"110","04025","Yavapai County, Arizona",224645,109795,114850,56467,63803
"111","04027","Yuma County, Arizona",207829,106973,100856,33005,35558
"112","05001","Arkansas County, Arkansas",18124,8733,9391,3319,3856
"113","05003","Ashley County, Arkansas",20537,10013,10524,3855,4348
"114","05005","Baxter County, Arkansas",41219,19992,21227,10093,11610
"115","05007","Benton County, Arkansas",258980,128399,130581,36297,40710
"116","05009","Boone County, Arkansas",37288,18350,18938,7098,8051
"117","05011","Bradley County, Arkansas",10948,5214,5734,1910,2298
"118","05013","Calhoun County, Arkansas",5202,2607,2595,1143,1171
"119","05015","Carroll County, Arkansas",27887,13897,13990,6049,6235
"120","05017","Chicot County, Arkansas",10826,5266,5560,2004,2439
"121","05019","Clark County, Arkansas",22385,10628,11757,3382,4094
"122","05021","Clay County, Arkansas",15061,7414,7647,2918,3319
"123","05023","Cleburne County, Arkansas",25230,12472,12758,5842,6470
"124","05025","Cleveland County, Arkansas",8226,4138,4088,1622,1775
"125","05027","Columbia County, Arkansas",23892,11444,12448,3805,4518
"126","05029","Conway County, Arkansas",20906,10182,10724,3989,4429
"127","05031","Craighead County, Arkansas",105701,51528,54173,14247,17486
"128","05033","Crawford County, Arkansas",62472,30761,31711,10608,11843
"129","05035","Crittenden County, Arkansas",49013,23271,25742,7157,8663
"130","05037","Cross County, Arkansas",16998,8200,8798,2949,3511
"131","05039","Dallas County, Arkansas",7432,3618,3814,1470,1745
"132","05041","Desha County, Arkansas",11887,5623,6264,2114,2531
"133","05043","Drew County, Arkansas",18502,9033,9469,2919,3563
"134","05045","Faulkner County, Arkansas",122416,59911,62505,15978,18721
"135","05047","Franklin County, Arkansas",17780,8675,9105,3243,3746
"136","05049","Fulton County, Arkansas",12139,6048,6091,2774,3000
"137","05051","Garland County, Arkansas",98296,47182,51114,19992,23119
"138","05053","Grant County, Arkansas",18086,8870,9216,3322,3572
"139","05055","Greene County, Arkansas",44623,21912,22711,7122,8151
"140","05057","Hempstead County, Arkansas",22018,10494,11524,3833,4468
"141","05059","Hot Spring County, Arkansas",33520,17418,16102,6378,6877
"142","05061","Howard County, Arkansas",13389,6440,6949,2434,2595
"143","05063","Independence County, Arkansas",37264,18092,19172,6253,7487
"144","05065","Izard County, Arkansas",13559,7018,6541,3146,3284
"145","05067","Jackson County, Arkansas",17225,8512,8713,3021,3517
"146","05069","Jefferson County, Arkansas",70424,34906,35518,11941,14035
"147","05071","Johnson County, Arkansas",26291,12976,13315,4463,4945
"148","05073","Lafayette County, Arkansas",6915,3381,3534,1492,1706
"149","05075","Lawrence County, Arkansas",16669,8270,8399,3093,3476
"150","05077","Lee County, Arkansas",9398,5309,4089,1713,1849
"151","05079","Lincoln County, Arkansas",13695,8590,5105,2524,2128
"152","05081","Little River County, Arkansas",12417,6090,6327,2338,2756
"153","05083","Logan County, Arkansas",21757,10643,11114,4151,4621
"154","05085","Lonoke County, Arkansas",72206,35667,36539,10485,11979
"155","05087","Madison County, Arkansas",16076,8038,8038,3087,3326
"156","05089","Marion County, Arkansas",16438,7990,8448,4145,4496
"157","05091","Miller County, Arkansas",43759,21476,22283,7124,8442
"158","05093","Mississippi County, Arkansas",42831,20876,21955,6631,7707
"159","05095","Monroe County, Arkansas",7249,3316,3933,1502,1812
"160","05097","Montgomery County, Arkansas",8993,4440,4553,2168,2329
"161","05099","Nevada County, Arkansas",8440,4425,4015,1592,1860
"162","05101","Newton County, Arkansas",7848,3932,3916,1893,1925
"163","05103","Ouachita County, Arkansas",24106,11327,12779,4494,5539
"164","05105","Perry County, Arkansas",10322,5184,5138,1998,2233
"165","05107","Phillips County, Arkansas",19034,9006,10028,3209,4035
"166","05109","Pike County, Arkansas",10808,5346,5462,2128,2351
"167","05111","Poinsett County, Arkansas",24054,11734,12320,4150,4818
"168","05113","Polk County, Arkansas",20163,9828,10335,4046,4520
"169","05115","Pope County, Arkansas",63644,31317,32327,10215,11152
"170","05117","Prairie County, Arkansas",8244,4120,4124,1773,1910
"171","05119","Pulaski County, Arkansas",393463,188496,204967,59690,73326
"172","05121","Randolph County, Arkansas",17603,8784,8819,3252,3702
"173","05123","St. Francis County, Arkansas",26294,14441,11853,4525,4597
"174","05125","Saline County, Arkansas",118009,58030,59979,20286,22467
"175","05127","Scott County, Arkansas",10442,5332,5110,2044,2108
"176","05129","Searcy County, Arkansas",7923,3981,3942,1855,1870
"177","05131","Sebastian County, Arkansas",127461,62274,65187,20523,23647
"178","05133","Sevier County, Arkansas",17193,8607,8586,2552,2697
"179","05135","Sharp County, Arkansas",17043,8335,8708,3765,4254
"180","05137","Stone County, Arkansas",12446,6209,6237,2906,3286
"181","05139","Union County, Arkansas",39732,19332,20400,7074,8063
"182","05141","Van Buren County, Arkansas",16684,8284,8400,3801,4174
"183","05143","Washington County, Arkansas",228529,114181,114348,28445,32247
"184","05145","White County, Arkansas",78804,38751,40053,12805,14361
"185","05147","Woodruff County, Arkansas",6660,3051,3609,1338,1625
"186","05149","Yell County, Arkansas",21573,10782,10791,3885,4247
"187","06001","Alameda County, California",1643700,807171,836529,245499,280934
"188","06003","Alpine County, California",1146,612,534,278,257
"189","06005","Amador County, California",37829,20302,17527,9527,9571
"190","06007","Butte County, California",227075,112513,114562,38835,44404
"191","06009","Calaveras County, California",45235,22434,22801,11490,12249
"192","06011","Colusa County, California",21464,11124,10340,3480,3450
"193","06013","Contra Costa County, California",1133247,553701,579546,186318,214608
"194","06015","Del Norte County, California",27424,14575,12849,5029,5373
"195","06017","El Dorado County, California",186661,93040,93621,40254,42703
"196","06019","Fresno County, California",978130,487936,490194,128189,143435
"197","06021","Glenn County, California",27897,14171,13726,4713,4835
"198","06023","Humboldt County, California",135768,67666,68102,23496,25926
"199","06025","Imperial County, California",180216,92250,87966,23839,27095
"200","06027","Inyo County, California",18085,9084,9001,4045,4216
"201","06029","Kern County, California",883053,452646,430407,113708,120678
"202","06031","Kings County, California",150075,82674,67401,19273,18003
"203","06033","Lake County, California",64148,31879,32269,14040,14966
"204","06035","Lassen County, California",31185,20671,10514,5306,4524
"205","06037","Los Angeles County, California",10098052,4976788,5121264,1461039,1693291
"206","06039","Madera County, California",155013,74683,80330,22282,24577
"207","06041","Marin County, California",260295,127113,133182,53275,61998
"208","06043","Mariposa County, California",17540,8920,8620,4659,4517
"209","06045","Mendocino County, California",87422,43439,43983,17467,19180
"210","06047","Merced County, California",269075,135816,133259,34087,36953
"211","06049","Modoc County, California",8938,4613,4325,2197,2110
"212","06051","Mono County, California",14174,7341,6833,2722,2708
"213","06053","Monterey County, California",433212,220967,212245,61969,67061
"214","06055","Napa County, California",140530,70082,70448,25762,28028
"215","06057","Nevada County, California",99092,48889,50203,23373,26328
"216","06059","Orange County, California",3164182,1562429,1601753,495845,559254
"217","06061","Placer County, California",380077,185511,194566,69030,79795
"218","06063","Plumas County, California",18699,9423,9276,4928,5052
"219","06065","Riverside County, California",2383286,1186188,1197098,356157,389218
"220","06067","Sacramento County, California",1510023,737742,772281,221699,262191
"221","06069","San Benito County, California",59416,29626,29790,9007,9583
"222","06071","San Bernardino County, California",2135413,1062472,1072941,284589,319829
"223","06073","San Diego County, California",3302833,1661931,1640902,487108,548805
"224","06075","San Francisco County, California",870044,443970,426074,142046,147044
"225","06077","San Joaquin County, California",732212,364612,367600,102053,114444
"226","06079","San Luis Obispo County, California",281455,142769,138686,52046,57544
"227","06081","San Mateo County, California",765935,377851,388084,125736,145420
"228","06083","Santa Barbara County, California",443738,222208,221530,66042,74376
"229","06085","Santa Clara County, California",1922200,970469,951731,287130,313887
"230","06087","Santa Cruz County, California",273765,135727,138038,45972,50630
"231","06089","Shasta County, California",179085,87859,91226,34702,39251
"232","06091","Sierra County, California",2930,1542,1388,805,854
"233","06093","Siskiyou County, California",43540,21706,21834,9980,10794
"234","06095","Solano County, California",438530,217931,220599,71924,81937
"235","06097","Sonoma County, California",501317,245196,256121,91790,107306
"236","06099","Stanislaus County, California",539301,266844,272457,75574,86131
"237","06101","Sutter County, California",95872,47789,48083,14936,16794
"238","06103","Tehama County, California",63373,31504,31869,12012,13188
"239","06105","Trinity County, California",12862,6582,6280,3428,3290
"240","06107","Tulare County, California",460477,230255,230222,57400,63425
"241","06109","Tuolumne County, California",53932,28102,25830,12584,13381
"242","06111","Ventura County, California",848112,419588,428524,137687,154476
"243","06113","Yolo County, California",214977,104375,110602,27803,31890
"244","06115","Yuba County, California",75493,38468,37025,10692,11314
"245","08001","Adams County, Colorado",497115,250704,246411,63530,68899
"246","08003","Alamosa County, Colorado",16444,8242,8202,2270,2512
"247","08005","Arapahoe County, Colorado",636671,314672,321999,92293,106048
"248","08007","Archuleta County, Colorado",12908,6546,6362,3174,3363
"249","08009","Baca County, Colorado",3563,1755,1808,798,897
"250","08011","Bent County, Colorado",5809,3790,2019,1286,906
"251","08013","Boulder County, Colorado",321030,161355,159675,49301,54508
"252","08014","Broomfield County, Colorado",66120,32789,33331,9712,11036
"253","08015","Chaffee County, Colorado",19164,10268,8896,4680,4717
"254","08017","Cheyenne County, Colorado",2039,964,1075,338,372
"255","08019","Clear Creek County, Colorado",9379,4816,4563,2253,2196
"256","08021","Conejos County, Colorado",8142,4082,4060,1571,1574
"257","08023","Costilla County, Colorado",3687,1941,1746,995,917
"258","08025","Crowley County, Colorado",5630,3526,2104,980,779
"259","08027","Custer County, Colorado",4640,2265,2375,1390,1460
"260","08029","Delta County, Colorado",30346,15235,15111,6910,7495
"261","08031","Denver County, Colorado",693417,347188,346229,88204,98689
"262","08033","Dolores County, Colorado",1841,989,852,469,471
"263","08035","Douglas County, Colorado",328614,163766,164848,48971,52177
"264","08037","Eagle County, Colorado",54357,28804,25553,8357,7748
"265","08039","Elbert County, Colorado",25162,12721,12441,5504,5455
"266","08041","El Paso County, Colorado",688153,347478,340675,96797,110227
"267","08043","Fremont County, Colorado",47002,27324,19678,10496,9807
"268","08045","Garfield County, Colorado",58538,29779,28759,9277,9329
"269","08047","Gilpin County, Colorado",5924,3169,2755,1276,1315
"270","08049","Grand County, Colorado",15066,8129,6937,3340,3006
"271","08051","Gunnison County, Colorado",16537,8983,7554,2646,2370
"272","08053","Hinsdale County, Colorado",878,406,472,247,290
"273","08055","Huerfano County, Colorado",6583,3305,3278,1788,1890
"274","08057","Jackson County, Colorado",1296,631,665,324,342
"275","08059","Jefferson County, Colorado",570427,283919,286508,100439,113265
"276","08061","Kiowa County, Colorado",1449,750,699,271,328
"277","08063","Kit Carson County, Colorado",7635,4158,3477,1507,1503
"278","08065","Lake County, Colorado",7585,4176,3409,1521,955
"279","08067","La Plata County, Colorado",55101,27790,27311,10193,10753
"280","08069","Larimer County, Colorado",338161,168615,169546,52910,59563
"281","08071","Las Animas County, Colorado",14179,7452,6727,3186,3265
"282","08073","Lincoln County, Colorado",5548,3471,2077,1068,980
"283","08075","Logan County, Colorado",21689,11708,9981,3907,4079
"284","08077","Mesa County, Colorado",149998,74027,75971,26620,30401
"285","08079","Mineral County, Colorado",823,402,421,243,296
"286","08081","Moffat County, Colorado",13060,6698,6362,2209,2389
"287","08083","Montezuma County, Colorado",25909,12760,13149,5367,5903
"288","08085","Montrose County, Colorado",41268,20374,20894,8645,9610
"289","08087","Morgan County, Colorado",28257,14112,14145,4593,5068
"290","08089","Otero County, Colorado",18325,8872,9453,3420,3852
"291","08091","Ouray County, Colorado",4722,2312,2410,1277,1392
"292","08093","Park County, Colorado",17392,9172,8220,4628,4234
"293","08095","Phillips County, Colorado",4318,2295,2023,821,833
"294","08097","Pitkin County, Colorado",17909,9408,8501,3830,3485
"295","08099","Prowers County, Colorado",12052,6035,6017,2112,2423
"296","08101","Pueblo County, Colorado",164685,80962,83723,28847,33068
"297","08103","Rio Blanco County, Colorado",6465,3291,3174,1157,1095
"298","08105","Rio Grande County, Colorado",11351,5696,5655,2356,2298
"299","08107","Routt County, Colorado",24874,12915,11959,4512,4572
"300","08109","Saguache County, Colorado",6468,3182,3286,1556,1541
"301","08111","San Juan County, Colorado",544,283,261,140,161
"302","08113","San Miguel County, Colorado",7968,4215,3753,1545,1272
"303","08115","Sedgwick County, Colorado",2350,1162,1188,544,604
"304","08117","Summit County, Colorado",30429,16684,13745,5642,4631
"305","08119","Teller County, Colorado",24113,12157,11956,6111,5897
"306","08121","Washington County, Colorado",4840,2510,2330,957,1022
"307","08123","Weld County, Colorado",295123,148627,146496,41847,44446
"308","08125","Yuma County, Colorado",10069,5019,5050,1681,1950
"309","09001","Fairfield County, Connecticut",944348,459963,484385,159397,185837
"310","09003","Hartford County, Connecticut",894730,434650,460080,152983,182852
"311","09005","Litchfield County, Connecticut",183031,90447,92584,39718,43678
"312","09007","Middlesex County, Connecticut",163368,79676,83692,32947,37682
"313","09009","New Haven County, Connecticut",859339,414311,445028,147132,175786
"314","09011","New London County, Connecticut",268881,134703,134178,49992,55783
"315","09013","Tolland County, Connecticut",151269,75821,75448,26184,28175
"316","09015","Windham County, Connecticut",116538,57560,58978,21049,23454
"317","10001","Kent County, Delaware",174822,84271,90551,28219,33517
"318","10003","New Castle County, Delaware",555133,268870,286263,89049,105473
"319","10005","Sussex County, Delaware",219540,106429,113111,49844,57273
"320","11001","District of Columbia, District of Columbia",684498,324881,359617,85560,104255
"321","12001","Alachua County, Florida",263148,127298,135850,35371,42443
"322","12003","Baker County, Florida",27785,14753,13032,4729,4891
"323","12005","Bay County, Florida",182482,90768,91714,32198,35942
"324","12007","Bradford County, Florida",26979,14841,12138,4900,5300
"325","12009","Brevard County, Florida",576808,282023,294785,125745,142909
"326","12011","Broward County, Florida",1909151,929712,979439,324503,372010
"327","12013","Calhoun County, Florida",14444,8048,6396,2801,2687
"328","12015","Charlotte County, Florida",176954,86278,90676,51926,58165
"329","12017","Citrus County, Florida",143087,69376,73711,39259,44279
"330","12019","Clay County, Florida",207291,102225,105066,35023,38813
"331","12021","Collier County, Florida",363922,179336,184586,86438,96626
"332","12023","Columbia County, Florida",69105,35683,33422,12807,13906
"333","12027","DeSoto County, Florida",36399,20657,15742,7361,6944
"334","12029","Dixie County, Florida",16437,9218,7219,4050,3649
"335","12031","Duval County, Florida",924229,448163,476066,137207,165111
"336","12033","Escambia County, Florida",311522,154520,157002,51404,60654
"337","12035","Flagler County, Florida",107139,51187,55952,25613,29551
"338","12037","Franklin County, Florida",11736,6714,5022,2640,2476
"339","12039","Gadsden County, Florida",46017,21785,24232,8141,9479
"340","12041","Gilchrist County, Florida",17615,9249,8366,3391,3806
"341","12043","Glades County, Florida",13363,7303,6060,3315,2953
"342","12045","Gulf County, Florida",16055,9586,6469,3475,3216
"343","12047","Hamilton County, Florida",14269,8281,5988,2819,2618
"344","12049","Hardee County, Florida",27228,14705,12523,4400,4339
"345","12051","Hendry County, Florida",40127,21437,18690,6270,6052
"346","12053","Hernando County, Florida",182696,87747,94949,41129,47622
"347","12055","Highlands County, Florida",102101,49727,52374,25530,29105
"348","12057","Hillsborough County, Florida",1378883,673286,705597,207318,239535
"349","12059","Holmes County, Florida",19430,10484,8946,3724,4143
"350","12061","Indian River County, Florida",150984,72290,78694,36975,43359
"351","12063","Jackson County, Florida",48472,26784,21688,9334,9543
"352","12065","Jefferson County, Florida",14105,7507,6598,3123,3353
"353","12067","Lafayette County, Florida",8744,5066,3678,1538,1316
"354","12069","Lake County, Florida",335362,162402,172960,72226,82769
"355","12071","Lee County, Florida",718679,351918,366761,162920,181033
"356","12073","Leon County, Florida",288102,136894,151208,37364,45318
"357","12075","Levy County, Florida",39961,19364,20597,8800,9762
"358","12077","Liberty County, Florida",8365,5110,3255,1677,1398
"359","12079","Madison County, Florida",18474,9829,8645,3579,3921
"360","12081","Manatee County, Florida",373853,180595,193258,82640,95017
"361","12083","Marion County, Florida",348371,167211,181160,77732,90506
"362","12085","Martin County, Florida",157581,78002,79579,38982,43681
"363","12086","Miami-Dade County, Florida",2715516,1318627,1396889,428463,525656
"364","12087","Monroe County, Florida",76325,39822,36503,18466,16931
"365","12089","Nassau County, Florida",80578,39956,40622,16860,18422
"366","12091","Okaloosa County, Florida",200737,101745,98992,33348,37024
"367","12093","Okeechobee County, Florida",40572,21866,18706,7997,7786
"368","12095","Orange County, Florida",1321194,648446,672748,178174,204843
"369","12097","Osceola County, Florida",338619,166820,171799,47441,54436
"370","12099","Palm Beach County, Florida",1446277,701207,745070,285876,337523
"371","12101","Pasco County, Florida",510593,248572,262021,102048,116262
"372","12103","Pinellas County, Florida",957875,459766,498109,207586,244297
"373","12105","Polk County, Florida",668671,327706,340965,120960,136722
"374","12107","Putnam County, Florida",72766,35841,36925,15476,16970
"375","12109","St. Johns County, Florida",235503,114660,120843,45281,51083
"376","12111","St. Lucie County, Florida",305591,149385,156206,62925,70797
"377","12113","Santa Rosa County, Florida",170442,87175,83267,29793,31987
"378","12115","Sarasota County, Florida",412144,196433,215711,108133,127695
"379","12117","Seminole County, Florida",455086,219935,235151,72746,86802
"380","12119","Sumter County, Florida",120999,60725,60274,42389,47637
"381","12121","Suwannee County, Florida",43924,22230,21694,8770,9173
"382","12123","Taylor County, Florida",22098,12414,9684,4283,4369
"383","12125","Union County, Florida",15239,9919,5320,3634,1867
"384","12127","Volusia County, Florida",527634,257275,270359,112529,129803
"385","12129","Wakulla County, Florida",31877,17490,14387,6025,5474
"386","12131","Walton County, Florida",65858,33317,32541,13259,14528
"387","12133","Washington County, Florida",24566,13231,11335,4645,4784
"388","13001","Appling County, Georgia",18454,9353,9101,3306,3580
"389","13003","Atkinson County, Georgia",8265,4208,4057,1175,1365
"390","13005","Bacon County, Georgia",11228,5564,5664,1774,2027
"391","13007","Baker County, Georgia",3189,1521,1668,600,854
"392","13009","Baldwin County, Georgia",45286,22759,22527,7620,7763
"393","13011","Banks County, Georgia",18510,9281,9229,3367,3596
"394","13013","Barrow County, Georgia",76887,37771,39116,10495,12251
"395","13015","Bartow County, Georgia",103620,51332,52288,16433,18080
"396","13017","Ben Hill County, Georgia",17154,8047,9107,2886,3472
"397","13019","Berrien County, Georgia",19025,9299,9726,3349,3744
"398","13021","Bibb County, Georgia",153490,72065,81425,22855,29246
"399","13023","Bleckley County, Georgia",12775,5937,6838,2099,2512
"400","13025","Brantley County, Georgia",18561,9103,9458,3293,3583
"401","13027","Brooks County, Georgia",15622,7608,8014,2915,3496
"402","13029","Bryan County, Georgia",35885,17786,18099,4621,4997
"403","13031","Bulloch County, Georgia",74782,36777,38005,9088,10503
"404","13033","Burke County, Georgia",22550,10697,11853,3603,4407
"405","13035","Butts County, Georgia",23750,12661,11089,3913,4461
"406","13037","Calhoun County, Georgia",6428,3875,2553,1189,1057
"407","13039","Camden County, Georgia",52714,27019,25695,7349,8339
"408","13043","Candler County, Georgia",10827,5363,5464,1861,2062
"409","13045","Carroll County, Georgia",116022,56448,59574,16379,19184
"410","13047","Catoosa County, Georgia",66299,31991,34308,10866,13289
"411","13049","Charlton County, Georgia",12983,7522,5461,2756,2105
"412","13051","Chatham County, Georgia",287049,138403,148646,41684,51209
"413","13053","Chattahoochee County, Georgia",10767,7172,3595,507,612
"414","13055","Chattooga County, Georgia",24817,12865,11952,4286,4893
"415","13057","Cherokee County, Georgia",241910,119270,122640,37308,41547
"416","13059","Clarke County, Georgia",124602,59248,65354,12807,16410
"417","13061","Clay County, Georgia",3001,1473,1528,632,710
"418","13063","Clayton County, Georgia",278666,130748,147918,31903,40831
"419","13065","Clinch County, Georgia",6743,3427,3316,1099,1222
"420","13067","Cobb County, Georgia",745057,360270,384787,104384,122519
"421","13069","Coffee County, Georgia",42961,22088,20873,6396,7169
"422","13071","Colquitt County, Georgia",45606,22554,23052,6829,8054
"423","13073","Columbia County, Georgia",147295,71970,75325,21678,24814
"424","13075","Cook County, Georgia",17184,8348,8836,2712,3156
"425","13077","Coweta County, Georgia",140516,68430,72086,21992,24482
"426","13079","Crawford County, Georgia",12344,6299,6045,2472,2686
"427","13081","Crisp County, Georgia",22846,10849,11997,3892,4724
"428","13083","Dade County, Georgia",16227,7932,8295,2927,3385
"429","13085","Dawson County, Georgia",23861,11774,12087,4683,5121
"430","13087","Decatur County, Georgia",26833,12907,13926,4295,5206
"431","13089","DeKalb County, Georgia",743187,351871,391316,96798,124157
"432","13091","Dodge County, Georgia",20919,10972,9947,3755,4123
"433","13093","Dooly County, Georgia",13905,7529,6376,2768,2869
"434","13095","Dougherty County, Georgia",91049,42144,48905,12898,17152
"435","13097","Douglas County, Georgia",141840,67726,74114,19526,22913
"436","13099","Early County, Georgia",10348,4791,5557,1805,2132
